url,entityID
0000.htm,2011 BMW ActiveHybrid X6 Base Sport Utility
0001.htm,2010 BMW ActiveHybrid X6 Base Sport Utility
0002.htm,2011 BMW M3 Base Sedan
0003.htm,2011 BMW M3 Base Coupe
0004.htm,2011 BMW M3 Base Convertible
0005.htm,2011 BMW X5 xDrive35i Sport Utility
0006.htm,2011 BMW X5 xDrive35d Sport Utility
0007.htm,2011 BMW X5 xDrive50i Sport Utility
0008.htm,2011 BMW X5 M Sport Utility
0009.htm,2011 BMW X6 xDrive35i Sport Utility
0010.htm,2011 BMW X6 xDrive50i Sport Utility
0011.htm,2011 BMW X6 M Sport Utility
0012.htm,2010 BMW X6 xDrive 35i Sport Utility
0013.htm,2010 BMW X6 xDrive 50i Sport Utility
0014.htm,2010 BMW X6 M Sport Utility
0015.htm,2011 BMW Z4 sDrive30i Convertible
0016.htm,2011 BMW Z4 sDrive35i Convertible
0017.htm,2011 BMW Z4 sDrive35is Convertible
0018.htm,2010 Kia Forte LX Sedan
0019.htm,2010 Kia Optima LX Sedan
0020.htm,2010 Kia Optima EX Sedan
0021.htm,2010 Kia Optima SX Sedan
0022.htm,2011 Kia Rio Base Sedan
0023.htm,2011 Kia Rio LX Sedan
0024.htm,2011 Kia Rio SX Sedan
0025.htm,2010 Kia Rio Base Sedan
0026.htm,2010 Kia Rio LX Sedan
0027.htm,2010 Kia Rio SX Sedan
0028.htm,2011 Kia Rio5 LX Hatchback
0029.htm,2011 Kia Rio5 SX Hatchback
0030.htm,2010 Kia Rio5 LX Hatchback
0031.htm,2010 Kia Rio5 SX Hatchback
0032.htm,2011 Kia Sedona LX Passenger Minivan
0033.htm,2011 Kia Sedona EX Passenger Minivan
0034.htm,2010 Kia Sedona Base Passenger Minivan
0035.htm,2010 Kia Sedona LX Passenger Minivan
0036.htm,2010 Kia Sedona EX Passenger Minivan
0037.htm,2011 Kia Sorento Base Sport Utility
0038.htm,2011 Kia Sorento LX Sport Utility
0039.htm,2011 Kia Sorento EX Sport Utility
0040.htm,2011 Kia Sorento SX Sport Utility
0041.htm,2011 Kia Soul Base Hatchback
