url,entityID
0000.htm,The Sweet Hereafter
0001.htm,Breaking the Waves
0002.htm,Dead Man Walking
0003.htm,Red
0004.htm,Chungking Express
0005.htm,Short Cuts
0006.htm,The Remains of the Day
0007.htm,The Piano
0008.htm,Belle de Jour
0009.htm,sex lies and videotape
0010.htm,The World of Apu
0011.htm,A Woman Under the Influence
0012.htm,Taxi Driver
0013.htm,A Streetcar Named Desire
0014.htm,Saturday Night Fever
0015.htm,Romeo and Juliet
0016.htm,Rocky
0017.htm,A Raisin in the Sun
0018.htm,Raise the Red Lantern
0019.htm,Raging Bull
0020.htm,Picnic at Hanging Rock
0021.htm,Pather Panchali
0022.htm,On the Waterfront
0023.htm,Nashville
0024.htm,Midnight Cowboy
0025.htm,Medium Cool
0026.htm,The Marriage of Maria Braun
0027.htm,Malcolm X
0028.htm,The Last Wave
0029.htm,Last Tango in Paris
0030.htm,The Last Picture Show
0031.htm,Five Easy Pieces
0032.htm,Fanny &amp; Alexander
0033.htm,East of Eden
0034.htm,Drugstore Cowboy
0035.htm,Deliverance
0036.htm,The Crying Game
0037.htm,The Conformist
0038.htm,Cinema Paradiso
0039.htm,Barry Lyndon
0040.htm,Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb
0041.htm,National Lampoon's Animal House
0042.htm,Young Frankenstein
0043.htm,Withnail &amp; I
0044.htm,When Harry Met Sally
0045.htm,Tootsie
0046.htm,This Is Spinal Tap
0047.htm,Some Like It Hot
0048.htm,Slacker
0049.htm,Singin' in the Rain
0050.htm,Raising Arizona
0051.htm,Moonstruck
0052.htm,Monty Python and the Holy Grail
0053.htm,Local Hero
0054.htm,A Hard Day's Night
0055.htm,The Graduate
0056.htm,Father of the Bride
0057.htm,Fast Times at Ridgemont High
0058.htm,Blazing Saddles
0059.htm,Annie Hall
0060.htm,Airplane!
0061.htm,Shrek
0062.htm,Election
0063.htm,Four Weddings and a Funeral
0064.htm,Women on the Verge of a Nervous Breakdown
0065.htm,Who Framed Roger Rabbit
0066.htm,Victor/Victoria
0067.htm,Tampopo
0068.htm,Stranger Than Paradise
0069.htm,Smile
0070.htm,Sleeper
0071.htm,A Shot in the Dark
0072.htm,She's Gotta Have It
0073.htm,Shampoo
0074.htm,Roxanne
0075.htm,The Purple Rose of Cairo
0076.htm,The Player
0077.htm,Love and Death
0078.htm,Lost in America
0079.htm,Harold and Maude
0080.htm,Groundhog Day
0081.htm,Ghostbusters
0082.htm,Born Yesterday
0083.htm,Big
0084.htm,All of Me
0085.htm,Bridget Jones's Diary
0086.htm,Babe
0087.htm,The Sound of Music
0088.htm,Old Yeller
0089.htm,My Neighbor Totoro
0090.htm,The Nightmare Before Christmas
0091.htm,101 Dalmatians
0092.htm,The Muppet Movie
0093.htm,Mary Poppins
0094.htm,The Black Stallion
0095.htm,Beauty and the Beast
0096.htm,The Bear
0097.htm,Monsters Inc.
0098.htm,Spy Kids
0099.htm,Stuart Little
0100.htm,The Iron Giant
0101.htm,A Bug's Life
0102.htm,Fly Away Home
0103.htm,The White Balloon
0104.htm,A Little Princess
0105.htm,The Swan Princess
0106.htm,The Secret of Roan Inish
0107.htm,The Many Adventures of Winnie the Pooh
0108.htm,Peter Pan
0109.htm,Tom Thumb
0110.htm,Sleeping Beauty
0111.htm,The Secret of NIMH
0112.htm,Pee-Wee's Big Adventure
0113.htm,The Neverending Story
0114.htm,The Muppets Take Manhattan
0115.htm,The Land Before Time
0116.htm,The Karate Kid
