url,entityID
0000.htm,Butch Cassidy and the Sundance Kid
0001.htm,The Good the Bad and the Ugly
0002.htm,Lawrence of Arabia
0003.htm,The Sound of Music
0004.htm,The Graduate
0005.htm,Spartacus
0006.htm,Dr. No
0007.htm,Doctor Zhivago
0008.htm,2001: A Space Odyssey
0009.htm,Rosemary's Baby
0010.htm,The Wild Bunch
0011.htm,Jaws
0012.htm,Star Wars
0013.htm,The Godfather Part II
0014.htm,Rocky
0015.htm,National Lampoon's Animal House
0016.htm,Blazing Saddles
0017.htm,Patton
0018.htm,The Sting
0019.htm,Chinatown
0020.htm,The French Connection
0021.htm,M*A*S*H
0022.htm,Dog Day Afternoon
0023.htm,Saturday Night Fever
0024.htm,The Towering Inferno
0025.htm,Kramer vs. Kramer
0026.htm,Raiders of the Lost Ark
0027.htm,Blade Runner
0028.htm,Top Gun
0029.htm,An Officer and a Gentleman
0030.htm,Fatal Attraction
0031.htm,The Big Chill
0032.htm,Arthur
0033.htm,Pulp Fiction
0034.htm,GoodFellas
0035.htm,Saving Private Ryan
0036.htm,Toy Story
0037.htm,Unforgiven
0038.htm,The Sixth Sense
0039.htm,The Matrix
0040.htm,American Beauty
0041.htm,L.A. Confidential
0042.htm,Philadelphia
0043.htm,City Slickers
0044.htm,The Dark Knight
0045.htm,No Country for Old Men
0046.htm,Shrek
0047.htm,Up
0048.htm,WALL-E
0049.htm,Avatar
0050.htm,Harry Potter and the Sorcerer's Stone
0051.htm,Slumdog Millionaire
0052.htm,The Pianist
0053.htm,Almost Famous
0054.htm,Requiem for a Dream
0055.htm,March of the Penguins
0056.htm,Lost in Translation
0057.htm,25th Hour
0058.htm,Gone With the Wind
0059.htm,Ferris Bueller's Day Off
0060.htm,Some Like It Hot
0061.htm,City Lights
0062.htm,Schindler's List
0063.htm,One Flew Over the Cuckoo's Nest
0064.htm,The Bridge on the River Kwai
0065.htm,Vertigo
0066.htm,On the Waterfront
0067.htm,Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb
0068.htm,Snow White and the Seven Dwarfs
0069.htm,The Treasure of the Sierra Madre
