url,entityID
0000.htm,Avatar
0001.htm,Toy Story 3
0002.htm,Alice in Wonderland (2010)
0003.htm,Up
0004.htm,The Polar Express
0005.htm,A Christmas Carol (2009)
0006.htm,Megamind
0007.htm,The Last Airbender
0008.htm,Jackass 3-D
0009.htm,Spy Kids 3D:
0010.htm,Tangled
0011.htm,Beowulf
0012.htm,Coraline
0013.htm,Resident Evil:
0014.htm,Legend of the Guardians:
0015.htm,My Bloody Valentine 3-D
0016.htm,Cats &amp; Dogs:
0017.htm,The Adventures of Sharkboy and Lavagirl in 3D
0018.htm,Piranha 3D
0019.htm,Ghosts of the Abyss (IMAX &amp; 35mm)
0020.htm,My Soul to Take
0021.htm,Aliens of the Deep (IMAX)
0022.htm,Journey 2:
0023.htm,The Green Hornet (in 3-D)
0024.htm,Gnomeo and Juliet (in 3-D)
0025.htm,Pirates of the Caribbean:
0026.htm,Green Lantern (in 3D)
0027.htm,Cars 2
0028.htm,Harry Potter and the Deathly Hallows (Part Two in 3D)
0029.htm,The Darkest Hour
0030.htm,Spy Kids 4:
0031.htm,Fright Night (in 3-D)
0032.htm,Final Destination 5
0033.htm,Untitled 3D Shark Thriller
0034.htm,Dolphin Tale 3D
0035.htm,The Three Musketeers (2011)
0036.htm,Happy Feet 2 in 3D
0037.htm,Hugo Cabret (in 3D)
0038.htm,The Adventures of Tintin:
0039.htm,Frankenweenie
0040.htm,John Carter of Mars
0041.htm,Brave
0042.htm,Spider-Man (in 3D)
0043.htm,Life of Pi
0044.htm,Men in Black
0045.htm,Rush Hour 2
0046.htm,Men in Black II
0047.htm,Lethal Weapon 2
0048.htm,Lethal Weapon 3
0049.htm,Rush Hour
0050.htm,Bad Boys II
0051.htm,Lethal Weapon 4
0052.htm,The Other Guys
0053.htm,Starsky and Hutch
0054.htm,Pineapple Express
0055.htm,Another 48 HRS.
0056.htm,48 HRS.
0057.htm,Bad Boys
0058.htm,Lethal Weapon
0059.htm,Shanghai Knights
0060.htm,The Last Boy Scout
0061.htm,Shanghai Noon
0062.htm,The Rundown
0063.htm,Nothing to Lose
0064.htm,Money Talks
0065.htm,Running Scared
0066.htm,Midnight Run
0067.htm,Showtime
0068.htm,Taxi
0069.htm,National Security
0070.htm,Money Train
0071.htm,Red Heat
0072.htm,I Spy
0073.htm,Bad Company
0074.htm,The Hard Way
0075.htm,Hot Fuzz
0076.htm,The Rookie (1990)
0077.htm,Bulletproof
0078.htm,The Glimmer Man
0079.htm,The Cowboy Way
0080.htm,Another Stakeout
0081.htm,Fled
0082.htm,Bon Cop Bad Cop
0083.htm,Double Team
0084.htm,The Man
0085.htm,MIB 3 (in 3-D)
0086.htm,Ponyo
0087.htm,Spirited Away
0088.htm,Howl's Moving Castle
0089.htm,Princess Mononoke
0090.htm,Tales from Earthsea
0091.htm,Chicago
0092.htm,Hairspray (2007)
0093.htm,Dreamgirls
0094.htm,Moulin Rouge!
0095.htm,Sweeney Todd:
0096.htm,The Phantom of the Opera
0097.htm,Evita
0098.htm,Popeye
0099.htm,Rent
0100.htm,Across the Universe
0101.htm,Xanadu
0102.htm,Nine
0103.htm,New York New York
0104.htm,School Daze
0105.htm,Everyone Says I Love You
0106.htm,Dancer in the Dark
0107.htm,Hedwig and the Angry Inch
0108.htm,Love's Labour's Lost
0109.htm,Sin City
0110.htm,L.A. Confidential
0111.htm,Blade Runner
0112.htm,Memento
0113.htm,Fargo
0114.htm,Body Heat
0115.htm,The Black Dahlia
0116.htm,Against All Odds
0117.htm,Twilight (1998)
0118.htm,Kiss of Death
0119.htm,Hollywoodland
0120.htm,The Grifters
0121.htm,Mulholland Falls
0122.htm,Thief
0123.htm,Someone to Watch Over Me
0124.htm,The Man Who Wasn't There
0125.htm,Mulholland Drive
0126.htm,U-Turn
