url,entityID
0000.htm,Inherit the Wind
0001.htm,Le Trou
0002.htm,Tikhy Don
0003.htm,The Dark at the Top of the Stairs
0004.htm,Niewinni Czarodzieje
0005.htm,G.I. Blues
0006.htm,En Lektion i Kärlek
0007.htm,Une Vie
0008.htm,Cape Fear
0009.htm,Thérèse Desqueyroux
0010.htm,Le Procès de Jeanne d'Arc
0011.htm,Street Girls
0012.htm,Challenge to Be Free
0013.htm,Monty Python and the Holy Grail
0014.htm,Rosebud
0015.htm,Det Gode og det onde
0016.htm,The Day of the Locust
0017.htm,Sharks' Treasure
0018.htm,The Happy Hooker
0019.htm,The Return of the Pink Panther
0020.htm,Sunday Too Far Away
0021.htm,Legend of the Seven Golden Vampires
0022.htm,It Seemed Like a Good Idea at the Time
0023.htm,The Eiger Sanction
0024.htm,Once Is Not Enough
0025.htm,One of Our Dinosaurs Is Missing
0026.htm,The Drowning Pool
0027.htm,Take a Hard Ride
0028.htm,Bucktown
0029.htm,Conduct Unbecoming
0030.htm,Carnival of Souls
0031.htm,The Little Girl Who Lives Down the Lane
0032.htm,Riddles of The Sphinx
0033.htm,Death Machines
0034.htm,Chinese Roulette
0035.htm,Eaten Alive
0036.htm,Carrie
0037.htm,Network
0038.htm,Satan's Slave
0039.htm,King Kong
0040.htm,The Pink Panther Strikes Again
0041.htm,The Eagle Has Landed
0042.htm,Gli Esecutori
0043.htm,Under the Doctor
0044.htm,Treasure of Matecumbe
0045.htm,Small Change
0046.htm,Invisible Strangler
0047.htm,Peeper
0048.htm,Lisztomania
0049.htm,Jim the World's Greatest
0050.htm,Breakheart Pass
0051.htm,The Loves and Times of Scaramouche
0052.htm,The Sailor Who Fell from Grace with the Sea
0053.htm,Chantons Sous l'Occupation
0054.htm,Hollywood Boulevard
0055.htm,Eat My Dust!
0056.htm,At the Earth's Core
0057.htm,The Blue Bird
0058.htm,Trackdown
0059.htm,Nishant
0060.htm,Diamond Head
0061.htm,Mr. Billion
0062.htm,The Farmer
0063.htm,Break of Day
0064.htm,The Other Side of Midnight
0065.htm,Skateboard
0066.htm,Tomorrow Never Comes
0067.htm,Empire of the Ants
0068.htm,Le Crabe-Tambour
0069.htm,Thieves
0070.htm,L'Une Chante l'Autre Pas
0071.htm,Looking Up
0072.htm,Fire Sale
0073.htm,The Kentucky Fried Movie
