url,entityID
0000.htm,8mm
0001.htm,A William Shakespeare s A Midsummer Night s Dream
0002.htm,Almost Heroes
0003.htm,American Beauty
0004.htm,Antz
0005.htm,Autumn Sun
0006.htm,Black Cat White Cat
0007.htm,Blue Streak
0008.htm,Body Shots
0009.htm,Bowfinger
0010.htm,Breakfast of Champions
0011.htm,Chill Factor
0012.htm,Dancing At Lughnasa
0013.htm,Deep Blue Sea
0014.htm,Detroit Rock City
0015.htm,Dog Park
0016.htm,Doug's 1st Movie
0017.htm,Drive Me Crazy
0018.htm,Dudley Do-Right
0019.htm,Edtv
0020.htm,Election
0021.htm,Esmeralda Comes By Night
0022.htm,Existo
0023.htm,Forces of Nature
0024.htm,Get Real
0025.htm,Happiness
0026.htm,I Still Know What You Did Last Summer
0027.htm,In Dreams
0028.htm,In Too Deep
0029.htm,Instinct
0030.htm,Ringmaster
0031.htm,Late August Early September
0032.htm,Limbo
0033.htm,Love Stinks
0034.htm,Mumford
0035.htm,Mystery Men
0036.htm,Notting Hill
0037.htm,One True Thing
0038.htm,Pleasantville
0039.htm,Plunkett & Macleane
0040.htm,Pushing Tin
0041.htm,Quest for Camelot
0042.htm,Rosie
0043.htm,Saving Private Ryan
0044.htm,Shattered Image
0045.htm,Spice World
0046.htm,Steam
0047.htm,Summer of Sam
0048.htm,Tarzan and the Lost City
0049.htm,That s The Way I Like It
0050.htm,The 13th Warrior
0051.htm,The 24 Hour Woman
0052.htm,The Adventures of Elmo in Grouchland
0053.htm,The Bachelor
0054.htm,The Butcher Boy
0055.htm,The Faculty
0056.htm,The Hi-Lo Country
0057.htm,The Impostors
0058.htm,The King and I
0059.htm,The Loss of Sexual Innocence
0060.htm,The Ogre
0061.htm,The Red Violin
0062.htm,The Replacement Killers
0063.htm,Trick
0064.htm,1776
0065.htm,Twin Falls Idaho
0066.htm,U.S. Marshals
0067.htm,Varsity Blues
0068.htm,A Dog of Flanders
0069.htm,A Night At the Roxbury
0070.htm,Wild Wild West
0071.htm,Xiu Xiu: the Sent-Down Girl
0072.htm,You've Got Mail
0073.htm,Airheads
0074.htm,American Movie
0075.htm,Anastasia
0076.htm,Angela s Ashes
0077.htm,Austin Powers: International Man of Mystery
0078.htm,Babe
0079.htm,Better Than Chocolate
0080.htm,Big Night
0081.htm,Boys Don t Cry
0082.htm,Buddy
0083.htm,Buffalo '66
0084.htm,Casablanca
0085.htm,Casper
0086.htm,Cherry Falls
