url,entityID
0000.htm,Abilene Christian University
0001.htm,Academy College
0002.htm,Academy of Court Reporting and Technology
0003.htm,Adams State College
0004.htm,Adirondack Community College
0005.htm,Adrian College
0006.htm,Advanced Technology Institute
0007.htm,Agnes Scott College
0008.htm,Aiken Technical College
0009.htm,Akron Institute of Herzing University
0010.htm,Alabama Southern Community College
0011.htm,Alabama State University
0012.htm,Antonelli College: Hattiesburg
0013.htm,Antonelli Institute of Art and Photography
0014.htm,Appalachian State University
0015.htm,Aquinas College
0016.htm,Arapahoe Community College
0017.htm,Eastern Idaho Technical College
0018.htm,Eastern Illinois University
0019.htm,Eastern Kentucky University
0020.htm,Eastern Maine Community College
0021.htm,Eastern Oregon University
0022.htm,Eastern Shore Community College
0023.htm,Eastern University
0024.htm,Eastern Washington University
0025.htm,Eastern West Virginia Community and Technical College
0026.htm,Edgecombe Community College
0027.htm,Edgewood College
0028.htm,Edison State College
0029.htm,Edmonds Community College
0030.htm,El Centro College
0031.htm,El Paso Community College
0032.htm,Electronic Data Processing College of Puerto Rico
0033.htm,Electronic Data Processing College: San Sebastian
0034.htm,Elgin Community College
0035.htm,Elizabeth City State University
0036.htm,Elizabethtown College
0037.htm,Elizabethtown Community and Technical College
0038.htm,Elmira Business Institute
0039.htm,Elmira Business Institute: Vestal
0040.htm,Elmira College
0041.htm,Embry-Riddle Aeronautical University: Worldwide Campus
0042.htm,Emerson College
0043.htm,Emmanuel College
0044.htm,Empire College
0045.htm,Emporia State University
0046.htm,Erie Community College
0047.htm,Erie Institute of Technology
0048.htm,Erskine College
0049.htm,Essex County College
0050.htm,ETI Technical College of Niles
0051.htm,Evangel University
0052.htm,Everest College: Atlanta
0053.htm,Everest College: Aurora
0054.htm,Everest College: Colorado Springs
0055.htm,Everest College: Dallas
0056.htm,Everest College: Ontario Metro
0057.htm,Everest College: Vancouver
0058.htm,Everest Institute: Fort Lauderdale
0059.htm,Everest Institute: Pittsburgh
0060.htm,Everest Institute: Rochester
0061.htm,Everest University: Largo
0062.htm,Everest University: Melbourne
0063.htm,Argosy University: Atlanta
0064.htm,Argosy University: Chicago
0065.htm,Argosy University: Dallas
0066.htm,Argosy University: Hawaii
0067.htm,Argosy University: Inland Empire
0068.htm,Everest University: North Orlando
0069.htm,Everest University: Orange Park
0070.htm,Everest University: Pompano Beach
0071.htm,Everest University: South Orlando
0072.htm,Everglades University: Boca Raton
0073.htm,Everglades University: Orlando
0074.htm,Ex'pression College for Digital Arts
0075.htm,Excelsior College
0076.htm,Fairleigh Dickinson University: College at Florham
0077.htm,Fairmont State University
0078.htm,Faith Baptist Bible College and Theological Seminary
0079.htm,Fashion Institute of Design and Merchandising: San Diego
0080.htm,Fashion Institute of Design and Merchandising: San Francisco
0081.htm,Faulkner State Community College
0082.htm,Faulkner University
0083.htm,Fayetteville State University
0084.htm,Ferris State University
0085.htm,Fisk University
0086.htm,Fitchburg State University
0087.htm,Five Towns College
0088.htm,Flathead Valley Community College
0089.htm,Florida Career College: Hialeah
0090.htm,Florida Career College: Miami
0091.htm,Florida Career College: Pembroke Pines
0092.htm,Florida Career College: West Palm Beach
0093.htm,Florida Christian College
0094.htm,Florida College of Natural Health: Bradenton
0095.htm,Florida College of Natural Health: Maitland
0096.htm,Florida College of Natural Health: Miami
0097.htm,Florida Gateway College
0098.htm,Florida Gulf Coast University
0099.htm,Florida International University
0100.htm,Florida National College
0101.htm,Florida State College at Jacksonville
0102.htm,Florida State University
0103.htm,Florida Technical College: Deland
0104.htm,Folsom Lake College
0105.htm,Fontbonne University
0106.htm,Fordham University
0107.htm,Forsyth Technical Community College
0108.htm,Fort Belknap College
0109.htm,Fort Berthold Community College
0110.htm,Fort Hays State University
0111.htm,Fort Peck Community College
0112.htm,Fortis College: Tampa
0113.htm,Fortis College: Winter Park
0114.htm,Fountainhead College of Technology
0115.htm,Francis Marion University
0116.htm,Franciscan University of Steubenville
0117.htm,Argosy University: Phoenix
0118.htm,Argosy University: Sarasota
0119.htm,Argosy University: Seattle
0120.htm,Argosy University: Tampa
0121.htm,Argosy University: Twin Cities
0122.htm,Frank Phillips College
0123.htm,Franklin College
0124.htm,Franklin Pierce University
0125.htm,Franklin University
0126.htm,Fresno City College
0127.htm,Fresno Pacific University
0128.htm,Frostburg State University
0129.htm,Fulton-Montgomery Community College
0130.htm,Furman University
0131.htm,Gallaudet University
0132.htm,Gallipolis Career College
0133.htm,Galveston College
0134.htm,Gardner-Webb University
0135.htm,Gaston College
0136.htm,Gateway Community and Technical College
0137.htm,Gateway Community College
0138.htm,GateWay Community College
0139.htm,Gateway Technical College
0140.htm,Gavilan College
0141.htm,George Washington University
0142.htm,Georgetown College
0143.htm,Georgetown University
0144.htm,Georgia College and State University
0145.htm,Georgia Health Sciences University
0146.htm,Georgia Institute of Technology
0147.htm,Georgia Northwestern Technical College
0148.htm,Georgia Perimeter College
0149.htm,Georgia Southern University
0150.htm,Germanna Community College
0151.htm,Gettysburg College
0152.htm,Glendale Community College
0153.htm,Global University
0154.htm,Globe Institute of Technology
0155.htm,Gloucester County College
0156.htm,Goddard College
0157.htm,Gogebic Community College
0158.htm,Golden Gate University
0159.htm,Goldey-Beacom College
0160.htm,Golf Academy of America: Orlando
0161.htm,Golf Academy of America: The Carolinas
0162.htm,Gonzaga University
0163.htm,Gordon College
0164.htm,Goshen College
0165.htm,Goucher College
0166.htm,Governors State University
0167.htm,Grace Bible College
0168.htm,Grace College
0169.htm,Grand Canyon University
0170.htm,Grand Rapids Community College
0171.htm,Grand View University
0172.htm,Granite State College
0173.htm,Grantham University
0174.htm,Gratz College
0175.htm,Arizona Automotive Institute
0176.htm,Arizona Western College
0177.htm,Arkansas State University
0178.htm,Great Lakes Christian College
0179.htm,Green Mountain College
0180.htm,Greenville College
0181.htm,Gretna Career College
0182.htm,Grinnell College
0183.htm,Grossmont College
0184.htm,Guilford College
0185.htm,Gulf Coast Community College
0186.htm,Gwynedd-Mercy College
0187.htm,Halifax Community College
0188.htm,Hallmark College of Aeronautics
0189.htm,Hampshire College
0190.htm,Hannibal-LaGrange University
0191.htm,Hanover College
0192.htm,Harcum College
0193.htm,Hardin-Simmons University
0194.htm,Harford Community College
0195.htm,Harrington College of Design
0196.htm,Harris-Stowe State University
0197.htm,Harrison College: Evansville
0198.htm,Harrison College: Indianapolis East
0199.htm,Harrison College: Lafayette
0200.htm,Harrison College: Muncie
0201.htm,Harrison College: Terre Haute
0202.htm,Hartnell College
0203.htm,Harvard College
0204.htm,Harvey Mudd College
0205.htm,Hawaii Pacific University
0206.htm,Hazard Community and Technical College
0207.htm,Heald College: Concord
0208.htm,Heald College: Fresno
0209.htm,Heald College: Rancho Cordova
0210.htm,Heald College: Roseville
0211.htm,Heald College: Salinas
0212.htm,Heald College: San Francisco
0213.htm,Heald College: San Jose
0214.htm,Heald College: Stockton
0215.htm,Heartland Community College
0216.htm,Hebrew Theological College
0217.htm,Heidelberg University
0218.htm,Helene Fuld College of Nursing
0219.htm,Hellenic College/Holy Cross
0220.htm,Henderson Community College
0221.htm,Henry Ford Community College
0222.htm,Heritage Christian University
0223.htm,Herzing University
0224.htm,Herzing University
0225.htm,Herzing University
0226.htm,Hesser College
0227.htm,Hesston College
0228.htm,Arlington Baptist College
0229.htm,Art Academy of Cincinnati
0230.htm,Art Center College of Design
0231.htm,Art Center Design College
0232.htm,Art Institute of Boston at Lesley University
0233.htm,Highland Community College
0234.htm,Highland Community College
0235.htm,Highline Community College
0236.htm,Hillsborough Community College
0237.htm,Hinds Community College
0238.htm,Hobart and William Smith Colleges
0239.htm,Hobe Sound Bible College
0240.htm,Hocking College
0241.htm,Hodges University
0242.htm,Hollins University
0243.htm,Holy Family University
0244.htm,Holy Trinity Orthodox Seminary
0245.htm,Hondros College
0246.htm,Hood College
0247.htm,Hope International University
0248.htm,Horizon College of San Diego
0249.htm,Houghton College
0250.htm,Houston Baptist University
0251.htm,Houston Community College System
0252.htm,Howard College
0253.htm,Howard Community College
0254.htm,Howard Payne University
0255.htm,Howard University
0256.htm,Hudson County Community College
0257.htm,Hudson Valley Community College
0258.htm,Humboldt State University
0259.htm,Humphreys College
0260.htm,Huntington College of Health Sciences
0261.htm,Huntsville Bible College
0262.htm,Hussian School of Art
0263.htm,Husson University
0264.htm,ICPR Junior College
0265.htm,Illinois Central College
0266.htm,Illinois Eastern Community Colleges: Olney Central College
0267.htm,Illinois Eastern Community Colleges: Wabash Valley College
0268.htm,Illinois Institute of Technology
0269.htm,Illinois State University
0270.htm,Illinois Valley Community College
0271.htm,Illinois Wesleyan University
0272.htm,Imperial Valley College
0273.htm,Independence Community College
0274.htm,Independence University
0275.htm,Indian Hills Community College
0276.htm,Indiana Institute of Technology
0277.htm,Indiana State University
0278.htm,Indiana University Bloomington
0279.htm,Indiana University Northwest
0280.htm,Indiana University of Pennsylvania
0281.htm,Indiana University Southeast
0282.htm,Indiana University-Purdue University Indianapolis
0283.htm,Indiana Wesleyan University
0284.htm,Institute of American Indian Arts
0285.htm,IntelliTec College
0286.htm,IntelliTec College: Grand Junction
0287.htm,Art Institute of California: Sacramento
0288.htm,Art Institute of California: San Diego
0289.htm,Art Institute of California: San Francisco
0290.htm,Art Institute of California: Sunnyvale
0291.htm,Inter American University of Puerto Rico: Aguadilla Campus
0292.htm,Inter American University of Puerto Rico: Barranquitas Campus
0293.htm,Inter American University of Puerto Rico: Guayama Campus
0294.htm,Inter American University of Puerto Rico: Metropolitan Campus
0295.htm,Inter American University of Puerto Rico: Ponce Campus
0296.htm,International Academy of Design and Technology: Chicago
0297.htm,International Academy of Design and Technology: Nashville
0298.htm,International Academy of Design and Technology: Orlando
0299.htm,International Academy of Design and Technology: Sacramento
0300.htm,International Business College
0301.htm,International College of Broadcasting
0302.htm,Iowa Lakes Community College
0303.htm,Iowa State University
0304.htm,Iowa Wesleyan College
0305.htm,Island Drafting and Technical Institute
0306.htm,Isothermal Community College
0307.htm,ITT Technical Institute: Arlington
0308.htm,ITT Technical Institute: Austin
0309.htm,ITT Technical Institute: Bensalem
0310.htm,ITT Technical Institute: Eden Prairie
0311.htm,ITT Technical Institute: Fort Wayne
0312.htm,ITT Technical Institute: Ft. Lauderdale
0313.htm,ITT Technical Institute: Greenfield
0314.htm,ITT Technical Institute: Houston
0315.htm,ITT Technical Institute: Indianapolis
0316.htm,ITT Technical Institute: King of Prussia
0317.htm,ITT Technical Institute: Knoxville
0318.htm,ITT Technical Institute: Lake Mary
0319.htm,ITT Technical Institute: Lathrop
0320.htm,ITT Technical Institute: Little Rock
0321.htm,ITT Technical Institute: Memphis
0322.htm,ITT Technical Institute: Miami
0323.htm,ITT Technical Institute: Mount Prospect
0324.htm,ITT Technical Institute: Nashville
0325.htm,ITT Technical Institute: Norwood
0326.htm,ITT Technical Institute: Omaha
0327.htm,ITT Technical Institute: Portland
0328.htm,ITT Technical Institute: San Antonio
0329.htm,ITT Technical Institute: San Bernardino
0330.htm,ITT Technical Institute: San Diego
0331.htm,ITT Technical Institute: Seattle
0332.htm,ITT Technical Institute: Spokane
0333.htm,ITT Technical Institute: Strongsville
0334.htm,Art Institute of Houston
0335.htm,Art Institute of Las Vegas
0336.htm,Art Institute of Philadelphia
0337.htm,Ivy Tech Community College: Central Indiana
0338.htm,Ivy Tech Community College: Columbus
0339.htm,Ivy Tech Community College: East Central
0340.htm,Ivy Tech Community College: North Central
0341.htm,Ivy Tech Community College: Northeast
0342.htm,Ivy Tech Community College: Northwest
0343.htm,Ivy Tech Community College: Richmond
0344.htm,Ivy Tech Community College: South Central
0345.htm,Ivy Tech Community College: Southeast
0346.htm,Ivy Tech Community College: Southwest
0347.htm,Jackson Community College
0348.htm,Jacksonville College
0349.htm,James A. Rhodes State College
0350.htm,Jamestown Business College
0351.htm,Jamestown Community College
0352.htm,Jefferson College of Health Sciences
0353.htm,Jefferson Community College
0354.htm,Jefferson State Community College
0355.htm,Jewish Theological Seminary of America
0356.htm,John A. Gupton College
0357.htm,John A. Logan College
0358.htm,John Brown University
0359.htm,John Tyler Community College
0360.htm,Johns Hopkins University
0361.htm,Johnson & Wales University: Charlotte
0362.htm,Johnson & Wales University: Denver
0363.htm,Johnson Bible College
0364.htm,Johnson C. Smith University
0365.htm,Johnson County Community College
0366.htm,Johnston Community College
0367.htm,Jones County Junior College
0368.htm,Jones International University
0369.htm,Judson College
0370.htm,Judson University
0371.htm,Juilliard School
0372.htm,Juniata College
0373.htm,Kalamazoo College
0374.htm,Kanawha Valley Community and Technical College
0375.htm,Kankakee Community College
0376.htm,Kansas City Kansas Community College
0377.htm,Kaplan Career Institute: Pittsburgh
0378.htm,Kaplan College: Columbus
0379.htm,Kaplan College: Dayton
0380.htm,Kaplan College: Denver
0381.htm,Kaplan College: Hammond
0382.htm,Kaplan College: Indianapolis
0383.htm,Kaplan College: Las Vegas
0384.htm,Kaplan College: Phoenix
0385.htm,Kaplan College: San Diego
0386.htm,Kaplan College: Vista
0387.htm,Kaplan University: Cedar Rapids
0388.htm,Art Institute of Portland
0389.htm,Art Institute of Washington
0390.htm,Art Institute of York
0391.htm,Art Institutes International Minnesota
0392.htm,Asbury College
0393.htm,Kaplan University: Lincoln
0394.htm,Kaplan University: Omaha
0395.htm,Kean University
0396.htm,Keiser Career College: Greenacres
0397.htm,Keiser Career College: Miami Lakes
0398.htm,Kellogg Community College
0399.htm,Kendall College
0400.htm,Kennebec Valley Community College
0401.htm,Kennesaw State University
0402.htm,Kent State University: Salem
0403.htm,Kent State University: Trumbull
0404.htm,Kentucky Christian University
0405.htm,Kentucky Mountain Bible College
0406.htm,Kenyon College
0407.htm,Kettering College of Medical Arts
0408.htm,Kilian Community College
0409.htm,King College
0410.htm,Kirkwood Community College
0411.htm,Kirtland Community College
0412.htm,Kishwaukee College
0413.htm,Kutztown University of Pennsylvania
0414.htm,L'Ecole Culinaire
0415.htm,LA College International
0416.htm,Laboure College
0417.htm,Lackawanna College
0418.htm,Lafayette College
0419.htm,Laguna College of Art and Design
0420.htm,Lake Area Technical Institute
0421.htm,Lake Forest College
0422.htm,Lake Land College
0423.htm,Lake Michigan College
0424.htm,Lake Region State College
0425.htm,Lake Washington Technical College
0426.htm,Lake-Sumter Community College
0427.htm,Lakeland College
0428.htm,Lakeland Community College
0429.htm,Lamar Institute of Technology
0430.htm,Lamar State College at Orange
0431.htm,Lambuth University
0432.htm,Lamson College
0433.htm,Lancaster Bible College
0434.htm,Lander University
0435.htm,Landing School of Boatbuilding and Design
0436.htm,Laney College
0437.htm,Langston University
0438.htm,Lansdale School of Business
0439.htm,Lansing Community College
0440.htm,Laredo Community College
0441.htm,Las Positas College
0442.htm,Lasell College
0443.htm,Lassen Community College
0444.htm,Laura and Alvin Siegal College of Judaic Studies
0445.htm,Ashland University
0446.htm,Ashworth College
0447.htm,Asnuntuck Community College
0448.htm,Assumption College
0449.htm,Athens Technical College
0450.htm,ATI Career Training Center: Dallas
0451.htm,Laurel University
0452.htm,Lawson State Community College
0453.htm,LDS Business College
0454.htm,Le Cordon Bleu College of Culinary Arts: Atlanta
0455.htm,Le Cordon Bleu College of Culinary Arts: Chicago
0456.htm,Le Cordon Bleu College of Culinary Arts: Los Angeles
0457.htm,Le Cordon Bleu College of Culinary Arts: Minneapolis-St. Paul
0458.htm,Le Cordon Bleu College of Culinary Arts: Scottsdale
0459.htm,Le Moyne College
0460.htm,Lebanon College
0461.htm,Lebanon Valley College
0462.htm,Lee University
0463.htm,Lees-McRae College
0464.htm,Lehigh University
0465.htm,LeMoyne-Owen College
0466.htm,LeTourneau University
0467.htm,Lewis and Clark Community College
0468.htm,Lewis-Clark State College
0469.htm,Lincoln Christian University
0470.htm,Lincoln College
0471.htm,Lincoln College of New England: Briarwood
0472.htm,Lincoln College of New England: Suffield
0473.htm,Lincoln College of Technology: Denver
0474.htm,Lincoln Technical Institute: Northeast Philadelphia
0475.htm,Lincoln Technical Institute: Philadelphia
0476.htm,Lincoln University
0477.htm,Lindenwood University
0478.htm,Lindsey Wilson College
0479.htm,Linn State Technical College
0480.htm,Linn-Benton Community College
0481.htm,Little Big Horn College
0482.htm,Livingstone College
0483.htm,Lone Star College System
0484.htm,Long Island University: C. W. Post Campus
0485.htm,Longwood University
0486.htm,Lord Fairfax Community College
0487.htm,Los Angeles City College
0488.htm,Los Angeles Mission College
0489.htm,Los Angeles Trade and Technical College
0490.htm,Los Angeles Valley College
0491.htm,Louisiana College
0492.htm,Louisiana State University at Alexandria
0493.htm,Louisiana State University at Eunice
0494.htm,Louisiana State University Health Sciences Center
0495.htm,Louisiana State University in Shreveport
0496.htm,Louisiana Tech University
0497.htm,ATI Career Training Center: Ft. Lauderdale
0498.htm,ATI Career Training Center: Oakland Park
0499.htm,ATI College of Health
0500.htm,Atlanta Technical College
0501.htm,Atlantic College
0502.htm,Atlantic Union College
0503.htm,Loyola University Maryland
0504.htm,Loyola University New Orleans
0505.htm,Lubbock Christian University
0506.htm,Luna Community College
0507.htm,Luther Rice University
0508.htm,Luzerne County Community College
0509.htm,Lyme Academy College of Fine Arts
0510.htm,Lynchburg College
0511.htm,Lyon College
0512.htm,Macalester College
0513.htm,MacCormac College
0514.htm,MacMurray College
0515.htm,Macon State College
0516.htm,Madison Area Technical College
0517.htm,Madonna University
0518.htm,Maharishi University of Management
0519.htm,Maine College of Art
0520.htm,Maine Maritime Academy
0521.htm,Malone University
0522.htm,Manchester College
0523.htm,Manchester Community College
0524.htm,Manhattan Christian College
