url,entityID
0000.htm,Alaska Bible College
0001.htm,Alaska Christian College
0002.htm,Alaska Pacific University
0003.htm,AVTEC-Alaska's Institute of Technology
0004.htm,Charter College
0005.htm,Prince William Sound Community College
0006.htm,University of Alaska Southeast
0007.htm,Auburn University
0008.htm,Bevill State Community College
0009.htm,Bishop State Community College
0010.htm,Blue Cliff Career College
0011.htm,East Arkansas Community College
0012.htm,Eastern College of Health Vocations
0013.htm,Jefferson Regional Medical Center School of Nursing
0014.htm,Saint Leo University
0015.htm,Saint Thomas University
0016.htm,Sanford-Brown Institute
0017.htm,Sanford-Brown Institute
0018.htm,Santa Fe College
0019.htm,Seminole State College of Florida
0020.htm,South Florida Bible College and Theological Seminary
0021.htm,Southern Career College
0022.htm,Southern Technical College
0023.htm,Southwest Florida College
0024.htm,St Petersburg College
0025.htm,Strayer University-Baymeadows Campus
0026.htm,Strayer University-Fort Lauderdale Campus
0027.htm,Strayer University-Miramar Campus
0028.htm,Strayer University-Orlando East Campus
0029.htm,Strayer University-Sand Lake Campus
0030.htm,Strayer University-Tampa East Campus
0031.htm,Talmudic College of Florida
0032.htm,Taylor College
0033.htm,The Art Institute of Fort Lauderdale
0034.htm,The Baptist College of Florida
0035.htm,The University of Tampa
0036.htm,The University of West Florida
0037.htm,Tom P Haney Technical Center
0038.htm,Ultimate Medical Academy
0039.htm,United Education Institute
0040.htm,Universidad Politecnica de Puerto Rico-Orlando Campus
0041.htm,University of North Florida
0042.htm,University of Phoenix-South Florida Campus
0043.htm,University of South Florida Sarasota-Manatee
0044.htm,Winter Park Tech
0045.htm,Withlacoochee Technical Institute
0046.htm,Yeshivah Gedolah Rabbinical College
0047.htm,Albany Technical College
0048.htm,Argosy University-Atlanta
0049.htm,Atlanta Beauty Academy
0050.htm,Atlanta Christian College
0051.htm,Atlanta Technical College
0052.htm,Augusta School of Massage
0053.htm,Bauder College
0054.htm,NorthWest Arkansas Community College
0055.htm,Ouachita Technical College
0056.htm,Brenau University
