url,entityID
0000.htm,A.B.I. School of Barbering & Cosmetology of Tribeca Inc
0001.htm,Abilene Christian University
0002.htm,Abraham Baldwin Agricultural College
0003.htm,Academia Serrant Inc
0004.htm,Academy Di Capelli - School of Cosmetology
0005.htm,Academy of Careers & Technology
0006.htm,Academy of Chinese Culture & Health Sciences
0007.htm,Academy of Cosmetology - Austin
0008.htm,Academy of Cosmetology - Charleston
0009.htm,Academy of Cosmetology - Palm Bay
0010.htm,Academy of Court Reporting - Akron
0011.htm,Academy of Court Reporting - Clawson
0012.htm,Academy of Hair Design - Wenatchee
0013.htm,Academy of Hair Design Four - Pearl
0014.htm,Academy of Hair Design Three - Jackson
0015.htm,Academy of Hair Technology
0016.htm,Academy of Health Care Professions
0017.htm,Academy of Natural Therapy
0018.htm,Academy of Oriental Medicine
0019.htm,Academy of Vocal Arts
0020.htm,Acupuncture & Massage College - Miami
0021.htm,Adelante Career Institute
0022.htm,Adelphi University
0023.htm,Adler Graduate School
0024.htm,Adult Center for Education - Zanesville
0025.htm,Advanced College
0026.htm,Advanced Technical Centers - Miami
0027.htm,Advanced Technology Institute
0028.htm,Affinity Health System Program in Radiologic Technology
0029.htm,Aiken Technical College
0030.htm,Air Force Institute of Technology - Graduate School of Engineering & Management
0031.htm,Alabama Southern Community College
0032.htm,Alaska Vocational Technical Center
0033.htm,Albany BOCES - Adult Practical Nursing Program
0034.htm,Albany College of Pharmacy & Health Sciences
0035.htm,Albany Technical College
0036.htm,Albright College
0037.htm,Alcorn State University
0038.htm,Alderson Broaddus College
0039.htm,Alice Lloyd College
0040.htm,All State Career School - Lester
0041.htm,All State Career School - North Versailles
0042.htm,Allegheny Wesleyan College
0043.htm,Allen School - Brooklyn
0044.htm,Allen School - Jamaica
0045.htm,Allied College South - Fenton
0046.htm,Altoona Beauty School Inc
0047.htm,Alvareitas College of Cosmetology - Godfrey
0048.htm,American Academy McAllister Institute of Funeral Service
0049.htm,American Academy of Acupuncture & Oriental Medicine
0050.htm,American Beauty Academy - Wheaton
0051.htm,American Beauty School - Bronx
0052.htm,American Broadcasting School - Arlington
0053.htm,American Broadcasting School - Oaklahoma City
0054.htm,American Career College - Anaheim
0055.htm,American Career College - Berwyn
0056.htm,American Career College - Los Angeles
0057.htm,American College - Bryn Mawr
0058.htm,American Commercial College - Abilene
0059.htm,American Commercial College - Lubbock
0060.htm,American Commercial College - San Angelo
0061.htm,American Commercial College - Shreveport
0062.htm,American Film Institute Conservatory
0063.htm,American Indian OIC Inc
0064.htm,American Institute - Pompano Beach
0065.htm,American Institute - School of Health Careers
0066.htm,American Institute of Alternative Medicine
0067.htm,American Institute of Beauty
0068.htm,American Institute of Massage Therapy
0069.htm,American Intercontinental University - Dunwoody Campus
0070.htm,American Intercontinental University - Houston
0071.htm,American Intercontinental University - Los Angeles
0072.htm,American Intercontinental University - Weston
0073.htm,American International College
0074.htm,American Jewish University
0075.htm,American Pacific College
0076.htm,American School of Business
0077.htm,American University of Puerto Rico - Manati
0078.htm,Americare School of Nursing
0079.htm,AmeriTech College - Draper
0080.htm,AmeriTech College - Provo
0081.htm,Amridge University
0082.htm,Ana Visage Institute
0083.htm,Anamarc Educational Institute
0084.htm,Andover College
0085.htm,Andrews University
0086.htm,Angelina College
0087.htm,Angley College
0088.htm,Anna Maria College
0089.htm,Anoka - Ramsey Community College
0090.htm,Anoka Technical College
0091.htm,Antelope Valley Medical College
0092.htm,Anthem College - Phoenix
