url,entityID
0000.htm,Alabama A & M University
0001.htm,Athens State University
0002.htm,Auburn University at Montgomery
0003.htm,Columbia Southern University
0004.htm,Concordia College-Selma
0005.htm,ITT Technical Institute-Mobile
0006.htm,Judson College
0007.htm,Miles College
0008.htm,Oakwood University
0009.htm,Remington College-Mobile Campus
0010.htm,Selma University
0011.htm,Spring Hill College
0012.htm,Talladega College
0013.htm,Troy University
0014.htm,United States Sports Academy
0015.htm,University of Alabama in Huntsville
0016.htm,Virginia College-Huntsville
0017.htm,Alabama Southern Community College
0018.htm,Central Alabama Community College
0019.htm,Gadsden State Community College
0020.htm,H Councill Trenholm State Technical College
0021.htm,James H Faulkner State Community College
0022.htm,Lurleen B Wallace Community College
0023.htm,Marion Military Institute
0024.htm,Northeast Alabama Community College
0025.htm,Northwest Shoals Community College-Muscle Shoals
0026.htm,Shelton State Community College
0027.htm,Southern Union State Community College
0028.htm,Virginia College-Mobile
0029.htm,Alaska Pacific University
0030.htm,Charter College
0031.htm,Abraham Baldwin Agricultural College
0032.htm,Argosy University-Atlanta
0033.htm,Armstrong Atlantic State University
0034.htm,Atlanta's John Marshall Law School
0035.htm,Beulah Heights University
0036.htm,Brenau University
0037.htm,Clark Atlanta University
0038.htm,Clayton State University
0039.htm,Dalton State College
0040.htm,DeVry University-Georgia
0041.htm,Emmanuel College
0042.htm,Gainesville State College
0043.htm,Georgia Gwinnett College
0044.htm,Gordon College
0045.htm,Herzing University
0046.htm,ITT Technical Institute-Kennesaw
0047.htm,Kennesaw State University
0048.htm,LaGrange College
0049.htm,Life University
0050.htm,Luther Rice University
0051.htm,Medical College of Georgia
0052.htm,Morehouse College
0053.htm,Oglethorpe University
0054.htm,Paine College
0055.htm,Savannah College of Art and Design
0056.htm,Savannah State University
0057.htm,Shorter College
0058.htm,Toccoa Falls College
0059.htm,University of Phoenix-Columbus Georgia Campus
0060.htm,University of Phoenix-Savannah Campus
0061.htm,Wesleyan College
0062.htm,Westwood College-Atlanta Midtown
0063.htm,Young Harris College
0064.htm,Albany Technical College
0065.htm,Altamaha Technical College
0066.htm,Andrew College
0067.htm,Athens Technical College
0068.htm,Augusta Technical College
0069.htm,Chattahoochee Technical College
0070.htm,Columbus Technical College
0071.htm,Darton College
0072.htm,East Central Technical College
0073.htm,Georgia Military College-Augusta Campus
0074.htm,Georgia Military College-Columbus Campus
0075.htm,Georgia Military College-Milledgeville Campus
0076.htm,Georgia Military College-Valdosta Campus
0077.htm,Georgia Perimeter College
0078.htm,Griffin Technical College
0079.htm,High-Tech Institute-Atlanta
0080.htm,Lincoln College of Technology
0081.htm,Middle Georgia Technical College
0082.htm,Moultrie Technical College
0083.htm,Okefenokee Technical College
0084.htm,Sandersville Technical College
0085.htm,Sanford-Brown College
0086.htm,South Georgia College
0087.htm,South Georgia Technical College
0088.htm,Southwest Georgia Technical College
0089.htm,West Georgia Technical College
0090.htm,Argosy University-Hawaii
0091.htm,Hawaii Pacific University
0092.htm,Institute of Clinical Acupuncture & Oriental Med
0093.htm,Remington College-Honolulu Campus
0094.htm,University of Hawaii at Manoa
0095.htm,World Medicine Institute
0096.htm,Kapiolani Community College
0097.htm,Kauai Community College
0098.htm,Leeward Community College
0099.htm,Windward Community College
0100.htm,Lewis-Clark State College
0101.htm,Apollo College
0102.htm,Eastern Idaho Technical College
0103.htm,North Idaho College
0104.htm,Adler School of Professional Psychology
0105.htm,American InterContinental University-Online
0106.htm,Argosy University-Chicago
0107.htm,Argosy University-Schaumburg
0108.htm,Augustana College
0109.htm,Blessing Rieman College of Nursing
0110.htm,Chamberlain College of Nursing-Addison Campus
0111.htm,Chicago Theological Seminary
0112.htm,Christian Life College
0113.htm,Columbia College Chicago
0114.htm,Concordia University
0115.htm,Dominican University
0116.htm,East-West University
0117.htm,Elmhurst College
0118.htm,Erikson Institute
0119.htm,Eureka College
0120.htm,Garrett-Evangelical Theological Seminary
0121.htm,Greenville College
0122.htm,Harrington College of Design
0123.htm,Hebrew Theological College
0124.htm,Illinois College
0125.htm,International Academy of Design and Technology
0126.htm,ITT Technical Institute-Mount Prospect
0127.htm,ITT Technnical Institute-Orland Park
0128.htm,Kendall College
0129.htm,Knox College
0130.htm,Lake Forest College
0131.htm,Lexington College
0132.htm,Loyola University Chicago
0133.htm,Lutheran School of Theology at Chicago
0134.htm,McCormick Theological Seminary
0135.htm,McKendree University
0136.htm,Methodist College of Nursing
0137.htm,Midstate College
0138.htm,Midwestern University
0139.htm,Monmouth College
0140.htm,National University of Health Sciences
0141.htm,Northern Illinois University
0142.htm,Olivet Nazarene University
0143.htm,Pacific College of Oriental Medicine
0144.htm,Robert Morris University Illinois
0145.htm,Rockford College
0146.htm,Roosevelt University
0147.htm,Saint Anthony College of Nursing
0148.htm,Seabury-Western Theological Seminary
0149.htm,Southern Illinois University Carbondale
0150.htm,St Johns College
0151.htm,The Illinois Institute of Art-Chicago
0152.htm,The John Marshall Law School
0153.htm,Trinity Christian College
0154.htm,Trinity International University
0155.htm,University of Illinois at Chicago
0156.htm,University of Phoenix-Chicago Campus
0157.htm,University of St Francis
0158.htm,West Suburban College of Nursing
0159.htm,Western Illinois University
0160.htm,Westwood College-O'Hare Airport
0161.htm,Westwood College-River Oaks
0162.htm,Brown Mackie College-Moline
0163.htm,City Colleges of Chicago-Kennedy-King College
0164.htm,City Colleges of Chicago-Malcolm X College
0165.htm,City Colleges of Chicago-Olive-Harvey College
0166.htm,City Colleges of Chicago-Wilbur Wright College
0167.htm,Coyne American Institute Inc
0168.htm,Elgin Community College
0169.htm,Fox College Inc
0170.htm,Heartland Community College
0171.htm,Highland Community College
0172.htm,Illinois Central College
0173.htm,Illinois Eastern Community Colleges-Olney Central College
0174.htm,Illinois Valley Community College
0175.htm,John A Logan College
0176.htm,John Wood Community College
0177.htm,Joliet Junior College
0178.htm,Kaskaskia College
0179.htm,Lake Land College
0180.htm,Lincoln College of Technology
0181.htm,MacCormac College
0182.htm,McHenry County College
0183.htm,Moraine Valley Community College
0184.htm,Morrison Institute of Technology
0185.htm,Oakton Community College
0186.htm,Parkland College
0187.htm,Prairie State College
0188.htm,Rasmussen College-Aurora
0189.htm,Rend Lake College
0190.htm,Shawnee Community College
0191.htm,Taylor Business Institute
0192.htm,The College of Office Technology
0193.htm,The Cooking and Hospitality Institute of Chicago
0194.htm,Triton College
0195.htm,Zarem Golde ORT Technical Institute
0196.htm,Anderson University
0197.htm,Brown Mackie College-Indianapolis
0198.htm,Brown Mackie College-Merrillville
0199.htm,Christian Theological Seminary
0200.htm,DePauw University
0201.htm,DeVry University-Indiana
0202.htm,Franklin College
0203.htm,Harrison College-Fort Wayne
0204.htm,Harrison College-Muncie
0205.htm,Huntington University
0206.htm,Indiana Institute of Technology
0207.htm,International Business College
0208.htm,ITT Technical Institute-Indianapolis
0209.htm,ITT Technical Institute-Newburgh
0210.htm,Marian University
0211.htm,Martin University
0212.htm,Purdue University-North Central Campus
0213.htm,Saint Josephs College
0214.htm,Saint Mary's College
0215.htm,Trine University
0216.htm,Trine University-Fort Wayne Regional Campus
0217.htm,University of Evansville
0218.htm,University of Saint Francis-Ft Wayne
0219.htm,Valparaiso University
0220.htm,Wabash College
0221.htm,College of Court Reporting Inc
0222.htm,Harrison College-Anderson
0223.htm,Harrison College-Columbus
0224.htm,Harrison College-Indianapolis East
0225.htm,Harrison College-Northwest
0226.htm,Ivy Tech Community College-Central Indiana
0227.htm,Ivy Tech Community College-East Central
0228.htm,Ivy Tech Community College-Kokomo
0229.htm,Ivy Tech Community College-Lafayette
0230.htm,Ivy Tech Community College-Northeast
0231.htm,Ivy Tech Community College-Northwest
0232.htm,Ivy Tech Community College-South Central
0233.htm,Ivy Tech Community College-Southeast
0234.htm,Ivy Tech Community College-Southwest
0235.htm,Ivy Tech Community College-Wabash Valley
0236.htm,Kaplan College-Hammond
0237.htm,AIB College of Business
0238.htm,Allen College
0239.htm,Buena Vista University
0240.htm,Clarke College
0241.htm,Cornell College
0242.htm,Des Moines University-Osteopathic Medical Center
0243.htm,Divine Word College
0244.htm,Emmaus Bible College
0245.htm,Graceland University-Lamoni
0246.htm,Iowa Wesleyan College
0247.htm,Kaplan University
0248.htm,Kaplan University-Cedar Falls Campus
0249.htm,Kaplan University-Cedar Rapids Campus
0250.htm,Kaplan University-Council Bluffs Campus
0251.htm,Kaplan University-Des Moines Campus
0252.htm,Mount Mercy College
0253.htm,Palmer College of Chiropractic
0254.htm,Simpson College
0255.htm,Waldorf College
0256.htm,Wartburg College
0257.htm,Wartburg Theological Seminary
0258.htm,Des Moines Area Community College
0259.htm,Eastern Iowa Community College District
0260.htm,Hawkeye Community College
0261.htm,Iowa Central Community College
0262.htm,Kirkwood Community College
0263.htm,Marshalltown Community College
0264.htm,North Iowa Area Community College
0265.htm,Northeast Iowa Community College-Calmar
0266.htm,Southwestern Community College
0267.htm,Western Iowa Tech Community College
0268.htm,Barclay College
0269.htm,Benedictine College
0270.htm,Bethany College
0271.htm,Central Christian College of Kansas
0272.htm,Cleveland Chiropractic College
0273.htm,Donnelly College
0274.htm,Haskell Indian Nations University
0275.htm,Kansas Wesleyan University
0276.htm,Manhattan Christian College
0277.htm,MidAmerica Nazarene University
0278.htm,National American University-Wichita
0279.htm,Ottawa University
0280.htm,Ottawa University-Kansas City
0281.htm,Sterling College
0282.htm,Tabor College
0283.htm,The Art Institutes International-Kansas City
0284.htm,University of Saint Mary
0285.htm,Wichita State University
0286.htm,Allen County Community College
0287.htm,Brown Mackie College-Kansas City
0288.htm,Brown Mackie College-Salina
0289.htm,Butler Community College
0290.htm,Coffeyville Community College
0291.htm,Dodge City Community College
0292.htm,Manhattan Area Technical College
0293.htm,Northwest Kansas Technical College
0294.htm,Pinnacle Career Institute
0295.htm,Seward County Community College and Area Technical School
0296.htm,Vatterott College-Wichita
0297.htm,Wichita Area Technical College
0298.htm,Asbury Theological Seminary
0299.htm,Campbellsville University
0300.htm,DeVry University-Kentucky
