url,entityID
0000.htm,Alabama State University
0001.htm,Athens State University
0002.htm,Auburn University Main Campus
0003.htm,Auburn University at Montgomery
0004.htm,Birmingham Southern College
0005.htm,Faulkner University
0006.htm,Heritage Christian University
0007.htm,Huntingdon College
0008.htm,Jacksonville State University
0009.htm,Lurleen B Wallace Community College
0010.htm,Oakwood University
0011.htm,Samford University
0012.htm,Shelton State Community College
0013.htm,Spring Hill College
0014.htm,Troy University
0015.htm,Tuskegee University
0016.htm,The University of Alabama
0017.htm,University of Alabama at Birmingham
0018.htm,University of Alabama in Huntsville
0019.htm,University of Mobile
0020.htm,University of Montevallo
0021.htm,University of North Alabama
0022.htm,University of South Alabama
0023.htm,University of West Alabama
0024.htm,Alaska Pacific University
0025.htm,University of Alaska Anchorage
0026.htm,University of Alaska Fairbanks
0027.htm,Agnes Scott College
0028.htm,Albany State University
0029.htm,Armstrong Atlantic State University
0030.htm,Atlanta Christian College
0031.htm,Atlanta Metropolitan College
0032.htm,Augusta State University
0033.htm,Berry College
0034.htm,Brenau University
0035.htm,Brewton-Parker College
0036.htm,Central Georgia Technical College
0037.htm,Clark Atlanta University
0038.htm,Clayton State University
0039.htm,Columbus State University
0040.htm,Covenant College
0041.htm,Dalton State College
0042.htm,DeVry University-Georgia
0043.htm,East Georgia College
0044.htm,Emmanuel College
0045.htm,Emory University
0046.htm,Emory University
0047.htm,Fort Valley State University
0048.htm,Gainesville State College
0049.htm,Georgia College & State University
0050.htm,Georgia Perimeter College
0051.htm,Georgia Southern University
0052.htm,Georgia State University
0053.htm,Heart of Georgia Technical College
0054.htm,Kennesaw State University
0055.htm,LaGrange College
0056.htm,Life University
0057.htm,Macon State College
0058.htm,Medical College of Georgia
0059.htm,Mercer University
0060.htm,Middle Georgia College
0061.htm,Morehouse College
0062.htm,Oglethorpe University
0063.htm,Paine College
0064.htm,Piedmont College
0065.htm,Reinhardt College
0066.htm,Savannah College of Art and Design
0067.htm,Savannah State University
0068.htm,Shorter College
0069.htm,South University-Savannah
0070.htm,Spelman College
0071.htm,Thomas University
0072.htm,Toccoa Falls College
0073.htm,Truett-McConnell College
0074.htm,University of Georgia
0075.htm,University of West Georgia
0076.htm,Valdosta State University
0077.htm,Young Harris College
0078.htm,Brigham Young University-Hawaii
0079.htm,Chaminade University of Honolulu
0080.htm,Hawaii Pacific University
0081.htm,Honolulu Community College
0082.htm,Leeward Community College
0083.htm,University of Hawaii at Hilo
0084.htm,University of Hawaii at Manoa
0085.htm,Boise Bible College
0086.htm,Boise State University
0087.htm,Brigham Young University-Idaho
0088.htm,Idaho State University
0089.htm,Lewis-Clark State College
0090.htm,Northwest Nazarene University
0091.htm,The College of Idaho
0092.htm,Augustana College
0093.htm,Aurora University
0094.htm,Benedictine University
0095.htm,Blackburn College
0096.htm,Bradley University
0097.htm,Chicago State University
0098.htm,Concordia University
0099.htm,DePaul University
0100.htm,DeVry University-Illinois
0101.htm,Dominican University
0102.htm,Elmhurst College
0103.htm,Eureka College
0104.htm,Harper College
0105.htm,Illinois College
0106.htm,Illinois Institute of Technology
0107.htm,Illinois State University
0108.htm,Illinois Wesleyan University
0109.htm,Judson University
0110.htm,Lake Forest College
0111.htm,Lewis University
0112.htm,Lincoln Christian University
0113.htm,Loyola University Chicago
0114.htm,MacMurray College
0115.htm,McKendree University
0116.htm,Midstate College
0117.htm,Millikin University
0118.htm,Monmouth College
0119.htm,Moraine Valley Community College
0120.htm,National-Louis University
0121.htm,North Central College
0122.htm,Northeastern Illinois University
0123.htm,Northern Illinois University
0124.htm,Quincy University
0125.htm,Richland Community College
0126.htm,Robert Morris University Illinois
0127.htm,Rockford College
0128.htm,Roosevelt University
0129.htm,Rush University
0130.htm,Saint Xavier University
0131.htm,Trinity Christian College
0132.htm,Trinity International University
0133.htm,University of Illinois at Chicago
0134.htm,University of St Francis
0135.htm,Western Illinois University
0136.htm,Ancilla College
0137.htm,Anderson University
0138.htm,Ball State University
0139.htm,Bethel College
