url,entityID
0000.htm,Abraham Baldwin Agricultural College
0001.htm,Academy College
0002.htm,Academy of Healing Arts, Massage,
0003.htm,Academy of Medical Arts and Business
0004.htm,Academy Pacific Business and Travel College
0005.htm,Adelphi University
0006.htm,Adrian College
0007.htm,Agnes Scott College
0008.htm,AIB College of Business
0009.htm,Aiken Technical College
0010.htm,AIMS Academy (Dallas)
0011.htm,AIMS Academy (Grand Prairie)
0012.htm,Aims Community College
0013.htm,Akron Institute
0014.htm,Akron Machining Institute
0015.htm,Alabama Southern Community College (Monroeville)
0016.htm,Alabama Southern Community College (Thomasville)
0017.htm,Alabama State University
0018.htm,Albany State University
0019.htm,Albert A. List College of Jewish Studies at JTS
0020.htm,Albertus Magnus College
0021.htm,Alderson-Broaddus College
0022.htm,Alexandria Technical College
0023.htm,Alfred University Undergraduate Application
0024.htm,All-State Career School (Maryland)
0025.htm,Allan Hancock College
0026.htm,Allegany College - Bedford County Campus
0027.htm,Allegany College - Somerset Campus
0028.htm,Allen County Community College
0029.htm,Alma College
0030.htm,Altamaha Technical Institute (Jesup)
0031.htm,American Academy of Dramatic Arts West
0032.htm,American Ballet Center/Joffrey Ballet School
0033.htm,American Commercial College (Lubbock)
0034.htm,American Health Science University
0035.htm,American Indian College of the Assemblies of God, Inc.
0036.htm,American Institute of Applied Science
0037.htm,American Institute of Health Technology, Inc.
0038.htm,American Institute of Technology
0039.htm,American International College
0040.htm,American Jewish University
0041.htm,American School of Business (Louisiana)
0042.htm,American Trans Air Aviation
0043.htm,Ancilla College
0044.htm,Anderson College
0045.htm,Anderson University
0046.htm,Andover College
0047.htm,Andrews University
0048.htm,Angelina College
0049.htm,Anoka-Hennepin Technical College
0050.htm,Anoka-Ramsey Community College
0051.htm,Antonelli College (Jackson)
0052.htm,Antonelli College (Ohio)
0053.htm,Antonelli Institute
0054.htm,Apex Technical School
0055.htm,Apollo College of Medical-Dental Careers
0056.htm,Appalachian State University
0057.htm,Applied Career Training, Inc.
0058.htm,Arapahoe Community College
0059.htm,Arcadia University
0060.htm,Arizona Institute of Business and Technology - Mesa
0061.htm,Arizona Institute of Business and Technology - West Valley
0062.htm,Arizona State University East
0063.htm,Arizona State University West
0064.htm,Arizona Western College
0065.htm,Arkansas State University
0066.htm,Arkansas State University - Beebe
0067.htm,Arkansas State University - Newport Campus
0068.htm,Art Institute of Charlotte
0069.htm,Art Institute of Colorado
0070.htm,Art Institute of Southern California
0071.htm,Asbury College
0072.htm,Ashland Community College
0073.htm,Ashland Technical College
0074.htm,Asnuntuck Community College
0075.htm,ASU MBA
0076.htm,Athens Area Technical Institute
0077.htm,ATI - Career Training Center (Hurst)
0078.htm,ATI - Health Education Center
0079.htm,Atlanta Institute of Music
0080.htm,Atlanta School of Massage
0081.htm,Atlantic County Vocational School
0082.htm,Atlantic Technical Center (Coconut Creek)
0083.htm,Auburn University
0084.htm,Auburn University-Montgomery
0085.htm,Audrey Cohen College
0086.htm,Augsburg College
0087.htm,Augustana College (IL)
0088.htm,Austin College
0089.htm,Austin Community College
0090.htm,Automotive Training Center
0091.htm,Avila College International Programs
0092.htm,Avila University
0093.htm,Azusa Pacific University
0094.htm,Babson College
0095.htm,Babson College FW Olin Graduate School of Business
0096.htm,Bacone College
0097.htm,Bakersfield College
0098.htm,Baldwin-Wallace College
0099.htm,Ball State University
0100.htm,Baltimore City Community College
0101.htm,Baltimore International College
0102.htm,Baptist Bible College and Seminary of Pennsylvania
0103.htm,Baptist Bible College East
0104.htm,Barber Scotia College
0105.htm,Barber Styling Institute
0106.htm,Barnard College
0107.htm,Barry University
0108.htm,Barstow College
0109.htm,Barton College
0110.htm,Barton County Community College
0111.htm,Baruch College Graduate Studies
0112.htm,Bay de Noc Community College
0113.htm,Bay Path College
0114.htm,Bay State College
0115.htm,Baylor University
0116.htm,Baylor University Hankamer School of Business
0117.htm,Beacon College
0118.htm,Beaufort County Community College
0119.htm,Becker College
0120.htm,Beckfield College
0121.htm,Bel-Rea Institute of Animal Technology
0122.htm,Belhaven College
0123.htm,Bellevue Community College
0124.htm,Bellevue University Undergraduate Online
0125.htm,Bellingham Technical College
0126.htm,Belmont Abbey College
0127.htm,Benedict College
0128.htm,Bennington College
0129.htm,Bentley College McCallum Grad School of Business
0130.htm,Berea College
0131.htm,Bergen County Technical Schools
0132.htm,Berkeley College - Bergen Campus
0133.htm,Berkeley College - Middlesex Campus
0134.htm,Berkeley College - New York City Campus
0135.htm,Berkeley College of West Paterson
0136.htm,Berkeley College of White Plains
0137.htm,Berry College
0138.htm,Beta Tech (Virginia)
0139.htm,Bethany College (WV)
0140.htm,Bethel College (KS)
0141.htm,Bethel College (MN)
0142.htm,Bethune-Cookman College
0143.htm,Beulah Heights Bible College
0144.htm,Bevill State Community College
0145.htm,Bidwell Training Center
0146.htm,Biola University
0147.htm,Birmingham-Southern College
0148.htm,Bishop State Community College
0149.htm,Bismarck State College
0150.htm,Bladen Community College
0151.htm,Blessing-Rieman College of Nursing
0152.htm,Blinn College
0153.htm,Blue Mountain College
0154.htm,Blue Mountain Community College
0155.htm,Blue Ridge Community College (Virginia)
0156.htm,Bluefield State College
0157.htm,Bluffton College
0158.htm,Boonslick Technical Education Center
0159.htm,Boston College
0160.htm,Boston Conservatory
0161.htm,Boston University
0162.htm,Boston University College of Communication
0163.htm,Boston University College of Engineering
0164.htm,Boston University College of Fine Arts
0165.htm,Boston University Executive MBA Program
0166.htm,Boston University Graduate Management Programs
0167.htm,Boston University Graduate Medical Sciences
0168.htm,Boston University Sargent Coll of Health
0169.htm,Boston University School of Law LL.M. in Tax
0170.htm,Boston University School of Theology
0171.htm,Bowie State University
0172.htm,Bowling Green Technical College
0173.htm,Bowling Green Technical College - Glasgow Campus
0174.htm,Bradford College
0175.htm,Bradley University
0176.htm,Bramson ORT Technical Institute
0177.htm,Brandeis University - The Heller Graduate School
0178.htm,Branford Hall Career Institute
0179.htm,Brenau University The Women's College
0180.htm,Brescia University
0181.htm,Brevard Community College
0182.htm,Brewton-Parker College
0183.htm,Briar Cliff University
0184.htm,Briarwood College
0185.htm,Brick Computer Science Institute
0186.htm,Bridgewater College
0187.htm,Bridgewater State College
0188.htm,Brigham Young University
0189.htm,Bristol Community College
0190.htm,Broadcasting Institute of Maryland
0191.htm,Brookhaven College
0192.htm,Broward Community College
0193.htm,Brown College of Court Reporting
0194.htm,Brown University Graduate School
0195.htm,Brunswick Community College
0196.htm,Bryan Career College (Kansas)
0197.htm,Bryan Career College (Missouri)
0198.htm,Bryan College of Court Reporting
0199.htm,Bryant
0200.htm,Bryant
0201.htm,Bryant College
0202.htm,Bryman College - Whittier
0203.htm,Bryn Athyn College of the New Church
0204.htm,Bryn Mawr College
0205.htm,Buena Vista University
0206.htm,Burdett College (Boston)
0207.htm,Burdett College (Worcester)
0208.htm,Burlington County College
0209.htm,Business Informatics Center College for Business
0210.htm,Business Training Institute
0211.htm,Butler County Community College (Kansas)
0212.htm,Butler County Community College (Pennsylvania)
0213.htm,Butler University
0214.htm,Butte College
