url,entityID
0000.htm,Alabama A&M University
0001.htm,Auburn University
0002.htm,Jacksonville State University
0003.htm,The University of Alabama
0004.htm,Troy University
0005.htm,University of Alabama in Huntsville
0006.htm,University of South Alabama
0007.htm,University of West Alabama
0008.htm,Alabama Southern Community College
0009.htm,Bevill State Community College
0010.htm,Bishop State Community College
0011.htm,Chattahoochee Valley Community College
0012.htm,Enterprise - Ozark Community College
0013.htm,George C Wallace Community College - Dothan
0014.htm,George C Wallace State Community College - Hanceville
0015.htm,J F Drake State Technical College
0016.htm,James H Faulkner State Community College
0017.htm,Jefferson State Community College
0018.htm,Lawson State Community College - Birmingham Campus
0019.htm,Lurleen B Wallace Community College
0020.htm,Northeast Alabama Community College
0021.htm,Shelton State Community College
0022.htm,Southern Union State Community College
0023.htm,Concordia College - Selma
0024.htm,Heritage Christian University
0025.htm,Herzing College
0026.htm,Huntsville Bible College
0027.htm,Miles College
0028.htm,Oakwood College
0029.htm,Samford University
0030.htm,Spring Hill College
0031.htm,Tuskegee University
0032.htm,University of Mobile
0033.htm,Virginia College - Birmingham
0034.htm,Capps College
0035.htm,Prince Institute of Professional Studies Inc
0036.htm,Blue Cliff Career College
0037.htm,Capps College - Foley
0038.htm,Southeastern School of Cosmetology
0039.htm,Charter College
0040.htm,Abraham Baldwin Agricultural College
0041.htm,Clayton State University
0042.htm,Dalton State College
0043.htm,Gainesville State College
0044.htm,Georgia State University
0045.htm,Gordon College
0046.htm,Kennesaw State University
0047.htm,Macon State College
0048.htm,Medical College of Georgia
0049.htm,Southern Polytechnic State University
0050.htm,Valdosta State University
0051.htm,Athens Technical College
0052.htm,Augusta Technical College
0053.htm,Bainbridge College
0054.htm,Chattahoochee Technical College
0055.htm,Coastal Georgia Community College
0056.htm,Columbus Technical College
0057.htm,East Central Technical College
0058.htm,East Georgia College
0059.htm,Flint River Technical College
0060.htm,Georgia Highlands College
0061.htm,Georgia Military College - Milledgeville Campus
0062.htm,Grady Health System Professional Schools
0063.htm,Griffin Technical College
0064.htm,Gwinnett Technical College
0065.htm,North Metro Technical College
0066.htm,Ogeechee Technical College
0067.htm,South Georgia Technical College
0068.htm,Southeastern Technical College
0069.htm,Waycross College
0070.htm,American Intercontinental University - Dunwoody Campus
0071.htm,Augusta Area Dietetic Internship - University Hospital
0072.htm,Bauder College
0073.htm,Beacon University
0074.htm,Beulah Heights University
0075.htm,Brenau University
0076.htm,Brewton - Parker College
0077.htm,Covenant College
0078.htm,Herzing College
0079.htm,Interdenominational Theological Center
0080.htm,Lagrange College
0081.htm,Life University
0082.htm,Mercer University
0083.htm,Morehouse College
0084.htm,Piedmont College
0085.htm,Reinhardt College
0086.htm,Savannah College of Art and Design
0087.htm,Thomas University
0088.htm,Truett - Mcconnell College
0089.htm,Wesleyan College
0090.htm,Sanford - Brown Institute
0091.htm,Savannah River College
0092.htm,The Creative Circus
0093.htm,American Professional Institute
0094.htm,Atlanta Institute of Music
0095.htm,Atlanta School of Massage
0096.htm,Augusta School of Massage
0097.htm,Beauty College of America
0098.htm,Empire Beauty School - Dunwoody
0099.htm,Fayette Beauty Academy
0100.htm,Michael's School of Beauty
0101.htm,Omnitech Institute
0102.htm,Pro Way Hair School
0103.htm,Rising Spirit Institute of Natural Health
0104.htm,University of Hawaii at Manoa
0105.htm,Hawaii Community College
0106.htm,Honolulu Community College
0107.htm,Kapiolani Community College
0108.htm,Kauai Community College
0109.htm,Leeward Community College
0110.htm,Windward Community College
0111.htm,Chaminade University of Honolulu
0112.htm,Hawaii Pacific University
0113.htm,World Medicine Institute
0114.htm,Hawaii Technology Institute
0115.htm,Med - Assist School of Hawaii Inc
0116.htm,Travel Institute of the Pacific
0117.htm,Boise State University
0118.htm,College of Southern Idaho
0119.htm,Eastern Idaho Technical College
0120.htm,North Idaho College
0121.htm,Boise Bible College
0122.htm,Itt Technical Institute - Boise
0123.htm,Northwest Nazarene University
0124.htm,The College of Idaho
0125.htm,Apollo College
0126.htm,Career Beauty College
0127.htm,Headmasters School of Hair Design
0128.htm,Razzle Dazzle College Inc
0129.htm,Eastern Illinois University
0130.htm,Governors State University
0131.htm,Northern Illinois University
0132.htm,Southern Illinois University Carbondale
0133.htm,Southern Illinois University Edwardsville
0134.htm,University of Illinois at Chicago
0135.htm,University of Illinois at Urbana - Champaign
