url,entityID
0000.htm,Seton Hall University
0001.htm,Abilene Christian University
0002.htm,Adelphi University
0003.htm,Agnes Scott College
0004.htm,The College of Idaho
0005.htm,Albion College
0006.htm,Albright College
0007.htm,Alfred University
0008.htm,Allegheny College
0009.htm,Alma College
0010.htm,American University
0011.htm,Amherst College
0012.htm,Anderson University (SC)
0013.htm,Anderson University (IN)
0014.htm,Angelo State University
0015.htm,Appalachian State University
0016.htm,Arcadia University
0017.htm,Arizona State University
0018.htm,Ashland University
0019.htm,Assumption College
0020.htm,Auburn University
0021.htm,Augsburg College
0022.htm,Augustana College (SD)
0023.htm,Austin College
0024.htm,Azusa Pacific University
0025.htm,Babson College
0026.htm,Baker University
0027.htm,Baldwin-Wallace College
0028.htm,Ball State University
0029.htm,Bard College
0030.htm,Bard College at Simon's Rock
0031.htm,Barnard College
0032.htm,Barton College
0033.htm,City University of New York--Baruch College
0034.htm,Bates College
0035.htm,Baylor University
0036.htm,Bellarmine University
0037.htm,Belmont Abbey College
0038.htm,Belmont University
0039.htm,Beloit College
0040.htm,Bennington College
0041.htm,Bentley University
0042.htm,Berea College
0043.htm,Bethany College (WV)
0044.htm,Birmingham-Southern College
0045.htm,Boston College
0046.htm,Boston University
0047.htm,Bowdoin College
0048.htm,Bradley University
0049.htm,Brandeis University
0050.htm,Brenau University The Women's College
0051.htm,Brescia University
0052.htm,Bridgewater College
0053.htm,Brigham Young University (UT)
0054.htm,Brown University
0055.htm,Bryant University
0056.htm,Bryn Mawr College
0057.htm,Bucknell University
0058.htm,Butler University
0059.htm,California Institute of Technology
0060.htm,California Institute of the Arts
0061.htm,California State University--East Bay
0062.htm,California State University--Long Beach
0063.htm,California State University--San Bernardino
0064.htm,California State University, Stanislaus
0065.htm,California University of Pennsylvania
0066.htm,Calvin College
0067.htm,Campbell University
0068.htm,Carleton College
0069.htm,Carnegie Mellon University
0070.htm,Carson-Newman College
0071.htm,Carthage College
0072.htm,Case Western Reserve University
0073.htm,Catawba College
0074.htm,Cedarville University
0075.htm,Centenary College of Louisiana
0076.htm,Central Connecticut State University
0077.htm,Centre College
0078.htm,Chapman University
0079.htm,Chatham University
0080.htm,Chestnut Hill College
0081.htm,Christian Brothers University
0082.htm,Brooklyn College CUNY
0083.htm,Hunter College, CUNY
0084.htm,City University of New York--Queens College
0085.htm,Claremont McKenna College
0086.htm,Clark Atlanta University
0087.htm,Clarke College
0088.htm,Clarkson University
0089.htm,Clark University
0090.htm,Clemson University
0091.htm,Coe College
0092.htm,Coker College
0093.htm,Colby College
0094.htm,Colgate University
0095.htm,Misericordia University
0096.htm,College of Charleston
0097.htm,College of Santa Fe
0098.htm,College of the Atlantic
0099.htm,College of the Holy Cross
0100.htm,College of the Ozarks
0101.htm,College of William and Mary
0102.htm,Colorado College
0103.htm,Colorado State University
0104.htm,Columbia College (MO)
0105.htm,Columbia University
0106.htm,Concord University
0107.htm,Connecticut College
0108.htm,Corban College
0109.htm,Cornell College
0110.htm,Cornell University
0111.htm,Covenant College
0112.htm,Creighton University
0113.htm,Dartmouth College
0114.htm,Davidson College
0115.htm,Deep Springs College
0116.htm,Delaware Valley College
0117.htm,Denison University
0118.htm,DePaul University
0119.htm,DePauw University
0120.htm,Dickinson College
0121.htm,Doane College
0122.htm,Dordt College
0123.htm,Drake University
0124.htm,Drew University
0125.htm,Drexel University
0126.htm,Drury University
0127.htm,Duke University
0128.htm,Duquesne University
0129.htm,East Carolina University
0130.htm,Eastern Connecticut State University
0131.htm,Eastern Michigan University
0132.htm,East Tennessee State University
0133.htm,Eckerd College
0134.htm,Edgewood College
0135.htm,Elizabethtown College
0136.htm,Elmhurst College
0137.htm,Elmira College
0138.htm,Elon University
0139.htm,Emerson College
0140.htm,Emory University
0141.htm,Eugene Lang College The New School for Liberal Arts
0142.htm,Fairfield University
0143.htm,Flagler College
0144.htm,Florida Atlantic University
0145.htm,Florida Institute of Technology
0146.htm,Florida Southern College
0147.htm,Florida State University
0148.htm,Fordham University
0149.htm,Fort Lewis College
0150.htm,Franklin &amp; Marshall College
0151.htm,Franklin W. Olin College of Engineering
0152.htm,Furman University
0153.htm,George Fox University
0154.htm,George Mason University
0155.htm,Georgetown University
0156.htm,Georgia College &amp; State University
0157.htm,Georgia Institute of Technology
0158.htm,Gettysburg College
0159.htm,Gonzaga University
0160.htm,Gordon College
0161.htm,Goucher College
0162.htm,Grace College and Seminary
0163.htm,Graceland University
0164.htm,Grand Valley State University
0165.htm,Green Mountain College
0166.htm,Grinnell College
0167.htm,Grove City College
0168.htm,Guilford College
0169.htm,Gustavus Adolphus College
0170.htm,Hamilton College
0171.htm,Hamline University
0172.htm,Hampden-Sydney College
0173.htm,Hampshire College
0174.htm,Hampton University
0175.htm,Hanover College
0176.htm,Harding University
0177.htm,Hardin-Simmons University
0178.htm,Hartwick College
0179.htm,Harvard College
0180.htm,Harvey Mudd College
0181.htm,Hastings College
