url,entityID
0000.htm,Acadia University
0001.htm,Adams State College
0002.htm,Babson College
0003.htm,Bainbridge College
0004.htm,Baker College of Auburn Hills
0005.htm,Baker College of Cadillac
0006.htm,Baker College of Flint
0007.htm,Baker University
0008.htm,Bakersfield College
0009.htm,Baldwin-Wallace College
0010.htm,Ball State University
0011.htm,Baltimore City Community College
0012.htm,Baltimore City Community College - Harbor
0013.htm,Baltimore Hebrew University
0014.htm,Baltimore International College
0015.htm,Bank Street College of Education
0016.htm,Baptist Bible College and Seminary
0017.htm,Barclay College
0018.htm,Bard College
0019.htm,Barnard College
0020.htm,Barry University
0021.htm,Barstow Community College
0022.htm,Kalamazoo College
0023.htm,Kalamazoo Valley Community College
0024.htm,Kansas City Area Vocational Technical School
0025.htm,Kansas City Art Institute
0026.htm,Kansas City Kansas Community College
0027.htm,Kansas State University
0028.htm,Kansas Wesleyan University
0029.htm,Katharine Gibbs School - Montclair
0030.htm,Katharine Gibbs School - Piscataway
0031.htm,Kean University
0032.htm,Keene State College
0033.htm,Norwich University
0034.htm,Notre Dame College
0035.htm,Notre Dame de Namur University
0036.htm,Nova Scotia College of Art and Design
0037.htm,Nyack College
0038.htm,NYS College of Human Ecology
0039.htm,Ohio Wesleyan University
0040.htm,Ohlone College
0041.htm,Okaloosa-Walton Community College
0042.htm,Oklahoma Baptist University
0043.htm,Oklahoma Christian University
0044.htm,Oklahoma City Community College
0045.htm,Oklahoma Panhandle State University
0046.htm,Oklahoma State University - Stillwater
0047.htm,Olivet College
0048.htm,Olympic College
0049.htm,Onondaga Community College
0050.htm,Orange Coast College
0051.htm,Orange Technical Education Center - Orlando Tech
0052.htm,Orange Technical Education Center - Winter Park Tech
0053.htm,Orangeburg-Calhoun Technical College
0054.htm,Oregon Health Sciences University
0055.htm,Oregon Institute of Technology
0056.htm,Otis College of Art and Design
0057.htm,Ottawa University
0058.htm,Ouachita Baptist University
0059.htm,Ouachita Technical College
0060.htm,Our Lady of Holy Cross College
0061.htm,Our Lady of the Lake University
0062.htm,Owens State Community College - Toledo
0063.htm,Owensboro Community and Technical College
0064.htm,Oxford College of Emory University
0065.htm,Ozark Christian College
0066.htm,Patten University
0067.htm,Paul D. Camp Community College - Franklin Campus
0068.htm,Paul D. Camp Community College - Hobbs Campus
0069.htm,Paul Quinn College
0070.htm,Peace College
0071.htm,Pearl River Community College - Pearl River County Center
0072.htm,Pellissippi State Community College
0073.htm,Peninsula College
0074.htm,Penn State Beaver
0075.htm,Penn State Delaware County
0076.htm,Penn State Erie, Behrend College
0077.htm,Penn State Fayette
0078.htm,Penn State Harrisburg
0079.htm,Penn State McKeesport
0080.htm,Penn State University Park
0081.htm,Penn State Wilkes-Barre
0082.htm,Penn State Worthington Scranton
0083.htm,Penn State York
0084.htm,Penn Valley Community College
0085.htm,Pennsylvania Culinary Institute
0086.htm,Pennsylvania Gunsmith School
0087.htm,Pennsylvania School of Art and Design
0088.htm,Pepperdine University
0089.htm,Petit Jean College
0090.htm,Phillips Community College of the University of Arkansas
0091.htm,Phoenix College
0092.htm,Piedmont College
0093.htm,Piedmont Community College
0094.htm,Piedmont Virginia Community College
0095.htm,Pierce College
0096.htm,Pierpont Community and Technical College
0097.htm,Pikes Peak Community College
0098.htm,Pikeville College
0099.htm,Pima Community College
0100.htm,Pine Manor College
0101.htm,Pinellas Technical Education Center - St. Petersburg Campus
0102.htm,Pinellas Technical Education Centers - Clearwater
0103.htm,Pitt Community College
0104.htm,Pittsburgh Technical Institute
0105.htm,PJA School
0106.htm,Plaza Business Institute
0107.htm,Plymouth State College
0108.htm,Point Loma Nazarene University
0109.htm,Point Park College
0110.htm,Polk Community College
0111.htm,Polytechnic University
0112.htm,Polytechnic University of Puerto Rico
0113.htm,Portland Community College
0114.htm,Portland State University
0115.htm,Post University
0116.htm,Potomac State College of West Virginia University
0117.htm,Prairie View A&M University
0118.htm,Pratt Community College
0119.htm,Pratt Institute
0120.htm,Premiere Career College
0121.htm,Presbyterian College
0122.htm,Prescott College
0123.htm,Prince George's Community College
0124.htm,Prince William Sound Community College
0125.htm,Providence College and Theological Seminary
0126.htm,Pulaski Technical College
0127.htm,Purdue University
0128.htm,Purdue University - Calumet
0129.htm,Putnam County Technical Center
0130.htm,Rensselaer at Hartford
0131.htm,Research College of Nursing
0132.htm,Rhode Island School of Design
0133.htm,Rhodes College
0134.htm,Rhodes State College
0135.htm,Rice University
0136.htm,Rich Mountain Community College
0137.htm,Richard Bland College
0138.htm,Ricks College
0139.htm,Ridgewater College - Hutchinson
0140.htm,Ringling School of Art and Design
0141.htm,Ripon College
0142.htm,River Parishes Community College
0143.htm,Riverland Community College - Austin
0144.htm,Riverside City College
0145.htm,Rivier College
0146.htm,Roanoke Bible College
0147.htm,Roanoke College
0148.htm,Roanoke-Chowan Community College
0149.htm,Robert Morgan Vocational-Technical Center
0150.htm,Robert Morris University
0151.htm,Rochester Business Institute
0152.htm,Rochester Institute of Technology
0153.htm,Rockingham Community College
0154.htm,Rockland Community College
0155.htm,Rockland Community College - Haverstraw Learning Center
0156.htm,Rocky Mountain College of Art + Design
0157.htm,Rogers State University
0158.htm,L. E. Fletcher Technical Community College
0159.htm,La Salle University
0160.htm,Laboratory Institute of Merchandising
0161.htm,Laboure College
0162.htm,Lac Courte Oreilles Ojibwa Community College
0163.htm,Lackawanna College - Scranton
0164.htm,LaGrange College
0165.htm,LaGuardia Community College
0166.htm,Laguna College of Art and Design
0167.htm,Lake Forest College
0168.htm,Lake Land College
0169.htm,Lake Region State College
0170.htm,Lake Tahoe Community College
0171.htm,Lake Washington Technical College
0172.htm,Lake-Sumter Community College
0173.htm,Lakeland College
0174.htm,Lakeland Community College
0175.htm,Lakeshore Technical College
0176.htm,Lakeview College of Nursing
0177.htm,Lamar Community College
0178.htm,Lamar University
0179.htm,Lambuth University
0180.htm,Lancaster Bible College
0181.htm,Rolla Technical Institute
0182.htm,Rosedale Technical Institute
0183.htm,Rowan University
0184.htm,Rowan-Cabarrus Community College
0185.htm,Roxbury Community College
0186.htm,Rush University
0187.htm,Russell Sage College
0188.htm,Rust College
0189.htm,Rutgers University - Camden Campus
0190.htm,Rutgers University - Camden College of Arts and Sciences
0191.htm,Rutgers University - College of Nursing
0192.htm,Rutgers University - College of Pharmacy
0193.htm,Rutgers University - Mason Gross School of the Arts
0194.htm,Rutgers University - New Brunswick Campus
0195.htm,Rutgers University - Newark Campus
0196.htm,Rutgers University - School of Engineering
0197.htm,Ryerson Polytechnic University
0198.htm,Saint Mary's University of Minnesota
0199.htm,Saint Mary-of-the-Woods College
0200.htm,Saint Paul Technical College
0201.htm,Saint Paul's College
0202.htm,Saint Peter's College
0203.htm,Saint Petersburg College - Clearwater Campus
0204.htm,Saint Petersburg College - Tarpon Springs Campus
0205.htm,Saint Xavier University
0206.htm,Salem Community College
0207.htm,Salem County Vocational-Technical Schools
0208.htm,Salem International University
0209.htm,Salem State College
0210.htm,Salisbury State University
0211.htm,Salish Kootenai College
0212.htm,Salt Lake Community College
0213.htm,Samford University
0214.htm,Sampson Community College
0215.htm,Samuel Merritt University
0216.htm,San Diego Christian College
0217.htm,San Diego Mesa College
0218.htm,San Diego Miramar College
0219.htm,San Diego State University
0220.htm,San Francisco Art Institute
0221.htm,San Francisco Conservatory of Music
0222.htm,San Jose State University
0223.htm,San Juan College
0224.htm,Sandersville Technical College
0225.htm,Sanford-Brown College - St. Charles
0226.htm,Santa Barbara City College
0227.htm,Santa Clara University
0228.htm,Santa Fe College
0229.htm,Santa Fe Community College - Santa Fe
0230.htm,Santa Rosa Junior College
0231.htm,Sarah Lawrence College
0232.htm,Sarasota County Technical Institute
0233.htm,Savannah College of Art and Design, The
0234.htm,Savannah State University
0235.htm,Schenectady County Community College
0236.htm,School of the Art Institute of Chicago, The
0237.htm,School of Visual Arts
0238.htm,Scott Community College
0239.htm,Scottsdale Community College
0240.htm,Seattle Central Community College
0241.htm,Seattle Pacific University
0242.htm,Seattle University
0243.htm,Seminary Extension Independent Study Institute
0244.htm,Seminole Community College
0245.htm,Seminole State College
0246.htm,Seton Hall University
0247.htm,Seton Hill University
0248.htm,Seward County Community College
0249.htm,Shaw University
0250.htm,Shawnee State University
0251.htm,Sheldon Jackson College
0252.htm,Shenandoah University
0253.htm,Shepherd University
0254.htm,Shippensburg University of Pennsylvania
0255.htm,Shorter University
0256.htm,Siena College
0257.htm,Sierra Nevada College
0258.htm,Sikeston Career and Technology Center
0259.htm,Silver Lake College
0260.htm,Simmons Institute of Funeral Service, Inc.
0261.htm,Simon Fraser University
0262.htm,Simon's Rock College of Bard
0263.htm,Simpson College - Redding
0264.htm,Simpson University
0265.htm,Sitting Bull College
0266.htm,Skidmore College
0267.htm,Skyline College
0268.htm,Slippery Rock University of Pennsylvania
0269.htm,Snead State Community College
0270.htm,Snow College
0271.htm,Sojourner-Douglass College
0272.htm,Soka University of America
0273.htm,Solano Community College
0274.htm,Somerset Community College
0275.htm,Somerset County Technical Institute
0276.htm,Sonoma State University
0277.htm,South Carolina State University
0278.htm,South Dakota State University
0279.htm,South Hills School of Business and Technology - Main Campus
0280.htm,South Mountain Community College
0281.htm,South Piedmont Community College
0282.htm,South Plains College - Levelland
0283.htm,South Puget Sound Community College
0284.htm,South Seattle Community College
0285.htm,Southeast Arkansas College
0286.htm,Southeast Community College - Lincoln Campus
0287.htm,Southeast Community College - Milford Campus
0288.htm,Southeast Kentucky Community and Technical College
0289.htm,Southeast Missouri State University
0290.htm,Southeast Technical Institute
0291.htm,Southeastern Baptist College
0292.htm,Southeastern Bible College - Birmingham
0293.htm,Southeastern Community College
0294.htm,Southeastern Community College - West Burlington
0295.htm,Southeastern Oklahoma State University
0296.htm,Southeastern Technical College
0297.htm,Southern Arkansas University - Magnolia
0298.htm,Southern California Institute of Architecture
0299.htm,Southern Connecticut State University
0300.htm,Southern Crescent Technical College
0301.htm,Southern Illinois University - Carbondale
0302.htm,Southern Illinois University Edwardsville
0303.htm,Southern Methodist University
0304.htm,Southern Nazarene University
0305.htm,Southern Oregon University
0306.htm,Southern Polytechnic State University
0307.htm,Southern Union State Community College
0308.htm,Southern University and A&M College
0309.htm,Southern University at New Orleans
0310.htm,Southern University in Shreveport
0311.htm,Southern West Virginia Community & Technical College
0312.htm,Southside Virginia Community College
0313.htm,Southwest Georgia Technical College
0314.htm,Southwest Kansas Technical School
0315.htm,Southwest Missouri State University - West Plains
0316.htm,Southwest Tennessee Community College
0317.htm,Southwest Virginia Community College
0318.htm,Southwest Wisconsin Technical College
0319.htm,Southwestern Adventist University
0320.htm,Southwestern Assemblies of God University
0321.htm,Southwestern Baptist Theological Seminary
0322.htm,Southwestern Christian College
0323.htm,Southwestern College - Kansas
0324.htm,Southwestern College - Northern Kentucky Campus
0325.htm,Southwestern Community College
0326.htm,Southwestern Michigan College
0327.htm,Southwestern Oklahoma State University
0328.htm,Southwestern Oregon Community College
0329.htm,Southwestern University
0330.htm,Macalester College
0331.htm,MacCormac College
0332.htm,MacMurray College
0333.htm,Macomb Community College
0334.htm,Macomb Community College - Center Campus
