url,entityID
0000.htm,Abilene Christian University
0001.htm,Adelphi University
0002.htm,Adrian College
0003.htm,Agnes Scott College
0004.htm,Alaska Pacific University
0005.htm,Albany State University
0006.htm,Albion College
0007.htm,Albright College
0008.htm,Alcorn State University
0009.htm,Alderson-Broaddus College
0010.htm,Alfred University
0011.htm,Alice Lloyd College
0012.htm,Allegheny College
0013.htm,Alma College
0014.htm,Alvernia University
0015.htm,Alverno College
0016.htm,American University
0017.htm,Amherst College
0018.htm,Anderson University
0019.htm,Anderson University
0020.htm,Andrews University
0021.htm,Appalachian State University
0022.htm,Aquinas College
0023.htm,Arcadia University
0024.htm,Arizona State University
0025.htm,Arkansas State University--Jonesboro
0026.htm,Arkansas Tech University
0027.htm,Asbury University
0028.htm,Ashland University
0029.htm,Assumption College
0030.htm,Auburn University
0031.htm,Auburn University--Montgomery
0032.htm,Augsburg College
0033.htm,Augustana College
0034.htm,Augustana College
0035.htm,Austin College
0036.htm,Austin Peay State University
0037.htm,Averett University
0038.htm,Avila University
0039.htm,Azusa Pacific University
0040.htm,Baker University
0041.htm,Baldwin-Wallace College
0042.htm,Ball State University
0043.htm,Baptist Bible College and Seminary
0044.htm,Bard College
0045.htm,Bard College at Simon's Rock
0046.htm,Barnard College
0047.htm,Barton College
0048.htm,Bates College
0049.htm,Baylor University
0050.htm,East Stroudsburg University of Pennsylvania
0051.htm,East Texas Baptist University
0052.htm,Eckerd College
0053.htm,Edgewood College
0054.htm,Edinboro University of Pennsylvania
0055.htm,Elizabeth City State University
0056.htm,Elizabethtown College
0057.htm,Elmhurst College
0058.htm,Elmira College
0059.htm,Elon University
0060.htm,Embry-Riddle Aeronautical University
0061.htm,Emerson College
0062.htm,Emmanuel College
0063.htm,Emmanuel College
0064.htm,Emory and Henry College
0065.htm,Emory University
0066.htm,Emporia State University
0067.htm,Endicott College
0068.htm,Erskine College
0069.htm,Eureka College
0070.htm,Evergreen State College
0071.htm,Fairfield University
0072.htm,Fairleigh Dickinson University
0073.htm,Fairmont State University
0074.htm,Farmingdale State College--SUNY
0075.htm,Faulkner University
0076.htm,Felician College
0077.htm,Ferris State University
0078.htm,Fisk University
0079.htm,Fitchburg State College
0080.htm,Flagler College
0081.htm,Florida Gulf Coast University
0082.htm,Florida Institute of Technology
0083.htm,Florida Southern College
0084.htm,Florida State University
0085.htm,Fontbonne University
0086.htm,Fordham University
0087.htm,Framingham State College
0088.htm,Franciscan University of Steubenville
0089.htm,Francis Marion University
0090.htm,Franklin and Marshall College
0091.htm,Franklin College
0092.htm,Freed-Hardeman University
0093.htm,Free Will Baptist Bible College
0094.htm,Fresno Pacific University
0095.htm,Frostburg State University
0096.htm,Furman University
0097.htm,Gannon University
0098.htm,Gardner-Webb University
0099.htm,Geneva College
0100.htm,George Fox University
0101.htm,George Mason University
0102.htm,Georgetown College
0103.htm,Georgetown University
0104.htm,George Washington University
0105.htm,Georgia College &amp; State University
0106.htm,Georgia Institute of Technology
0107.htm,Georgian Court University
0108.htm,Georgia Southwestern State University
0109.htm,Gettysburg College
0110.htm,Glenville State College
0111.htm,Gonzaga University
0112.htm,Gordon College
0113.htm,Goshen College
0114.htm,Goucher College
0115.htm,Grace College and Seminary
0116.htm,Graceland University
0117.htm,Grand Valley State University
0118.htm,Grand View University
0119.htm,Greenville College
0120.htm,Grinnell College
0121.htm,Grove City College
0122.htm,Guilford College
0123.htm,Gustavus Adolphus College
0124.htm,Gwynedd-Mercy College
0125.htm,Hamilton College
0126.htm,Hamline University
0127.htm,Hampden-Sydney College
0128.htm,Hampshire College
0129.htm,Hampton University
0130.htm,Hannibal-LaGrange College
0131.htm,Hanover College
0132.htm,Harding University
0133.htm,Hardin-Simmons University
0134.htm,Hartwick College
0135.htm,Harvard University
0136.htm,Harvey Mudd College
0137.htm,Hastings College
0138.htm,Haverford College
0139.htm,Hawaii Pacific University
0140.htm,Heidelberg University
0141.htm,Henderson State University
0142.htm,Hendrix College
0143.htm,High Point University
0144.htm,Hilbert College
0145.htm,Hillsdale College
0146.htm,Hiram College
0147.htm,Hobart and William Smith Colleges
0148.htm,Hofstra University
0149.htm,Hollins University
0150.htm,Holy Family University
0151.htm,Hood College
0152.htm,Hope College
0153.htm,Houghton College
0154.htm,Houston Baptist University
0155.htm,Howard Payne University
0156.htm,Howard University
0157.htm,Humboldt State University
0158.htm,Huntington University
0159.htm,Illinois College
0160.htm,Illinois Institute of Technology
0161.htm,Illinois State University
0162.htm,Illinois Wesleyan University
0163.htm,Immaculata University
0164.htm,Indiana University--Bloomington
0165.htm,Indiana University--Kokomo
0166.htm,Indiana Wesleyan University
0167.htm,Iona College
0168.htm,Iowa State University
0169.htm,Ithaca College
0170.htm,Jacksonville State University
0171.htm,Jacksonville University
0172.htm,James Madison University
0173.htm,Jamestown College
0174.htm,John Brown University
0175.htm,John Carroll University
0176.htm,Johns Hopkins University
0177.htm,Johnson and Wales University
0178.htm,Judson University
0179.htm,Juniata College
0180.htm,Kalamazoo College
0181.htm,Kansas State University
0182.htm,Kansas Wesleyan University
0183.htm,Kean University
0184.htm,Keene State College
0185.htm,Kennesaw State University
0186.htm,Kent State University
0187.htm,Kentucky State University
0188.htm,Kenyon College
0189.htm,Keuka College
0190.htm,Keystone College
0191.htm,King College
0192.htm,King's College
0193.htm,Knox College
0194.htm,Kutztown University of Pennsylvania
0195.htm,Lafayette College
0196.htm,LaGrange College
0197.htm,Lake Erie College
0198.htm,Lake Forest College
0199.htm,Lake Superior State University
0200.htm,Lander University
0201.htm,La Salle University
0202.htm,Lasell College
0203.htm,Lawrence Technological University
0204.htm,Lawrence University
0205.htm,Lebanon Valley College
0206.htm,Lee University
0207.htm,Lehigh University
0208.htm,Le Moyne College
0209.htm,Lenoir-Rhyne University
0210.htm,Lesley University
0211.htm,LeTourneau University
0212.htm,Lewis &amp; Clark College
0213.htm,Lewis-Clark State College
0214.htm,Lewis University
0215.htm,Limestone College
0216.htm,Lincoln Memorial University
0217.htm,Linfield College
0218.htm,Lipscomb University
0219.htm,Longwood University
0220.htm,Loras College
0221.htm,Louisiana College
0222.htm,Louisiana State University--Baton Rouge
0223.htm,Loyola Marymount University
0224.htm,Loyola University Chicago
0225.htm,Loyola University Maryland
0226.htm,Loyola University New Orleans
0227.htm,Luther College
0228.htm,Lycoming College
0229.htm,Lynchburg College
0230.htm,Lynn University
0231.htm,Lyon College
0232.htm,Macalester College
0233.htm,MacMurray College
0234.htm,Madonna University
0235.htm,Maine Maritime Academy
0236.htm,Malone University
0237.htm,Manchester College
0238.htm,Manhattan College
0239.htm,Manhattanville College
0240.htm,Mansfield University of Pennsylvania
0241.htm,Maranatha Baptist Bible College
0242.htm,Marian University
0243.htm,Marian University
0244.htm,Marietta College
0245.htm,Marist College
0246.htm,Marquette University
0247.htm,Marshall University
0248.htm,Mars Hill College
0249.htm,Mary Baldwin College
0250.htm,Marymount University
0251.htm,Maryville College
0252.htm,Maryville University of St. Louis
0253.htm,Marywood University
0254.htm,Massachusetts Institute of Technology
0255.htm,Massachusetts Maritime Academy
0256.htm,Master's College and Seminary
0257.htm,Mayville State University
0258.htm,McDaniel College
0259.htm,McKendree University
0260.htm,McMurry University
0261.htm,Mercer University
0262.htm,Mercyhurst College
0263.htm,Meredith College
0264.htm,Merrimack College
0265.htm,Messiah College
