movie	allmovie	mpaa_rating	
2000	2000	2000	4
0000	1	R	
0001	1	R	
0002	1	R	
0003	1	R	
0004	1	PG13	
0005	1	R	
0006	1	PG	
0007	1	R	
0008	1	R	
0009	1	R	
0010	1	NR	
0011	1	R	
0012	1	R	
0013	1	PG	
0014	1	R	
0015	1	PG	
0016	1	PG	
0017	1	NR	
0018	1	PG	
0019	1	R	
0020	1	NR	
0021	1	NR	
0022	1	NR	
0023	1	R	
0024	1	R	
0025	1	R	
0026	1	R	
0027	1	PG13	
0028	1	PG	
0029	1	NC17	
0030	1	R	
0031	1	R	
0032	1	R	
0033	1	PG	
0034	1	R	
0035	1	R	
0036	1	R	
0037	1	R	
0038	1	PG	
0039	1	PG	
0040	1	NR	
0041	1	R	
0042	1	PG	
0043	1	R	
0044	1	R	
0045	1	PG	
0046	1	R	
0047	1	NR	
0048	1	R	
0049	1	G	
0050	1	PG13	
0051	1	PG	
0052	1	PG	
0053	1	PG	
0054	1	G	
0055	1	PG	
0056	1	NR	
0057	1	R	
0058	1	R	
0059	1	PG	
0060	1	PG	
0061	1	PG	
0062	1	R	
0063	1	R	
0064	1	R	
0065	1	PG	
0066	1	PG	
0067	1	NR	
0068	1	R	
0069	1	PG	
0070	1	PG	
0071	1	PG	
0072	1	R	
0073	1	R	
0074	1	PG	
0075	1	PG	
0076	1	R	
0077	1	PG	
0078	1	R	
0079	1	PG	
0080	1	PG	
0081	1	PG	
0082	1	NR	
0083	1	PG	
0084	1	PG	
0085	1	R	
0086	1	G	
0087	1	G	
0088	1	G	
0089	1	G	
0090	1	PG	
0091	1	G	
0092	1	G	
0093	1	G	
0094	1	G	
0095	1	G	
0096	1	PG	
0097	1	G	
0098	1	PG	
0099	1	PG	
0100	1	PG	
0101	1	G	
0102	1	PG	
0103	1	NR	
0104	1	G	
0105	1	G	
0106	1	PG	
0107	1	G	
0108	1	G	
0109	1	G	
0110	1	G	
0111	1	G	
0112	1	PG	
0113	1	PG	
0114	1	G	
0115	1	G	
0116	1	PG	
0117	1	PG	
0118	1	PG	
0119	1	PG	
0120	1	G	
0121	1	G	
0122	1	G	
0123	1	G	
0124	1	PG	
0125	1	G	
0126	1	G	
0127	1	PG	
0128	1	PG	
0129	1	PG	
0130	1	G	
0131	1	PG	
0132	1	PG	
0133	1	G	
0134	1	PG	
0135	1	PG13	
0136	1	PG	
0137	1	PG13	
0138	1	PG	
0139	1	G	
0140	1	R	
0141	1	R	
0142	1	PG	
0143	1	R	
0144	1	R	
0145	1	PG13	
0146	1	PG	
0147	1	NR	
0148	1	PG	
0149	1	R	
0150	1	PG	
0151	1	R	
0152	1	PG13	
0153	1	PG	
0154	1	G	
0155	1	R	
0156	1	PG	
0157	1	PG	
0158	1	R	
0159	1	PG	
0160	1	PG	
0161	1	PG13	
0162	1	NR	
0163	1	PG	
0164	1	R	
0165	1	PG	
0166	1	PG	
0167	1	R	
0168	1	PG13	
0169	1	PG13	
0170	1	G	
0171	1	NR	
0172	1	PG	
0173	1	PG	
0174	1	PG13	
0175	1	R	
0176	1	PG	
0177	1	G	
0178	1	R	
0179	1	PG	
0180	1	G	
0181	1	PG	
0182	1	PG	
0183	1	G	
0184	1	G	
0185	1	G	
0186	1	PG13	
0187	1	PG	
0188	1	PG13	
0189	1	PG	
0190	1	PG	
0191	1	R	
0192	1	G	
0193	1	PG	
0194	1	PG	
0195	1	R	
0196	1	R	
0197	1	PG	
0198	1	PG13	
0199	1	PG	
0200	1	PG13	
0201	1	G	
0202	1	PG	
0203	1	PG	
0204	1	G	
0205	1	PG13	
0206	1	R	
0207	1	R	
0208	1	PG13	
0209	1	PG13	
0210	1	PG13	
0211	1	PG	
0212	1	PG	
0213	1	PG	
0214	1	G	
0215	1	PG13	
0216	1	PG	
0217	1	PG	
0218	1	PG	
0219	1	PG	
0220	1	PG13	
0221	1	PG13	
0222	1	PG	
0223	1	R	
0224	1	NR	
0225	1	NR	
0226	1	R	
0227	1	R	
0228	1	R	
0229	1	R	
0230	1	R	
0231	1	R	
0232	1	R	
0233	1	R	
0234	1	NR	
0235	1	NR	
0236	1	R	
0237	1	R	
0238	1	R	
0239	1	R	
0240	1	R	
0241	1	R	
0242	1	R	
0243	1	R	
0244	1	R	
0245	1	R	
0246	1	R	
0247	1	R	
0248	1	R	
0249	1	R	
0250	1	R	
0251	1	PG	
0252	1	R	
0253	1	R	
0254	1	NR	
0255	1	R	
0256	1	R	
0257	1	PG	
0258	1	R	
0259	1	R	
0260	1	R	
0261	1	R	
0262	1	R	
0263	1	R	
0264	1	R	
0265	1	NR	
0266	1	R	
0267	1	R	
0268	1	R	
0269	1	R	
0270	1	R	
0271	1	R	
0272	1	R	
0273	1	R	
0274	1	R	
0275	1	R	
0276	1	R	
0277	1	PG	
0278	1	R	
0279	1	PG	
0280	1	R	
0281	1	R	
0282	1	R	
0283	1	R	
0284	1	R	
0285	1	R	
0286	1	R	
0287	1	R	
0288	1	R	
0289	1	R	
0290	1	R	
0291	1	R	
0292	1	NR	
0293	1	R	
0294	1	R	
0295	1	PG13	
0296	1	R	
0297	1	R	
0298	1	NR	
0299	1	PG13	
0300	1	R	
0301	1	R	
0302	1	R	
0303	1	R	
0304	1	PG13	
0305	1	G	
0306	1	R	
0307	1	PG	
0308	1	PG13	
0309	1	G	
0310	1	PG	
0311	1	PG	
0312	1	PG13	
0313	1	PG	
0314	1	G	
0315	1	R	
0316	1	PG13	
0317	1	PG	
0318	1	PG	
