movie	amctv	director																	
2000	1980	2199	1280																
0000	1	George Roy Hill																	
0001	1	Sergio Leone																	
0002	1	David Lean																	
0003	1	Robert Wise																	
0004	1	Mike Nichols																	
0005	1	Stanley Kubrick																	
0006	1	Terence Young																	
0007	1	David Lean																	
0008	1	Stanley Kubrick																	
0009	1	Roman Polanski																	
0010	1	Sam Peckinpah																	
0011	1	Steven Spielberg																	
0012	1	George Lucas																	
0013	1	Francis Ford Coppola																	
0014	1	John G. Avildsen																	
0015	1	John Landis																	
0016	1	Mel Brooks																	
0017	1	Franklin J. Schaffner																	
0018	1	George Roy Hill																	
0019	1	Roman Polanski																	
0020	1	William Friedkin																	
0021	1	Robert Altman																	
0022	1	Sidney Lumet																	
0023	1	John Badham																	
0024	2	Irwin Allen	John Guillermin																
0025	1	Robert Benton																	
0026	1	Steven Spielberg																	
0027	1	Ridley Scott																	
0028	1	Tony Scott																	
0029	1	Taylor Hackford																	
0030	1	Adrian Lyne																	
0031	1	Lawrence Kasdan																	
0032	1	Steve Gordon																	
0033	1	Quentin Tarantino																	
0034	1	Martin Scorsese																	
0035	1	Steven Spielberg																	
0036	1	John Lasseter																	
0037	1	Clint Eastwood																	
0038	1	M. Night Shyamalan																	
0039	2	Larry Wachowski	Andy Wachowski																
0040	1	Sam Mendes																	
0041	1	Curtis Hanson																	
0042	1	Jonathan Demme																	
0043	1	Ron Underwood																	
0044	1	Christopher Nolan																	
0045	2	Ethan Coen	Joel Coen																
0046	2	Vicky Jenson	Andrew Adamson																
0047	1	Pete Docter																	
0048	1	Andrew Stanton																	
0049	1	James Cameron																	
0050	1	Chris Columbus																	
0051	1	Danny Boyle																	
0052	1	Roman Polanski																	
0053	1	Cameron Crowe																	
0054	1	Darren Aronofsky																	
0055	1	Luc Jacquet																	
0056	1	Sofia Coppola																	
0057	1	Spike Lee																	
0058	1	Victor Fleming																	
0059	1	John Hughes																	
0060	1	Billy Wilder																	
0061	1	Charles Chaplin																	
0062	1	Steven Spielberg																	
0063	1	Milos Forman																	
0064	1	David Lean																	
0065	1	Alfred Hitchcock																	
0066	1	Elia Kazan																	
0067	1	Stanley Kubrick																	
0068	12	Walt Disney	Ben Sharpsteen	Wilfred Jackson	Perce Pearce	David Hand	Merrill de Maris	Dick Richard	Richard Creedon	Dorothy Ann Blank	Webb Smith	Larry Morey	William Cottrell						
0069	1	John Huston																	
0070	1	Frank Capra																	
0071	16	Walt Disney	T. Hee	Norman Wright	Ben Sharpsteen	Bill Roberts	Wilfred Jackson	Samuel Armstrong	Paul Satterfield	Hamilton Luske	Graham Heid	Ford I. Beebe	James Algar	Jim Handley	Bianca Majolie	Albert Heath	Sylvia Moberly-Holland		
0072	1	Howard Hawks																	
0073	1	Charles Chaplin																	
0074	2	Michael Curtiz	Hugh MacMullan																
0075	1	Howard Hawks																	
0076	2	William Wellman	Jack Conway																
0077	1	Lloyd Bacon																	
0078	1	Ernst Lubitsch																	
0079	1	Robert Altman																	
0080	1	Mel Brooks																	
0081	1	John Woo																	
0082	1	Sergio Leone																	
0083	1	John Huston																	
0084	1	J. Lee Thompson																	
0085	1	John Sturges																	
0086	1	Richard Brooks																	
0087	1	John Boorman																	
0088	1	Joel Coen																	
0089	1	Carol Reed																	
0090	1	John Carpenter																	
0091	1	Wes Anderson																	
