url,entityID
"videogame/videogames.yahoo.com/gc_street-hoops.html",Street Hoops
"videogame/videogames.yahoo.com/gc_disneys-magical-mirror-starring-mickey-mouse.html",Disney's Magical Mirror Starring Mickey Mouse
"videogame/videogames.yahoo.com/gc_timesplitters-2.html",TimeSplitters 2
"videogame/videogames.yahoo.com/psp_pinball-hall-of-fame-the-williams-collection.html",Pinball Hall of Fame: The Williams Collection
"videogame/videogames.yahoo.com/psp_manhunt-2.html",Manhunt 2
"videogame/videogames.yahoo.com/psp_bliss-island.html",Bliss Island
"videogame/videogames.yahoo.com/psp_cash-guns-chaos-canceled.html",Cash Guns Chaos [Canceled]
"videogame/videogames.yahoo.com/gc_super-monkey-ball-2.html",Super Monkey Ball 2
"videogame/videogames.yahoo.com/gc_trinity-the-shatter-effect-canceled.html",Trinity: The Shatter Effect [Canceled]
"videogame/videogames.yahoo.com/gc_disney-presents-piglets-big-game.html",Disney Presents Piglet's BIG Game
"videogame/videogames.yahoo.com/gc_looney-tunes-back-in-action.html",Looney Tunes: Back in Action
"videogame/videogames.yahoo.com/psp_heatseeker.html",Heatseeker
"videogame/videogames.yahoo.com/gc_auto-modellista.html",Auto Modellista
"videogame/videogames.yahoo.com/psp_madden-nfl-2006.html",Madden NFL 2006
"videogame/videogames.yahoo.com/gc_bloodrayne.html",BloodRayne
"videogame/videogames.yahoo.com/gc_tom-clancys-splinter-cell-double-agent.html",Tom Clancy's Splinter Cell: Double Agent
"videogame/videogames.yahoo.com/psp_mega-man-maverick-hunter-x.html",Mega Man: Maverick Hunter X
"videogame/videogames.yahoo.com/psp_world-series-of-poker-tournament-of-champions.html",World Series of Poker: Tournament of Champions
"videogame/videogames.yahoo.com/gc_tom-clancys-splinter-cell.html",Tom Clancy's Splinter Cell
"videogame/videogames.yahoo.com/psp_iron-man.html",Iron Man
"videogame/videogames.yahoo.com/gc_nicktoons-battle-for-volcano-island.html",Nicktoons: Battle for Volcano Island
"videogame/videogames.yahoo.com/gc_red-faction-ii.html",Red Faction II
"videogame/videogames.yahoo.com/gc_aggressive-inline.html",Aggressive Inline
"videogame/videogames.yahoo.com/gc_cabelas-dangerous-hunts-2.html",Cabela's Dangerous Hunts 2
"videogame/videogames.yahoo.com/gc_smashing-drive.html",Smashing Drive
"videogame/videogames.yahoo.com/psp_final-fantasy-ii.html",Final Fantasy II
"videogame/videogames.yahoo.com/gc_blood-omen-2.html",Blood Omen 2
"videogame/videogames.yahoo.com/gc_allstar-baseball-2003.html",All-Star Baseball 2003
"videogame/videogames.yahoo.com/psp_monster-kingdom-jewel-summoner.html",Monster Kingdom: Jewel Summoner
"videogame/videogames.yahoo.com/gc_backyard-football.html",Backyard Football
"videogame/videogames.yahoo.com/psp_mega-man-powered-up.html",Mega Man Powered Up
"videogame/videogames.yahoo.com/gc_fireblade.html",FireBlade
"videogame/videogames.yahoo.com/gc_fifa-soccer-2004.html",FIFA Soccer 2004
"videogame/videogames.yahoo.com/gc_rave-master-international.html",Rave Master International
"videogame/videogames.yahoo.com/psp_world-tour-soccer-06.html",World Tour Soccer '06
"videogame/videogames.yahoo.com/gc_frogger-ancient-shadow.html",Frogger: Ancient Shadow
"videogame/videogames.yahoo.com/gc_nhl-2005.html",NHL 2005
