url,entityID
"videogame/www.games.net/ps2_109818_frogger-ancient-shadow.html",Frogger: Ancient Shadow [E3 '05 Update]
"videogame/www.games.net/gamecube_108296_mario-party-6.html",Mario Party 6
"videogame/www.games.net/ps2_127061_mlb-07-the-show.html",MLB '07 The Show
"videogame/www.games.net/ds_130681_harry-potter-and-the-order-of-the-phoenix.html",Harry Potter and the Order of the Phoenix
"videogame/www.games.net/ps2_128081_tmnt.html",TMNT
"videogame/www.games.net/ps2_109573_x-men-legends-ii-rise-of-apocalypse.html",X-Men Legends II: Rise of Apocalypse
"videogame/www.games.net/ds_110124_metroid-prime-pinball.html",Metroid Prime Pinball
"videogame/www.games.net/wii_125164_fishing-master.html",Fishing Master
"videogame/www.games.net/ds_134561_phoenix-wright-ace-attorney-trials-and-tribulations.html",Phoenix Wright: Ace Attorney Trials and Tribulations
"videogame/www.games.net/ds_110927_zoo-tycoon-ds.html",Zoo Tycoon DS
"videogame/www.games.net/psp_111088_colin-mcrae-rally-2005.html",Colin McRae Rally 2005
"videogame/www.games.net/gamecube_111822_tom-clancys-rainbow-six-lockdown.html",Tom Clancy's Rainbow Six: Lockdown
"videogame/www.games.net/psp_127341_bliss-island.html",Bliss Island
"videogame/www.games.net/ps2_109034_flipnic-ultimate-pinball.html",Flipnic: Ultimate Pinball
"videogame/www.games.net/wii_133082_guitar-hero-iii.html",Guitar Hero III
"videogame/www.games.net/ps2_142320_wall-e.html",Wall-E
"videogame/www.games.net/wii_142238_star-wars-the-clone-wars-lightsaber-duels.html",Star Wars The Clone Wars: Lightsaber Duels
"videogame/www.games.net/ps2_142312_persona-4.html",Persona 4
"videogame/www.games.net/ps2_115582_rule-of-rose.html",Rule of Rose Screen Update
"videogame/www.games.net/wii_136621_medal-of-honor-heroes-2.html",Medal of Honor: Heroes 2
"videogame/www.games.net/ds_137101_digimon-world-dawn.html",Digimon World: Dawn
"videogame/www.games.net/gamecube_108956_marvel-nemesis-rise-of-the-imperfects.html",Marvel Nemesis: Rise of the Imperfects
"videogame/www.games.net/ds_114164_pirates-of-the-caribbean-dead-mans-chest.html",Pirates of the Caribbean: Dead Man's Chest
"videogame/www.games.net/wii_115681_metroid-prime-3-corruption.html",Metroid Prime 3: Corruption
