url,entityID
10199073-whales-dolphins-seals.html,"Whales, Dolphins & Seals"
10420191-mushrooms-toadstools-of-britain-and-europe.html,Mushrooms & Toadstools of Britain and Europe
10486035-alpine-flowers-of-britain-and-europe.html,Alpine Flowers of Britain and Europe
1049405.Bird_Nests_Eggs_And_Nestlings_Of_Britain_And_Europe.html,"Bird Nests, Eggs And Nestlings Of Britain And Europe: With North Africa And The Middle East"
1054338.The_Way_To_Freedom.html,The Way To Freedom (Harper Collins Library Of Tibet)
1067853.Butterflies_Moths_of_Britain_and_Europe.html,Butterflies & Moths of Britain and Europe
10694440-the-tree-of-hands.html,The Tree of Hands
1078425.The_Crystal_Star.html,The Crystal Star
10827979-assault-at-selonia.html,Assault at Selonia
1083831.The_Two_Gentlemen_Of_Verona.html,The Two Gentlemen Of Verona
10920046-wings-guide-to-british-birds.html,Wings Guide to British Birds
1092989.The_City_Of_Djinns.html,The City Of Djinns
10955188-a-demon-in-my-view.html,A Demon in My View
1139700.My_Struggle.html,My Struggle
11407542-lichens.html,Lichens
11446078-the-poetry-of-wordsworth.html,The Poetry Of Wordsworth
1146537.Heir_to_the_Empire.html,Heir to the Empire
1156953.An_Advancement_Of_Learning.html,An Advancement Of Learning
1163241.Awakening_The_Mind_Enlightening_The_Heart.html,"Awakening The Mind,Enlightening The Heart"
1163242.The_Joy_Of_Living_And_Dying_In_Peace.html,The Joy Of Living And Dying In Peace
1165978.Birds_of_Southern_South_America_Antarctica.html,Birds of Southern South America & Antarctica
1166120.By_Grand_Central_Station_I_Sat_Down_And_Wept.html,By Grand Central Station I Sat Down And Wept
1172976.Dark_Force_Rising.html,Dark Force Rising
1184673.The_Duchess_Of_Malfi.html,The Duchess Of Malfi
1186263.A_Short_Walk_In_The_Hindu_Kush.html,A Short Walk In The Hindu Kush
11913916-copperhead.html,Copperhead
12001461-wild-animals-of-britain-and-europe.html,Wild Animals of Britain and Europe
1214033.Wild_Flowers_of_Britain_Europe.html,Wild Flowers of Britain & Europe
12280776-pests-diseases-garden.html,Pests Diseases Garden
12296349-a-moment-in-time.html,A Moment in Time: The Millennium Celebrated Around the Globe
1236503.King_Henry_IV_part_two.html,"King Henry IV, part two"
12546961-birdwatching.html,Birdwatching
1264226.Ruins.html,Ruins
1300564.Birds_Of_Britain_And_Ireland.html,Birds Of Britain And Ireland (Collins Wild Guide)
130492.Bird_Call_Identification.html,Bird Call Identification
13162179-collins-outdoor-diy-projects-in-a-weekend.html,Collins Outdoor Diy Projects In A Weekend
13201820-gmt-2000.html,GMT 2000: A Portrait of Britain in a Week
1369430.Common_Birds_Of_East_Africa.html,Common Birds Of East Africa
1371049.Swann_s_Way.html,Swann's Way
1380912.The_Throwback.html,The Throwback
1402609.Dark_Spectre.html,Dark Spectre
1430789.The_Millennium_Dome.html,The Millennium Dome
1469595.North_Wales.html,North Wales (Collins Rambler's Guides)
14747889-lord-jim.html,Lord Jim
14748011-self-esteem.html,Self Esteem: Simple Steps to Develop Self-Worth and Heal Emotional Wounds
15085842-the-new-naturalist.html,Ireland
15085852-wild-flowers.html,Wild Flowers (Britain and Europe)
1761569.Wild_Flowers_of_Britain_Northern_Europe.html,Wild Flowers of Britain & Northern Europe
1761578.Mushrooms_of_Brit_Eur.html,Mushrooms of Brit & Eur (Wildlife)
1775991.Simply_Antony.html,Simply Antony (Carlton Food Network)
1839574.Winter_Nosh.html,Winter Nosh (Carlton Food Network)
1892256.Ted_Hughes_Reading_His_Poetry.html,Ted Hughes Reading His Poetry
1910886.Trees_of_Britain_and_Ireland.html,Trees of Britain and Ireland (Collins Wild Guide)
1930435.Empire_Of_The_Sun.html,Empire Of The Sun
1931696.Riotous_Assembly.html,Riotous Assembly
1931698.Grantchester_Grind.html,Grantchester Grind
2006250.A_Dark_Blue_Perfume.html,A Dark Blue Perfume: And Other Stories
2061504.Woodworking_for_Beginners_.html,Woodworking for Beginners%
2089617.Gardening_for_Birds.html,Gardening for Birds: How to Help Birds Make the Most of Your Garden
2102863.Midnight_Is_A_Lonely_Place.html,Midnight Is A Lonely Place
2287253._X_Files_.html,"""X Files"""
2323799.Twist_In_The_Tale_Vol_2.html,Twist In The Tale Vol 2
2331737.The_Apocalypse_Watch.html,The Apocalypse Watch
2362138.Vanity_Dies_Hard.html,Vanity Dies Hard
2364947.Giants.html,Giants
2367628.Seashore.html,Seashore: Adventures in the Natural World
2396584.Complete_Bk_Soft_Furnishings_Old_Edn.html,Complete Bk Soft Furnishings - Old Edn
2446714.Weather.html,Weather: Collins Wildlife Trust Guide
2467853.Flowers_of_the_Wayside.html,Flowers of the Wayside
2534009.Not_a_Penny_More_Not_a_Penny_Less.html,"Not a Penny More, Not a Penny Less"
2555471.Fourth_Estate.html,Fourth Estate
2603556-a-needle-for-the-devil.html,A Needle For the Devil: And Other Stories
2651719-rose-eliot-s-vegetarian-barbecues-and-grills.html,Rose Eliot's Vegetarian Barbecues and Grills: Over 150 Quick and Easy Vegetarian Recipes
2692357-house-of-echoes.html,House Of Echoes
2703094-rose-elliot-s-vegetarian-meals-in-minutes.html,Rose Elliot's Vegetarian Meals In Minutes: Over 200 Delicious Dishes In A Flash
2796602-birds-of-south-africa.html,Birds of South Africa: Collins Illustrated Checklist
2844597-take-3-cooks.html,Take 3 Cooks
2944486-larger-animals-of-east-africa.html,Larger Animals of East Africa
3102933-how-to-identify-butterflies.html,How to Identify Butterflies (Britain and Europe)
3149865-michael-van-straten-s-foods-for-mind-and-body.html,Michael Van Straten's Foods For Mind And Body: A Complete Guide To The Preventative And Healing Properties Of Food
3214812-star-wars.html,Star Wars
3329681-connemara.html,Connemara
3343865-star-wars.html,Star Wars: Nightlily: The Lover's Tale
3448318-collins-spacewatching.html,Collins Spacewatching: The Ultimate Guide to the Stars and Beyond
3783165-murder-being-once-done.html,Murder Being Once Done
3806617-the-east-india-company.html,The East India Company: Trade and Conquest from 1600
4340305-the-new-naturalist-ireland.html,Ireland
4411690-her-own-rules.html,Her Own Rules
4495047-inside-the-house-of-lords.html,Inside The House Of Lords
4516834-butterflies-of-brit-europe---wt-guide.html,Butterflies of Brit & Europe - Wt Guide
4523757-sharks-rays.html,Sharks & Rays
461757.Bird_Songs_Calls_of_Britain_and_Northern_Europe.html,Bird Songs & Calls of Britain and Northern Europe
4811473-rocks-minerals.html,Rocks & Minerals
4856852-how-to-identify-wild-flowers.html,How to Identify Wild Flowers
4865085-love-s-labour-s-lost.html,Love's Labour's Lost
513206.Star_Wars_Jedi_Academy_Trilogy_2.html,Star Wars Jedi Academy Trilogy 2: Dark Apprentice
5242776-mushrooms-toadstools-of-britain-and-europe.html,Mushrooms & Toadstools Of Britain And Europe
5247084-love-and-war-in-the-apennines.html,Love And War In The Apennines
5629760-guide-birds-of-britain-europe.html,Guide Birds of Britain & Europe
5727390-birds-in-winter.html,Birds in Winter
5727392-trees-of-the-countryside.html,Trees of the Countryside
5805931-how-to-identify-trees-of-britain-europe.html,How to Identify Trees of Britain & Europe (Collins)
6021197-trees-of-britain-and-europe.html,Trees of Britain and Europe
6083032-collins-wild-guide-night-sky.html,Collins Wild Guide Night Sky (Collins Wild Guide)
608363.Complete_British_Wildlife.html,Complete British Wildlife
608365.Collins_Nature_Guide.html,Collins Nature Guide: Garden Birds (Collins Nature Guide)
6168919-holy-bible.html,Holy Bible (AKJV)
6182910-twist-in-the-tale-vol-1.html,Twist In The Tale Vol 1
6334078-victory.html,Victory
665661.Ben_Nevis_Glen_Coe.html,Ben Nevis & Glen Coe (Ramblers Guide)
6814668-insects-of-britain-and-europe.html,Insects of Britain and Europe
689641.NRSV_Cross_Reference_Apocrypha_Bible.html,NRSV Cross Reference Apocrypha Bible (Bible Nrsv)
6975358-the-deceiver.html,The Deceiver
7078792-savage-earth.html,Savage Earth
721194.Butterflies_Moths_of_Britain_and_Europe.html,Butterflies & Moths of Britain and Europe (Collins Wild Guide)
7274399-plant-disease.html,Plant Disease
