url,ISBN : ISBN13,STRING : AUTHOR,STRING : TITLE,STRING : EDITION,DATE : DATE,STRING : BINDING
book/bookshop.blackwell.co.uk/0001049305.html,9780001049307,Eric Newby,Love and War in the Apennines,Abridged edition,23 Oct 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049313.html,9780001049314,Eric Newby,A Short Walk in the Hindu Kush,Abridged edition,23 Oct 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049321.html,9780001049321,William Wordsworth,The Poetry of Wordsworth,,21 Aug 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049348.html,9780001049345,Emily Dickinson,Poems and Letters of Emily Dickinson,,25 Sep 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049356.html,9780001049352,Harriet Beecher Stowe,Uncle Tom's Cabin,Abridged edition,22 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049402.html,9780001049406,Elizabeth Buchan,Perfect Love,Abridged edition,24 Jul 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049410.html,9780001049413,Elizabeth Buchan,Consider the Lily,Abridged edition,24 Jul 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049429.html,9780001049420,"Nigel Mansell, James Allen",Nigel Mansell,Abridged edition,02 Oct 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049453.html,9780001049451,Linda Davies,Nest of Vipers,Abridged edition,21 Aug 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049461.html,9780001049468,Linda Davies,Wilderness of Mirrors,Abridged edition,22 Jan 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001049682.html,9780001049680,Barbara Erskine,House of Echoes,Abridged edition,22 Apr 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001049690.html,9780001049697,Joseph Conrad,Victory,Abridged edition,25 Sep 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049852.html,9780001049857,Robert Ludlum,Apocalypse Watch,Abridged edition,21 Aug 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001049860.html,9780001049864,Elmore Leonard,Get Shorty,Abridged edition,18 Mar 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001049895.html,9780001049895,Kevin J. Anderson,X-files,Abridged edition,04 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050028.html,9780001050020,Barbara Erskine,Midnight is a Lonely Place,Abridged edition,22 Jan 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050044.html,9780001050044,Fay Weldon,Wicked Women,Abridged edition,04 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050052.html,9780001050051,Ruth Rendell,A New Lease of Death,Abridged edition,04 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050060.html,9780001050068,Bernard Cornwell,Rebel,Abridged edition,04 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050079.html,9780001050075,Bernard Cornwell,Copperhead,Abridged edition,04 Dec 1995,Audio Cassette
book/bookshop.blackwell.co.uk/0001050087.html,9780001050082,Bernard Cornwell,Battle Flag,Abridged edition,22 Jan 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050095.html,9780001050099,Ruth Rendell,Murder Being Once Done,Abridged edition,22 Apr 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050109.html,9780001050105,Ruth Rendell,Shake Hands Forever,Abridged edition,19 Feb 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050117.html,9780001050112,Ruth Rendell,Vanity Dies Hard,Abridged edition,20 May 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050125.html,9780001050129,Ruth Rendell,A Demon in My View,Abridged edition,22 Jul 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050133.html,9780001050136,Ruth Rendell,The Tree of Hands,Abridged edition,19 Aug 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050184.html,9780001050181,Jeffrey Archer,"Not a Penny More, Not a Penny Less",Abridged edition,19 Aug 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050192.html,9780001050198,Jeffrey Archer,Shall We Tell the President?,Abridged edition,18 Mar 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050206.html,9780001050204,Jeffrey Archer,A Twist in the Tale (v. 1),Unabridged,18 Nov 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050214.html,9780001050211,Jeffrey Archer,A Twist in the Tale (v. 2),Unabridged,18 Nov 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050222.html,9780001050228,William Shakespeare,All's Well That Ends Well,,22 Jan 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050230.html,9780001050235,William Shakespeare,Love's Labour's Lost,Unabridged,19 Feb 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050249.html,9780001050242,William Shakespeare,The Two Gentlemen of Verona,Unabridged,22 Apr 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050257.html,9780001050259,William Dalrymple,The City of Djinns,Abridged edition,18 Mar 1996,Audio Cassette
book/bookshop.blackwell.co.uk/0001050419.html,9780001050419,Ted Hughes,Ted Hughes Reading His Poetry,Abridged edition,20 May 1996,Audio Cassette
