url,STRING : TITLE,STRING : BINDING,STRING : AUTHOR,STRING : PUBLISHER,DATE : DATE,ISBN : ISBN13
book/www.bookdepository.co.uk/0001049307.html,Love and War in the Apennines,Audio cassette,Eric Newby,HarperCollins Audio,23 October 1995,9780001049307
book/www.bookdepository.co.uk/0001049314.html,A Short Walk in the Hindu Kush,Audio cassette,Eric Newby,HarperCollins Audio,23 October 1995,9780001049314
book/www.bookdepository.co.uk/0001049321.html,The Poetry of Wordsworth: Unabridged,Audio cassette,William Wordsworth,HarperCollins Audio,21 August 1995,9780001049321
book/www.bookdepository.co.uk/0001049345.html,Poems and Letters of Emily Dickinson,Audio cassette,Emily Dickinson,HarperCollins Audio,25 September 1995,9780001049345
book/www.bookdepository.co.uk/0001049352.html,Uncle Tom's Cabin,Audio cassette,Harriet Beecher Stowe,HarperCollins Audio,01 September 1999,9780001049352
book/www.bookdepository.co.uk/0001049406.html,Perfect Love,Audio cassette,Elizabeth Buchan,HarperCollins Audio,24 July 1995,9780001049406
book/www.bookdepository.co.uk/0001049413.html,Consider the Lily,Audio cassette,Elizabeth Buchan,HarperCollins Audio,24 July 1995,9780001049413
book/www.bookdepository.co.uk/0001049420.html,Nigel Mansell: My Autobiography,Audio cassette,Nigel Mansell,HarperCollins Audio,02 October 1995,9780001049420
book/www.bookdepository.co.uk/0001049451.html,Nest of Vipers,Audio cassette,Linda Davies,HarperCollins Audio,21 August 1995,9780001049451
book/www.bookdepository.co.uk/0001049468.html,Wilderness of Mirrors,Audio cassette,Linda Davies,HarperCollins Audio,22 January 1996,9780001049468
book/www.bookdepository.co.uk/0001049680.html,House of Echoes,Audio cassette,Barbara Erskine,HarperCollins Audio,22 April 1996,9780001049680
book/www.bookdepository.co.uk/0001049697.html,Victory,Audio cassette,Joseph Conrad,HarperCollins Audio,01 September 1999,9780001049697
book/www.bookdepository.co.uk/0001049857.html,Apocalypse Watch,Audio cassette,Robert Ludlum,HarperCollins Audio,21 August 1995,9780001049857
book/www.bookdepository.co.uk/0001049864.html,Get Shorty,Audio cassette,Elmore Leonard,HarperCollins Audio,18 March 1996,9780001049864
book/www.bookdepository.co.uk/0001049895.html,X-files: Ground Zero,Audio cassette,Kevin J. Anderson,HarperCollins Audio,04 December 1995,9780001049895
book/www.bookdepository.co.uk/0001050020.html,Midnight is a Lonely Place,Audio cassette,Barbara Erskine,HarperCollins Audio,22 January 1996,9780001050020
book/www.bookdepository.co.uk/0001050044.html,Wicked Women,Audio cassette,Fay Weldon,HarperCollins Audio,04 December 1995,9780001050044
book/www.bookdepository.co.uk/0001050051.html,A New Lease of Death,Audio cassette,Ruth Rendell,HarperCollins Audio,04 December 1995,9780001050051
book/www.bookdepository.co.uk/0001050068.html,Rebel,Audio cassette,Bernard Cornwell,HarperCollins Audio,04 December 1995,9780001050068
book/www.bookdepository.co.uk/0001050075.html,Copperhead,Audio cassette,Bernard Cornwell,HarperCollins Audio,04 December 1995,9780001050075
book/www.bookdepository.co.uk/0001050082.html,Battle Flag,Audio cassette,Bernard Cornwell,HarperCollins Audio,22 January 1996,9780001050082
book/www.bookdepository.co.uk/0001050099.html,Murder Being Once Done,Audio cassette,Ruth Rendell,HarperCollins Audio,22 April 1996,9780001050099
book/www.bookdepository.co.uk/0001050105.html,Shake Hands Forever,Audio cassette,Ruth Rendell,HarperCollins Audio,19 February 1996,9780001050105
book/www.bookdepository.co.uk/0001050112.html,Vanity Dies Hard,Audio cassette,Ruth Rendell,HarperCollins Audio,20 May 1996,9780001050112
book/www.bookdepository.co.uk/0001050129.html,A Demon in My View,Audio cassette,Ruth Rendell,HarperCollins Audio,22 July 1996,9780001050129
book/www.bookdepository.co.uk/0001050136.html,The Tree of Hands,Audio cassette,Ruth Rendell,HarperCollins Audio,19 August 1996,9780001050136
book/www.bookdepository.co.uk/0001050181.html,"Not a Penny More, Not a Penny Less",Audio cassette,Jeffrey Archer,HarperCollins Audio,01 January 2000,9780001050181
book/www.bookdepository.co.uk/0001050198.html,Shall We Tell the President?,Audio cassette,Jeffrey Archer,HarperCollins Audio,01 January 2000,9780001050198
