url,STRING : TITLE,STRING : AUTHOR,STRING : PUBLISHER,STRING : BINDING
book/www.bookfinder4u.com/0001049852.html,Apocalypse Watch,Robert Ludlum,,Format: Audio Cassette
book/www.bookfinder4u.com/0001050125.html,A Demon in My View,,,Format: Audio Cassette
book/www.bookfinder4u.com/0001050133.html,The Tree of Hands,,,Format: Audio Cassette
book/www.bookfinder4u.com/0001050486.html,John Bull's Other Island,,,Format: Audio Cassette
book/www.bookfinder4u.com/0001052217.html,A Needle for the Devil and Other Stories,,,Format: Audio Cassette
book/www.bookfinder4u.com/0002201119.html,Good News Bible (Bible Gnb),,Publisher: Collins - 1997-06-30,Format: Hardcover
book/www.bookfinder4u.com/0002201127.html,Bible: Good News Bible with Concordance (Bible Gnb),,Publisher: Collins - 1997-06-30,Format: Hardcover
book/www.bookfinder4u.com/0002201046.html,Sharks and Rays (Nature Company Guides),Leighton. Taylor,Publisher: Collins - 1997-09-01,Format: Hardcover
book/www.bookfinder4u.com/0004140281.html,Foods for Mind and Body: A Complete Guide to Positive Foods and How to Choose and Use Them,Michael van Straten,Publisher: Collins - 1997-09-12,Format: Hardcover
book/www.bookfinder4u.com/0002200082.html,WILD ANIMALS (COLLINS WILD GUIDE S.),JOHN A. BURTON,Publisher: COLLINS - 1998,Format: Paperback
book/www.bookfinder4u.com/0002201089.html,Nature Journeys (Nature Company Guides),Dwight Holing(Editor),Publisher: Collins - 1998-01,Format: Hardcover
book/www.bookfinder4u.com/0004140427.html,Collins Easy Gardening,Richard Jackson,Publisher: Collins - 1998-03-02,Format: Paperback
book/www.bookfinder4u.com/0002200112.html,Birds of Britain and Europe (Collins Wildlife Trust Guides),John Gooders,Publisher: Collins - 1998-07-06,Format: Paperback
book/www.bookfinder4u.com/0002200635.html,"Pests, Diseases and Disorders of Garden Plants (Collins Photoguide)",Keith M. Harris,Publisher: Collins - 1998-07-06,Format: Hardcover
book/www.bookfinder4u.com/0002201097.html,Birds of North America (Collins Pocket Guide),Jack Griggs,Publisher: Collins - 1998-11-02,Format: Paperback
book/www.bookfinder4u.com/0002201321.html,Birds of Australia (Collins Field Guide),Graham Pizzey,Publisher: Collins - 1998-11-02,Format: Paperback
book/www.bookfinder4u.com/0002201348.html,COLLINS WILD GUIDE - INSECTS OF BRITAIN AND NORTHERN EUROPE,BOB GIBBONS,Publisher: COLLINS - 1999-04-06,Format: Paperback
book/www.bookfinder4u.com/0002201607.html,Bible: Good News Bible - Newcomer Bible (Bible Gnb),,Publisher: Collins - 1999-06-11,Format: Hardcover
book/www.bookfinder4u.com/0002201658.html,Bible: Good News Bible for Scotland (Bible Gnb),,Publisher: Collins - 1999-10-04,Format: Hardcover
