url,STRING : BINDING,DATE : DATE,STRING : TITLE,STRING : AUTHOR,ISBN : ISBN13,STRING : PUBLISHER,STRING : EDITION
book/www.booksandebooks.net/0001049313.html,Audio Cassette,"October 23, 1995",Short Walk in the Hindu Kush,Eric Newby,9780001049314,Harpercollins Audio,Abridged
book/www.booksandebooks.net/0001049321.html,Audio Cassette,"August 21, 1995",Poetry of Wordsworth,William Wordsworth,9780001049321,Harper Collins Audio,
book/www.booksandebooks.net/0001049356.html,Audio Cassette,January 2000,Uncle Tom's Cabin,Harriet Beecher Stowe,9780001049352,Harpercollins Pub Ltd,Abridged
book/www.booksandebooks.net/0001049429.html,Hardcover,October 1995,Nigel Mansell,Nigel Mansell,9780001049420,Harpercollins Audio,Abridged
book/www.booksandebooks.net/0001049690.html,Audio Cassette,"September 1, 1995",Victory (HarperCollinsAudioBooks),Joseph Conrad,9780001049697,HarperCollins UK,Abridged
book/www.booksandebooks.net/0001050060.html,Audio Cassette,"December 4, 1995",Rebel (Starbuck Chronicles),Bernard Cornwell,9780001050068,Harpercollins Audio,Abridged
book/www.booksandebooks.net/0001050079.html,Audio Cassette,"December 4, 1995",Copperhead (Starbuck Chronicles),Bernard Cornwell,9780001050075,Harpercollins Audio,Abridged
book/www.booksandebooks.net/0001050087.html,Hardcover,"January 22, 1996",Battle Flag (Starbuck Chronicles),Bernard Cornwell,9780001050082,Harpercollins Audio,Abridged
book/www.booksandebooks.net/0001050230.html,Audio Cassette,February 1996,Love's Labour's Lost,William Shakespeare,9780001050235,Harper Collins Audio,Unabridged
book/www.booksandebooks.net/0001050249.html,Hardcover,April 1996,Two Gentlemen of Verona,William Shakespeare,9780001050242,Harper Collins Audio,Unabridged
book/www.booksandebooks.net/0001050559.html,Audio Cassette,"November 27, 1995",Deceiver,Frederick Forsyth,9780001050556,Harper Collins Audio,Abridged
book/www.booksandebooks.net/0001050753.html,Audio Cassette,"February 19, 1996",Indecent Exposure,Tom Sharpe,9780001050754,Harper Collins Audio,Abridged
book/www.booksandebooks.net/0001050990.html,Hardcover,January 1996,Bloody Ground (Starbuck Chronicles),Bernard Cornwell,9780001050990,Harpercollins Audio,Abridged
book/www.booksandebooks.net/0001052063.html,Audio Cassette,"February 19, 1996",Advancement of Learning,Reginald Hill,9780001052062,Harper Collins Audio,Abridged
book/www.booksandebooks.net/0001052101.html,Audio Cassette,1996,Her Own Rules,Barbara Bradford,9780001052109,Harper Audio,
book/www.booksandebooks.net/0001052144.html,Audio Cassette,"May 20, 1996",My Struggle,Paul Merton,9780001052147,Harper Collins Audio,Unabridged
book/www.booksandebooks.net/0001052152.html,Audio Cassette,1997,The Fourth Estate [audio cassette],Jeffrey Archer,9780001052154,Harper Collins AudioBooks,
book/www.booksandebooks.net/0001052160.html,Audio Cassette,1997,Goodfellowe MP,Michael Dobbs~Tim Pigott-Smith,9780001052161,HarperCollins Publishers Ltd,
book/www.booksandebooks.net/0001052187.html,Audio Cassette,1996,"""X-files"" Ruins Audiobook",Kevin J. Anderson,9780001052185,HarperCollins Audio,
book/www.booksandebooks.net/0001052195.html,Audio Cassette,"September 16, 1996",Sporting Profiles,Michael Parkinson,9780001052192,Harpercollins Audio,Unabridged
book/www.booksandebooks.net/0001052217.html,Audio Cassette,,A Needle for the Devil and Other Stories,,9780001052215,,
book/www.booksandebooks.net/0002199963.html,Paperback,"May 1, 1994",Wild Flowers of Britain & Europe (Collins Nature Guides),,9780002199964,HarperCollins UK,
book/www.booksandebooks.net/0002200147.html,Paperback,June 1998,Collins Wildlife Trust Guide: Night Sky (Collins Wildlife Trusts Guide),,9780002200141,HarperCollins (UK),
book/www.booksandebooks.net/0002200430.html,Paperback,1997,Way to Freedom,Dalai Lama XIV,9780002200431,HarperCollins Publishers Canad,New Ed
book/www.booksandebooks.net/0002200457.html,Paperback,1997,"Awakening the Mind, Enlightening the Heart",His Holiness the Dalai Lama,9780002200455,Thorsons,New Ed
book/www.booksandebooks.net/0002200562.html,Paperback,"March 1, 1996",Garden Birds of Britain & Europe (Collins Nature Guides),Detlef Singer,9780002200561,HarperCollins UK,
book/www.booksandebooks.net/0002200627.html,Paperback,"April 1, 1996",Wild Flowers of Britain & Northern Europe (Collins Pocket Guide),,9780002200622,HarperCollins UK,5
book/www.booksandebooks.net/0002200678.html,Paperback,May 1998,How to ID Trees of Britain & Europe (Collins),,9780002200677,HarperCollins (UK),
book/www.booksandebooks.net/0002200694.html,Paperback,January 1997,Wings Guide to British Birds (Collins),Dominic Couzens,9780002200691,HarperCollins Publishers,
book/www.booksandebooks.net/0002200724.html,Paperback,February 1999,Garden Wildlife of Britain & Europe (Collins Nature Guide),Michael Chinery,9780002200721,Harpercollins Pub Ltd,
book/www.booksandebooks.net/0002200740.html,Hardcover,"October 4, 1999",Collins New Naturalist - Plant Disease Hb,David S Ingram,9780002200745,Harpercollins,
book/www.booksandebooks.net/0002200759.html,Paperback,"October 4, 1999",Collins New Naturalist - Plant Disease Pb,David S Ingram,9780002200752,Harper Collins,
book/www.booksandebooks.net/0002200775.html,Paperback,February 1999,Birds of Southern South America and Antarctica (Collins Illustrated Checklist),,9780002200776,Harpercollins Pub Ltd,
book/www.booksandebooks.net/0002200783.html,Hardcover,"November 3, 1997",Nrsv Cross Reference Hardback (Bible Nrsv),,9780002200783,Harper Collins,Cross-referenced Ed
book/www.booksandebooks.net/0002200805.html,Paperback,"May 18, 2000","The New Naturalist, Ireland",David Cabot,9780002200806,Harpercollins Pub Ltd,
book/www.booksandebooks.net/0002200899.html,Paperback,January 1999,"Whales, Dolphins & Seals (Collins Watch Guide)",Harper Collins Publishers,9780002200899,Harpercollins Pub Ltd,
book/www.booksandebooks.net/0002201003.html,Paperback,January 1999,Birds in Winter (Collins Watch Guide),Liz ed Bourne,9780002201001,Harpercollins Pub Ltd,
book/www.booksandebooks.net/0002201011.html,Paperback,January 1999,Trees of the Countryside (Collins Watch Guide),Liz ed Bourne,9780002201018,Harpercollins Pub Ltd,
book/www.booksandebooks.net/0002201054.html,Hardcover,"March 17, 1997",Whales and Dolphins (Nature Company Guides),Leighton R Taylor,9780002201056,Harpercollins,
book/www.booksandebooks.net/0002201062.html,Hardcover,February 1999,Savage Earth,Alwyn Scarth,9780002201063,Harpercollins Pub Ltd,
book/www.booksandebooks.net/0002201100.html,Paperback,June 1999,Wildfowl of the World (Collins Illustrated Checklist),Peter Markham Scott,9780002201100,Harpercollins Pub Ltd,Revised
book/www.booksandebooks.net/0002201135.html,Paperback,"July 1, 2000",North Wales (Rambler's Guide),Richard Sale,9780002201131,HarperCollins UK,
book/www.booksandebooks.net/0002201208.html,Paperback,"March 2, 1998",Nrsv Cross Reference Paperback (Bible Nrsv),,9780002201209,Harpercollins Bibles,Cross-reference Ed
book/www.booksandebooks.net/0002201216.html,Paperback,July 2001,Connemara,Paddy Dillon,9780002201216,Harpercollins Pub Ltd,illustrated edition
book/www.booksandebooks.net/0002201348.html,Paperback,"April 6, 1999",COLLINS WILD GUIDE - INSECTS OF BRITAIN AND NORTHERN EUROPE,BOB GIBBONS,9780002201346,COLLINS,
book/www.booksandebooks.net/0002201399.html,Paperback,2000,Wild Flowers of Britain and Europe (Collins Wildlife Trust Guides),Peter Heukels,9780002201391,Collins,
book/www.booksandebooks.net/0002201704.html,Hardcover,1999,The Millennium Dome: The Official Book of the Dome,ELIZABETH WILHIDE,9780002201704,HARPERCOLLINS ILLUSTRATED,
book/www.booksandebooks.net/0002201712.html,Hardcover,"January 1, 2000",A Moment in Time: The Millennium Celebrated Around the Globe,HarperCollins UK,9780002201711,HarperCollins UK,illustrated edition
book/www.booksandebooks.net/0002201895.html,Hardcover,"May 2, 2000",Kjv Pocket Imit Lthr Wte Confirm Bible (Bible Akjv),,9780002201896,Harper Collins,
book/www.booksandebooks.net/0002201909.html,Paperback,"May 2, 2000",Bible: Good News Bible - Popular Newcomer Bible (Bible Gnb),,9780002201902,Collins,New Ed
book/www.booksandebooks.net/0004140265.html,Paperback,"July 7, 1997",Take 3 Cooks Pb,Nannette Newman,9780004140261,Harpercollins,
book/www.booksandebooks.net/0004140273.html,Hardcover,"April 6, 1998",Rose Elliot's Vegetarian Meals in Minutes,Rose Elliot,9780004140278,Harpercollins,New edition
book/www.booksandebooks.net/0004140427.html,Paperback,"March 2, 1998",Collins Easy Gardening,,9780004140421,Collins,
book/www.booksandebooks.net/0004140478.html,Hardcover,"October 5, 1998",Inside the House of Lords Hb,Clive Aslet,9780004140476,Harpercollins,1st ed
book/www.booksandebooks.net/0004140508.html,Hardcover,1998,Simply the Best: Fabulous recipes from your favourite chefs (Cookery),VARIOUS,9780004140506,HARPERCOLLINS ILLUSTRATED,
