url,STRING : TITLE,STRING : AUTHOR,ISBN : ISBN13
book/www.goodreads.com/5247084-love-and-war-in-the-apennines.html,Love and War in the Apennines,Eric Newby,9780001049307
book/www.goodreads.com/1186263.A_Short_Walk_In_The_Hindu_Kush.html,A Short Walk in the Hindu Kush,Eric Newby,9780001049314
book/www.goodreads.com/11446078-the-poetry-of-wordsworth.html,Wordsworth's Complete Poetical Works (Cambridge Edition),William Wordsworth,9780001049321
book/www.goodreads.com/8720355-uncle-tom-s-cabin.html,English,Harriet Beecher Stowe,9780001049352
book/www.goodreads.com/945645.Consider_The_Lily.html,Consider the Lily,Elizabeth Buchan,9780001049413
book/www.goodreads.com/2692357-house-of-echoes.html,House of Echoes,Barbara Erskine,9780001049680
book/www.goodreads.com/6334078-victory.html,English,Joseph Conrad,9780001049697
book/www.goodreads.com/2331737.The_Apocalypse_Watch.html,The Apocalypse Watch,Robert Ludlum,9780001049857
book/www.goodreads.com/2287253._X_Files_.html,The X-Files: Ground Zero,Kevin J. Anderson,9780001049895
book/www.goodreads.com/2102863.Midnight_Is_A_Lonely_Place.html,Midnight Is a Lonely Place,Barbara Erskine,9780001050020
book/www.goodreads.com/908512.Rebel.html,Rebel,Bernard Cornwell,9780001050068
book/www.goodreads.com/11913916-copperhead.html,Copperhead,Bernard Cornwell,9780001050075
book/www.goodreads.com/3783165-murder-being-once-done.html,Inspector Wexford,Ruth Rendell,9780001050099
book/www.goodreads.com/2362138.Vanity_Dies_Hard.html,Vanity Dies Hard,Ruth Rendell,9780001050112
book/www.goodreads.com/10955188-a-demon-in-my-view.html,A Demon in My View,Ruth Rendell,9780001050129
book/www.goodreads.com/10694440-the-tree-of-hands.html,The Tree of Hands,Ruth Rendell,9780001050136
book/www.goodreads.com/2534009.Not_a_Penny_More_Not_a_Penny_Less.html,"Not a Penny More, Not a Penny Less",Jeffrey Archer,9780001050181
book/www.goodreads.com/6182910-twist-in-the-tale-vol-1.html,Twist In The Tale-Vol 1,Jeffrey Archer,9780001050204
book/www.goodreads.com/2323799.Twist_In_The_Tale_Vol_2.html,A Twist in the Tale,Jeffrey Archer,9780001050211
book/www.goodreads.com/4865085-love-s-labour-s-lost.html,Love's Labour's Lost,William Shakespeare,9780001050235
book/www.goodreads.com/1083831.The_Two_Gentlemen_Of_Verona.html,The Two Gentlemen of Verona,William Shakespeare,9780001050242
book/www.goodreads.com/1092989.The_City_Of_Djinns.html,City of Djinns: A Year in Delhi,William Dalrymple,9780001050259
book/www.goodreads.com/1892256.Ted_Hughes_Reading_His_Poetry.html,Ted Hughes Reading His Poetry,Ted Hughes,9780001050419
book/www.goodreads.com/1166120.By_Grand_Central_Station_I_Sat_Down_And_Wept.html,By Grand Central Station I Sat Down and Wept,Elizabeth Smart,9780001050457
book/www.goodreads.com/1184673.The_Duchess_Of_Malfi.html,The Tragedy of the Dutchesse of Malfy,John Webster,9780001050471
