url,NUMBER : value,NUMBER : open,NUMBER : high,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/bigcharts.marketwatch.com/COMS.html,5.03,5.08,5.11,"4,348,800",5.22,1.43
finance/bigcharts.marketwatch.com/KDE.html,1.92,1.90,1.96,"7,100",9.59,1.01
finance/bigcharts.marketwatch.com/ABT.html,45.42,44.47,46.00,"10,284,400",60.78,41.27
finance/bigcharts.marketwatch.com/ANF.html,27.58,26.47,27.65,"3,522,100",71.24,13.66
finance/bigcharts.marketwatch.com/ADPT.html,2.63,2.57,2.63,"427,400",4.24,2.20
finance/bigcharts.marketwatch.com/ADBE.html,30.15,30.60,30.6699,"5,478,500",46.44,15.70
finance/bigcharts.marketwatch.com/AMD.html,4.47,4.75,4.79,"39,939,400",7.94,1.62
finance/bigcharts.marketwatch.com/ADVS.html,31.23,30.94,31.50,"144,100",49.32,17.51
finance/bigcharts.marketwatch.com/AES.html,10.69,10.36,10.79,"7,467,700",20.80,4.80
finance/bigcharts.marketwatch.com/AET.html,22.97,23.25,23.70,"6,426,500",45.40,14.2101
finance/bigcharts.marketwatch.com/AFFX.html,6.64,6.70,6.79,"862,100",12.05,1.78
finance/bigcharts.marketwatch.com/AFL.html,32.81,33.54,33.72,"3,767,800",68.00,10.83
finance/bigcharts.marketwatch.com/A.html,19.36,19.67,19.67,"2,627,600",38.00,12.02
finance/bigcharts.marketwatch.com/APD.html,67.99,68.04,68.32,"1,548,500",104.75,41.46
finance/bigcharts.marketwatch.com/AKAM.html,22.86,22.85,22.88,"2,592,400",37.15,9.25
finance/bigcharts.marketwatch.com/ACV.html,24.41,24.23,24.46,"309,900",29.40,19.32
finance/bigcharts.marketwatch.com/AA.html,11.99,12.11,12.14,"35,796,600",40.28,4.97
finance/bigcharts.marketwatch.com/ATI.html,41.88,42.55,42.66,"1,810,600",67.15,15.00
finance/bigcharts.marketwatch.com/AGN.html,46.28,44.37,46.28,"2,338,600",61.72,28.95
finance/bigcharts.marketwatch.com/ALL.html,24.85,24.87,25.01,"3,914,300",50.20,13.77
finance/bigcharts.marketwatch.com/ALTR.html,16.75,17.23,17.25,"11,648,800",24.19,12.99
finance/bigcharts.marketwatch.com/AMZN.html,84.08,85.03,85.20,"6,223,100",91.75,34.68
finance/bigcharts.marketwatch.com/AEP.html,28.00,27.28,28.16,"4,370,700",43.37,24.00
finance/bigcharts.marketwatch.com/AM.html,7.45,7.43,7.50,"248,600",18.57,3.24
finance/bigcharts.marketwatch.com/AIG.html,1.61,1.61,1.62,"32,807,600",34.79,0.33
finance/bigcharts.marketwatch.com/APCC.html,0.01,0.01,0.01,200,1.50,0.01
finance/bigcharts.marketwatch.com/AHC.html,1.17,1.12,1.20,"37,100",8.19,0.5926
finance/bigcharts.marketwatch.com/AEE.html,24.41,24.09,24.61,"1,383,000",43.809,19.51
finance/bigcharts.marketwatch.com/AXP.html,25.16,25.39,25.69,"14,797,400",45.82,9.71
finance/bigcharts.marketwatch.com/AMTD.html,17.54,17.67,17.86,"3,959,100",23.4857,9.34
finance/bigcharts.marketwatch.com/AMGN.html,50.40,49.607,50.70,"6,803,500",66.51,43.34
finance/bigcharts.marketwatch.com/AMR.html,4.55,4.55,4.69,"5,066,800",13.41,2.40
finance/bigcharts.marketwatch.com/ASO.html,18.87,n/a,n/a,n/a,28.40,7.75
finance/bigcharts.marketwatch.com/APC.html,50.57,50.12,50.63,"4,804,500",81.02,24.57
finance/bigcharts.marketwatch.com/ADI.html,25.40,25.77,25.82,"4,751,600",34.59,15.29
finance/bigcharts.marketwatch.com/TWX.html,26.00,26.05,26.13,"6,452,600",51.212121,17.81
finance/bigcharts.marketwatch.com/AOC.html,36.99,36.81,37.07,"2,114,300",50.00,32.83
finance/bigcharts.marketwatch.com/APA.html,84.20,84.33,84.92,"2,649,500",145.00,51.03
finance/bigcharts.marketwatch.com/AAPL.html,136.97,138.81,139.10,"20,110,200",182.34,78.20
finance/bigcharts.marketwatch.com/AMAT.html,11.23,11.19,11.24,"17,011,100",20.90,7.80
finance/bigcharts.marketwatch.com/AMCC.html,7.75,8.14,8.14,"631,600",9.70,3.0101
finance/bigcharts.marketwatch.com/ADM.html,28.71,28.84,28.85,"3,115,100",34.14,13.53
finance/bigcharts.marketwatch.com/ARIA.html,1.86,1.92,1.9292,"385,800",3.55,0.72
finance/bigcharts.marketwatch.com/ARBA.html,10.60,10.48,10.65,"414,500",18.58,6.00
finance/bigcharts.marketwatch.com/ARW.html,22.38,22.95,23.14,"1,296,500",36.00,11.74
finance/bigcharts.marketwatch.com/ASH.html,27.36,27.90,28.02,"1,495,100",54.90,5.35
