url,NUMBER : value,NUMBER : var %,NUMBER : var $,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk low,NUMBER : 52wk high
finance/quote.barchart.com/coms.html,5.03,-0.98 %,-0.05,5.08,5.11,4.83,4348800,2.02,5.22
finance/quote.barchart.com/kde.html,1.92,-2.04 %,-0.04,1.90,1.96,1.90,7100,1.01,2.48
finance/quote.barchart.com/abt.html,45.42,+1.93 %,+0.86,44.47,46.00,44.47,10284400,41.27,56.87
finance/quote.barchart.com/anf.html,27.58,+3.68 %,+0.98,26.47,27.65,26.07,3522000,16.85,32.83
finance/quote.barchart.com/adpt.html,2.63,+3.95 %,+0.10,2.57,2.63,2.52,427300,2.20,3.61
finance/quote.barchart.com/adbe.html,30.15,-0.82 %,-0.25,30.60,30.67,29.61,5478500,15.70,31.00
finance/quote.barchart.com/amd.html,4.47,-4.89 %,-0.23,4.75,4.79,4.33,39915598,1.86,4.90
finance/quote.barchart.com/advs.html,31.23,+0.68 %,+0.21,30.94,31.50,30.62,144100,19.46,35.95
finance/quote.barchart.com/aes.html,10.69,+2.59 %,+0.27,10.21,10.79,10.21,7467600,4.80,
finance/quote.barchart.com/aet.html,22.97,-1.42 %,-0.33,23.25,23.70,22.47,6426100,18.66,34.87
finance/quote.barchart.com/affx.html,6.64,-2.64 %,-0.18,6.70,6.79,6.35,862000,1.78,6.91
finance/quote.barchart.com/afl.html,32.81,-2.96 %,-1.00,33.54,33.72,32.51,3767800,10.74,45.96
finance/quote.barchart.com/a.html,19.36,-1.83 %,-0.36,19.67,19.67,18.94,2627600,12.02,20.34
finance/quote.barchart.com/apd.html,67.99,-0.92 %,-0.63,68.04,68.32,67.12,1548400,43.11,69.93
finance/quote.barchart.com/akam.html,22.86,-0.13 %,-0.03,22.85,22.88,22.34,2592400,12.29,23.58
finance/quote.barchart.com/acv.html,24.41,+0.25 %,+0.06,24.23,24.46,24.09,309900,20.41,26.83
finance/quote.barchart.com/aa.html,11.99,-1.88 %,-0.23,12.11,12.14,11.80,35787102,4.96,12.38
finance/quote.barchart.com/ati.html,41.88,-3.19 %,-1.38,42.55,42.66,41.36,1810500,16.66,44.09
finance/quote.barchart.com/agn.html,46.28,+4.02 %,+1.79,44.37,46.28,44.30,2338500,35.38,50.84
finance/quote.barchart.com/all.html,24.85,-0.08 %,-0.02,24.87,25.01,24.60,3914200,13.49,32.82
finance/quote.barchart.com/altr.html,16.75,-3.62 %,-0.63,17.22,17.25,16.55,11648800,13.88,18.36
finance/quote.barchart.com/amzn.html,84.08,-1.88 %,-1.61,85.03,85.20,82.01,6223000,47.63,88.56
finance/quote.barchart.com/aep.html,28.00,+2.00 %,+0.55,27.28,28.16,27.03,4369700,23.63,33.40
finance/quote.barchart.com/am.html,7.45,-0.27 %,-0.02,7.43,7.50,7.08,248500,3.24,8.85
finance/quote.barchart.com/aig.html,1.61,unch %,unch,1.61,1.62,1.55,32774000,0.33,2.19
finance/quote.barchart.com/ahc.html,1.17,+2.63 %,+0.03,1.12,1.20,1.10,37100,0.59,2.80
finance/quote.barchart.com/aee.html,24.41,+0.78 %,+0.19,24.09,24.61,23.89,1382900,19.20,34.15
finance/quote.barchart.com/axp.html,25.16,-1.83 %,-0.47,25.36,25.69,24.83,14796899,9.58,28.45
finance/quote.barchart.com/amtd.html,17.54,-2.34 %,-0.42,17.67,17.86,17.32,3959000,10.09,19.34
finance/quote.barchart.com/amgn.html,50.40,+1.04 %,+0.52,49.59,50.70,49.34,6803400,44.96,60.15
finance/quote.barchart.com/amr.html,4.55,-0.87 %,-0.04,4.55,4.69,4.50,5064900,2.40,12.47
finance/quote.barchart.com/aso.html,21.27,+0.90 %,+0.19,21.03,21.27,21.03,400,12.17,26.02
finance/quote.barchart.com/apc.html,50.57,-0.59 %,-0.30,50.12,50.63,49.38,4804500,30.74,52.29
finance/quote.barchart.com/adi.html,25.40,-1.32 %,-0.34,25.77,25.82,25.20,4751600,17.48,26.05
finance/quote.barchart.com/twx.html,26.00,-0.65 %,-0.17,26.05,26.13,25.53,6452600,15.41,26.83
finance/quote.barchart.com/aoc.html,36.99,+0.35 %,+0.13,36.81,37.07,36.41,2114200,34.81,45.84
finance/quote.barchart.com/apa.html,84.20,-1.34 %,-1.14,84.40,84.92,83.43,2649400,50.92,87.70
finance/quote.barchart.com/aapl.html,136.97,-2.13 %,-2.98,138.81,139.10,136.04,20110100,78.20,146.40
finance/quote.barchart.com/amat.html,11.23,+0.72 %,+0.08,11.19,11.24,10.97,17011000,8.15,12.82
finance/quote.barchart.com/amcc.html,7.75,-4.79 %,-0.39,8.14,8.14,7.65,631500,3.24,8.31
finance/quote.barchart.com/adm.html,28.71,-0.90 %,-0.26,28.84,28.85,28.44,3115100,23.00,29.40
finance/quote.barchart.com/aria.html,1.86,-1.06 %,-0.02,1.92,1.93,1.84,385700,0.83,2.95
finance/quote.barchart.com/arba.html,10.60,+0.76 %,+0.08,10.48,10.65,10.44,414400,6.43,11.19
finance/quote.barchart.com/arw.html,22.38,-4.20 %,-0.98,22.95,23.14,21.94,1296500,15.00,25.88
finance/quote.barchart.com/ash.html,27.36,-2.81 %,-0.79,27.90,28.02,26.68,1495000,5.34,29.99
finance/quote.barchart.com/t.html,25.01,+0.89 %,+0.22,24.65,25.05,24.59,27040398,21.11,28.59
finance/quote.barchart.com/adsk.html,22.24,-0.71 %,-0.16,22.12,22.33,21.82,2090200,11.70,22.85
finance/quote.barchart.com/adp.html,37.29,-0.32 %,-0.12,37.47,37.48,36.60,2370200,31.45,40.25
finance/quote.barchart.com/azo.html,155.50,+0.94 %,+1.45,153.55,155.98,151.59,774100,125.80,169.99
finance/quote.barchart.com/avy.html,27.94,unch %,unch,27.51,28.01,27.36,568800,16.77,32.65
finance/quote.barchart.com/ava.html,16.45,+2.17 %,+0.35,16.11,16.49,15.92,370600,12.50,19.50
finance/quote.barchart.com/avp.html,26.61,-0.63 %,-0.17,26.43,26.82,26.34,2415900,14.27,27.82
finance/quote.barchart.com/bhi.html,41.72,-1.44 %,-0.61,41.75,41.88,41.17,3882300,25.59,43.00
finance/quote.barchart.com/bll.html,43.00,-1.83 %,-0.80,42.99,43.13,42.00,1455400,36.41,45.01
finance/quote.barchart.com/bac.html,13.72,+5.78 %,+0.75,13.30,13.93,13.23,447737969,2.52,15.06
finance/quote.barchart.com/bk.html,29.02,+0.21 %,+0.06,28.94,29.02,28.48,6086700,15.19,33.62
finance/quote.barchart.com/bcr.html,74.05,+0.08 %,+0.06,73.85,74.96,73.25,619900,68.94,88.25
finance/quote.barchart.com/bks.html,23.32,+1.39 %,+0.32,22.90,23.42,22.53,756500,14.44,26.70
finance/quote.barchart.com/abx.html,33.99,-1.93 %,-0.67,33.61,34.23,33.35,8841000,25.40,40.68
finance/quote.barchart.com/bax.html,49.53,+3.47 %,+1.66,47.76,50.48,47.08,10086400,45.21,60.35
finance/quote.barchart.com/bbt.html,23.14,+2.57 %,+0.58,22.50,23.19,22.45,6551700,12.55,28.67
finance/quote.barchart.com/bce.html,21.59,-2.53 %,-0.56,21.91,21.94,21.49,1200800,17.89,22.84
finance/quote.barchart.com/bsc.html,8.74,+1.75 %,+0.15,8.92,9.44,8.34,1300,3.39,12.83
finance/quote.barchart.com/bdx.html,68.35,+0.10 %,+0.07,67.72,68.87,67.72,1323700,60.11,76.34
finance/quote.barchart.com/bbby.html,28.36,+1.54 %,+0.43,27.68,28.41,27.23,5167800,19.11,32.10
finance/quote.barchart.com/bms.html,25.00,-1.73 %,-0.44,25.30,25.39,24.82,590100,16.70,26.32
finance/quote.barchart.com/bby.html,38.55,+3.55 %,+1.32,37.13,38.69,36.90,7140400,23.89,42.06
finance/quote.barchart.com/bbh.html,91.68,+0.69 %,+0.63,90.91,92.27,90.69,54400,40.48,94.72
finance/quote.barchart.com/bdk.html,30.95,-0.45 %,-0.14,31.04,31.06,30.23,763200,19.66,45.63
finance/quote.barchart.com/hrb.html,15.69,-0.13 %,-0.02,15.66,15.80,15.35,1540900,13.60,22.87
finance/quote.barchart.com/bbi.html,0.87,-1.14 %,-0.01,0.91,0.91,0.86,1257400,0.13,1.71
finance/quote.barchart.com/bmc.html,35.39,+0.97 %,+0.34,34.88,35.48,34.71,1466800,24.76,35.76
finance/quote.barchart.com/ba.html,51.44,+1.54 %,+0.78,50.76,51.56,50.11,5476600,28.77,53.39
finance/quote.barchart.com/bsx.html,9.37,+0.21 %,+0.02,9.45,9.50,9.17,7202100,6.08,10.08
finance/quote.barchart.com/bp.html,51.20,-1.93 %,-1.01,50.94,51.24,50.58,4970300,33.11,53.29
finance/quote.barchart.com/bgg.html,15.88,-1.18 %,-0.19,15.92,16.00,15.59,228400,11.05,18.32
finance/quote.barchart.com/bmy.html,19.81,-0.95 %,-0.19,19.90,20.00,19.67,10685101,16.99,23.64
finance/quote.barchart.com/bsy.html,29.19,-1.55 %,-0.46,29.12,29.20,28.85,23000,21.80,29.99
finance/quote.barchart.com/brcm.html,26.30,-2.30 %,-0.62,26.67,26.67,25.66,9430000,15.31,27.56
finance/quote.barchart.com/brcd.html,7.80,+1.69 %,+0.13,7.76,7.92,7.59,19337100,2.05,
