url,NUMBER : value,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/quotes.freerealtime.com/COMS.html,5.03,5.08,5.11,4.83,"4,348,828",5.22,1.43
finance/quotes.freerealtime.com/KDE.html,1.92,1.90,1.96,1.90,"7,121",9.59,1.01
finance/quotes.freerealtime.com/ABT.html,45.42,44.47,46,44.47,"10,284,431",60.78,41.27
finance/quotes.freerealtime.com/ANF.html,27.58,26.47,27.65,26.07,"3,522,094",71.24,13.66
finance/quotes.freerealtime.com/ADPT.html,2.63,2.57,2.63,2.52,"427,365",4.24,2.20
finance/quotes.freerealtime.com/ADBE.html,30.15,30.60,30.6699,29.61,"5,478,513",46.44,15.70
finance/quotes.freerealtime.com/AMD.html,4.47,4.75,4.79,4.33,"39,939,436",7.94,1.62
finance/quotes.freerealtime.com/ADVS.html,31.23,30.94,31.50,30.62,"144,114",49.32,17.51
finance/quotes.freerealtime.com/AES.html,10.69,10.36,10.79,10.21,"7,467,654",20.80,4.80
finance/quotes.freerealtime.com/AET.html,22.97,23.25,23.70,22.47,"6,426,512",45.40,14.2101
finance/quotes.freerealtime.com/AFFX.html,6.64,6.70,6.79,6.35,"862,088",12.05,1.78
finance/quotes.freerealtime.com/AFL.html,32.81,33.54,33.72,32.51,"3,767,843",68,10.83
finance/quotes.freerealtime.com/A.html,19.36,19.67,19.67,18.94,"2,627,609",38,12.02
finance/quotes.freerealtime.com/APD.html,67.99,68.04,68.32,67.12,"1,548,455",104.75,41.46
finance/quotes.freerealtime.com/AKAM.html,22.86,22.85,22.88,22.3399,"2,592,432",37.15,9.25
finance/quotes.freerealtime.com/ACV.html,24.41,24.23,24.46,24.09,"309,915",29.40,19.32
finance/quotes.freerealtime.com/AL.html,0.48,0,0,0,0,2.30,0.06
finance/quotes.freerealtime.com/AA.html,11.99,12.11,12.14,11.80,"35,796,554",40.28,4.97
finance/quotes.freerealtime.com/ATI.html,41.88,42.55,42.66,41.36,"1,810,562",67.15,15
finance/quotes.freerealtime.com/AGN.html,46.28,44.37,46.28,44.30,"2,338,599",61.72,28.95
finance/quotes.freerealtime.com/ALL.html,24.85,24.87,25.01,24.60,"3,914,272",50.47,13.77
finance/quotes.freerealtime.com/ALTR.html,16.75,17.23,17.25,16.55,"11,648,814",24.19,12.99
finance/quotes.freerealtime.com/AMZN.html,84.08,85.03,85.20,82.01,"6,223,054",91.75,34.68
finance/quotes.freerealtime.com/AEP.html,28,27.28,28.16,27.03,"4,370,711",43.37,24
finance/quotes.freerealtime.com/AM.html,7.45,7.43,7.50,7.08,"248,593",18.57,3.24
finance/quotes.freerealtime.com/AIG.html,1.61,1.61,1.62,1.55,"32,807,608",34.79,0.33
finance/quotes.freerealtime.com/AHC.html,1.17,1.12,1.20,1.10,"37,124",8.19,0.5926
finance/quotes.freerealtime.com/AEE.html,24.41,24.09,24.61,23.89,"1,382,995",43.825,19.51
finance/quotes.freerealtime.com/AXP.html,25.16,25.39,25.69,24.83,"14,797,428",45.82,9.71
finance/quotes.freerealtime.com/AMTD.html,17.54,17.67,17.86,17.32,"3,959,090",23.4857,9.34
finance/quotes.freerealtime.com/AMGN.html,50.40,49.6066,50.70,49.34,"6,803,490",66.51,42.95
finance/quotes.freerealtime.com/AMR.html,4.55,4.55,4.69,4.50,"5,066,781",13.41,2.40
finance/quotes.freerealtime.com/ASO.html,21.27,21.0301,21.27,21.03,0,28.40,12.17
finance/quotes.freerealtime.com/APC.html,50.57,50.12,50.63,49.38,"4,804,500",81.02,24.57
finance/quotes.freerealtime.com/ADI.html,25.40,25.77,25.82,25.20,"4,751,635",34.59,15.29
finance/quotes.freerealtime.com/TWX.html,26,26.05,26.13,25.53,"6,452,605",26.83,6.95
finance/quotes.freerealtime.com/AOC.html,36.99,36.81,37.07,36.41,"2,114,287",50,32.83
finance/quotes.freerealtime.com/APA.html,84.20,84.33,84.92,83.43,"2,649,488",145,51.03
finance/quotes.freerealtime.com/AAPL.html,136.97,138.81,139.10,136.04,"20,110,176",182.60,78.20
finance/quotes.freerealtime.com/AMAT.html,11.23,11.19,11.24,10.97,"17,011,098",20.90,7.80
finance/quotes.freerealtime.com/AMCC.html,7.75,8.14,8.14,7.65,"631,579",9.70,3.0101
finance/quotes.freerealtime.com/ADM.html,28.71,28.84,28.85,28.44,"3,115,122",36.60,13.53
finance/quotes.freerealtime.com/ARIA.html,1.86,1.92,1.9292,1.84,"385,766",3.55,0.72
finance/quotes.freerealtime.com/ARBA.html,10.60,10.48,10.65,10.44,"414,494",18.58,6
finance/quotes.freerealtime.com/ARW.html,22.38,22.95,23.14,21.94,"1,296,537",36,11.74
finance/quotes.freerealtime.com/ASH.html,27.36,27.90,28.02,26.6827,"1,495,080",54.90,5.35
finance/quotes.freerealtime.com/T.html,25.01,24.65,25.05,24.59,"27,041,071",36.80,20.90
finance/quotes.freerealtime.com/ADSK.html,22.24,22.12,22.33,21.82,"2,090,230",39.89,11.70
finance/quotes.freerealtime.com/ADP.html,37.29,37.27,37.48,36.60,"2,370,223",45.97,30.83
finance/quotes.freerealtime.com/AZO.html,155.50,153.55,155.98,151.59,"774,146",169.9899,84.66
finance/quotes.freerealtime.com/AVY.html,27.94,27.51,28.01,27.36,"568,803",55,17.02
finance/quotes.freerealtime.com/AVA.html,16.45,16.11,16.49,15.92,"370,616",23.58,12.67
finance/quotes.freerealtime.com/AVP.html,26.61,26.43,26.82,26.34,"2,415,917",45.34,14.40
finance/quotes.freerealtime.com/BHI.html,41.72,41.75,41.88,41.17,"3,882,310",90.48,24.40
finance/quotes.freerealtime.com/BLL.html,43,42.99,43.13,42,"1,455,491",53.44,27.37
finance/quotes.freerealtime.com/BAC.html,13.72,13.30,13.93,13.23,"448,295,799",39.50,2.53
finance/quotes.freerealtime.com/BK.html,29.02,28.94,29.02,28.48,"6,086,762",43,15.67
finance/quotes.freerealtime.com/BCR.html,74.05,73.85,74.955,73.25,"619,986",101.61,68.94
finance/quotes.freerealtime.com/BKS.html,23.32,22.90,23.42,22.53,"756,543",33.64,10.77
finance/quotes.freerealtime.com/ABX.html,33.99,33.61,34.23,33.35,"8,841,186",52.48,17.27
finance/quotes.freerealtime.com/BAX.html,49.53,47.76,50.48,47.08,"10,086,604",71.53,45.46
finance/quotes.freerealtime.com/BBT.html,23.14,22.50,23.19,22.45,"6,552,050",45.31,12.90
finance/quotes.freerealtime.com/BCE.html,21.59,21.91,21.94,21.49,"1,200,802",39.13,16.85
finance/quotes.freerealtime.com/BSC.html,8.744,8.92,9.44,8.34,0,12.83,3.06
finance/quotes.freerealtime.com/BDX.html,68.35,67.72,68.87,67.72,"1,323,767",89.24,58.14
finance/quotes.freerealtime.com/BBBY.html,28.36,27.68,28.41,27.23,"5,167,841",34,16.2336
finance/quotes.freerealtime.com/BMS.html,25,25.30,25.39,24.82,"590,137",29.70,16.85
finance/quotes.freerealtime.com/BBY.html,38.55,37.13,38.69,36.90,"7,140,872",47.50,16.42
finance/quotes.freerealtime.com/BBH.html,91.68,90.91,92.27,90.69,"54,400",205.67,84.55
finance/quotes.freerealtime.com/BDK.html,30.95,31.04,31.06,30.23,"763,251",69.50,20.10
finance/quotes.freerealtime.com/HRB.html,15.69,15.66,15.80,15.35,"1,540,981",27.97,13.73
finance/quotes.freerealtime.com/BBI.html,0.87,0.9089,0.9089,0.86,"1,258,709",3.19,0.13
finance/quotes.freerealtime.com/BMC.html,35.39,34.88,35.48,34.71,"1,466,804",38.84,20.58
finance/quotes.freerealtime.com/BA.html,51.44,50.76,51.56,50.11,"5,476,628",77.80,29.05
finance/quotes.freerealtime.com/BSX.html,9.37,9.45,9.50,9.17,"7,202,153",14.20,5.41
finance/quotes.freerealtime.com/BP.html,51.20,50.94,51.24,50.575,"4,970,474",70.09,33.70
finance/quotes.freerealtime.com/BGG.html,15.88,15.92,16,15.59,"228,683",21.51,11.13
finance/quotes.freerealtime.com/BMY.html,19.81,19.90,20,19.67,"10,685,361",23.98,16
finance/quotes.freerealtime.com/BSY.html,29.19,29.12,29.20,28.85,"23,021",42,19.90
finance/quotes.freerealtime.com/BRCM.html,26.30,26.67,26.67,25.66,"9,430,048",29.91,12.98
finance/quotes.freerealtime.com/BRCD.html,7.80,7.76,7.92,7.59,"19,337,172",9.09,2.05
finance/quotes.freerealtime.com/BC.html,4.32,4.33,4.37,4.19,"449,912",16.64,1.82
finance/quotes.freerealtime.com/BNI.html,77.36,75.34,77.70,75.13,"2,700,887",110.04,50.86
finance/quotes.freerealtime.com/BR.html,17.18,17.16,17.22,16.93,"604,471",23,9.21
finance/quotes.freerealtime.com/CPN.html,11.82,11.79,11.8675,11.35,"2,921,785",23.08,4.76
finance/quotes.freerealtime.com/CPB.html,29.10,29,29.30,28.80,"1,863,922",40.85,24.63
finance/quotes.freerealtime.com/COF.html,23.94,24.50,24.50,23.72,"8,252,934",63.50,7.80
finance/quotes.freerealtime.com/CAH.html,30.96,30.86,31.43,30.67,"3,244,338",56.45,27.75
finance/quotes.freerealtime.com/CCL.html,24.17,24.11,24.20,23.58,"5,108,393",42.39,14.85
finance/quotes.freerealtime.com/CAT.html,37.73,37.47,37.77,37.02,"8,567,660",82.35,21.71
finance/quotes.freerealtime.com/CRA.html,7.94,8.19,8.38,7.81,"593,460",17.56,5.03
finance/quotes.freerealtime.com/CELG.html,43.23,43.64,43.64,42.68,"3,608,868",77.39,36.90
finance/quotes.freerealtime.com/CTX.html,8.48,8.54,8.55,8.26,"3,757,867",18.71,4.91
finance/quotes.freerealtime.com/CTL.html,32.06,32.38,32.38,31.40,"2,082,026",40.35,20.45
finance/quotes.freerealtime.com/CF.html,82.50,82.13,83.71,80.98,"1,108,534",172.99,37.71
finance/quotes.freerealtime.com/CHKP.html,24.09,23.83,24.17,23.69,"2,498,838",25.74,16.80
finance/quotes.freerealtime.com/CVX.html,72.67,71.19,72.75,70.69,"13,931,638",100.90,29.325
finance/quotes.freerealtime.com/CHL.html,52.98,52.67,53.03,52.26,"1,614,648",71.70,34.33
finance/quotes.freerealtime.com/CHINA.html,1.66,1.64,1.66,1.57,"674,378",3.17,0.65
finance/quotes.freerealtime.com/CB.html,40.82,41.20,41.24,40.56,"1,571,125",69.39,33.47
finance/quotes.freerealtime.com/CI.html,20.89,20.63,21.16,20.21,"4,074,970",44.14,8
finance/quotes.freerealtime.com/CINF.html,23.84,23.86,24.15,23.695,"709,727",35,17.06
finance/quotes.freerealtime.com/CSCO.html,19.91,19.93,20,19.63,"41,372,311",26.695,13.61
finance/quotes.freerealtime.com/C.html,3.47,3.47,3.55,3.44,"139,079,006",23.50,0.97
finance/quotes.freerealtime.com/CTXS.html,34.10,33.24,34.19,32.80,"4,170,314",34.41,19
finance/quotes.freerealtime.com/CCU.html,35.69,33.91,35.99,33.85,"81,372",36,22.54
finance/quotes.freerealtime.com/CLX.html,56.39,54.60,56.49,54.36,"3,982,400",65,45.67
finance/quotes.freerealtime.com/CMS.html,12.30,11.99,12.37,11.90,"5,084,916",15.89,8.33
finance/quotes.freerealtime.com/COKE.html,56.35,56.72,56.72,55.67,"9,355",57.11,31.41
finance/quotes.freerealtime.com/KO.html,48.89,48.68,49.04,48.48,"8,620,310",57.59,37.44
finance/quotes.freerealtime.com/CCE.html,17.18,17.32,17.40,17.07,"2,736,160",19.60,7.25
finance/quotes.freerealtime.com/CL.html,71.38,69.96,72,69.79,"3,068,588",80.49,54.36
finance/quotes.freerealtime.com/CMCSK.html,13.73,13.69,13.75,13.39,"4,576,784",22.37,10.33
finance/quotes.freerealtime.com/CMA.html,22.63,22.84,23.15,22.38,"1,960,754",42,11.72
finance/quotes.freerealtime.com/CA.html,17.73,17.69,17.99,17.46,"3,595,606",24.67,12
finance/quotes.freerealtime.com/CSC.html,44.99,45.06,45.12,44.095,"1,133,822",49.37,23.93
finance/quotes.freerealtime.com/CPWR.html,7.43,7.44,7.66,7.305,"2,904,081",11.91,5.08
finance/quotes.freerealtime.com/CMVT.html,7.60,7.50,7.70,7.50,"165,015",18.94,4.98
finance/quotes.freerealtime.com/CAG.html,19.46,19.52,19.69,19.34,"4,408,301",23.505,13.52
finance/quotes.freerealtime.com/ED.html,37.08,36.49,37.15,36.1301,"1,755,160",46.39,32.56
finance/quotes.freerealtime.com/CEG.html,27.23,26.90,27.47,26.70,"3,096,042",87.04,13
finance/quotes.freerealtime.com/CAL.html,9.09,9.25,9.46,9.05,"4,564,492",21.83,5.91
finance/quotes.freerealtime.com/CVG.html,9.28,9.40,9.40,9.1508,"555,634",16.99,4.02
finance/quotes.freerealtime.com/CBE.html,34.13,34.24,34.26,33.67,"2,088,234",49.64,18.86
finance/quotes.freerealtime.com/CTB.html,9.22,9.88,9.88,8.95,"1,237,578",12.15,2.96
finance/quotes.freerealtime.com/GLW.html,15.89,15.82,15.90,15.41,"10,949,120",27.56,7.36
finance/quotes.freerealtime.com/COST.html,47.03,46.35,47.10,45.96,"4,735,611",74.89,38.1701
finance/quotes.freerealtime.com/CR.html,24.06,24.59,24.59,23.8233,"365,530",42.94,10.87
finance/quotes.freerealtime.com/CREE.html,28.74,29.31,29.36,28.30,"1,424,633",31.75,12.57
finance/quotes.freerealtime.com/CCK.html,23.25,23.61,23.62,23.01,"1,741,720",29.60,13.37
finance/quotes.freerealtime.com/CSX.html,36.52,35.13,36.5726,34.7654,"8,478,100",69.50,20.70
finance/quotes.freerealtime.com/CRGN.html,1.38,1.37,1.39,1.35,"545,924",1.48,0.41
finance/quotes.freerealtime.com/CVS.html,30.35,30.08,30.36,29.90,"7,274,355",42.78,23.19
finance/quotes.freerealtime.com/DCX.html,7.88,7.98,7.98,7.88,0,10.71,4.47
finance/quotes.freerealtime.com/DHR.html,62.77,63.03,63.03,62,"1,456,590",85,47.20
finance/quotes.freerealtime.com/DRI.html,33.80,32.84,33.83,32.67,"2,024,967",41.21,13.21
finance/quotes.freerealtime.com/DE.html,44.77,44.68,44.78,43.70,"3,587,279",81.22,24.51
finance/quotes.freerealtime.com/DELL.html,13.39,13.22,13.40,13.05,"25,270,320",26.04,7.84
finance/quotes.freerealtime.com/DAL.html,6.40,6.68,6.74,6.37,"11,727,463",12.65,3.51
finance/quotes.freerealtime.com/DEL.html,38.57,37.60,38.85,37.09,"40,765",75.08,26.9375
finance/quotes.freerealtime.com/DLX.html,14.71,14.99,14.99,14.26,"222,798",21.13,6.20
finance/quotes.freerealtime.com/DIA.html,88.31,87.60,88.33,87.37,"12,743,832",123.43,64.78
finance/quotes.freerealtime.com/DDS.html,10.04,9.59,10.08,9.46,"755,492",15.37,2.50
finance/quotes.freerealtime.com/DIS.html,25.06,25.03,25.39,24.52,"7,332,339",34.85,15.14
