url,NUMBER : value,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : volume
finance/quotes.nasdaq.com/coms.html,$ 5.03,$ 5.08,$ 5.11,$ 4.83,"4,348,828"
finance/quotes.nasdaq.com/kde.html,$ 1.92,,$ 1.96,$ 1.90,"7,121"
finance/quotes.nasdaq.com/abt.html,$ 45.42,,$ 46,$ 44.47,"10,284,431"
finance/quotes.nasdaq.com/anf.html,$ 27.58,,$ 27.65,$ 26.07,"3,522,094"
finance/quotes.nasdaq.com/adpt.html,$ 2.63,$ 2.57,$ 2.63,$ 2.52,"427,365"
finance/quotes.nasdaq.com/adbe.html,$ 30.15,$ 30.34,$ 30.6699,$ 29.61,"5,478,513"
finance/quotes.nasdaq.com/amd.html,$ 4.47,,$ 4.79,$ 4.33,"39,939,436"
finance/quotes.nasdaq.com/advs.html,$ 31.23,$ 30.94,$ 31.50,$ 30.62,"144,114"
finance/quotes.nasdaq.com/aes.html,$ 10.69,,$ 10.79,$ 10.21,"7,467,654"
finance/quotes.nasdaq.com/aet.html,$ 22.97,,$ 23.70,$ 22.47,"6,426,512"
finance/quotes.nasdaq.com/affx.html,$ 6.64,$ 6.70,$ 6.79,$ 6.35,"862,088"
finance/quotes.nasdaq.com/afl.html,$ 32.81,,$ 33.72,$ 32.51,"3,767,843"
finance/quotes.nasdaq.com/a.html,$ 19.36,,$ 19.67,$ 18.94,"2,627,609"
finance/quotes.nasdaq.com/apd.html,$ 67.99,,$ 68.32,$ 67.12,"1,548,455"
finance/quotes.nasdaq.com/akam.html,$ 22.86,$ 22.70,$ 22.88,$ 22.3399,"2,592,432"
finance/quotes.nasdaq.com/acv.html,$ 24.41,,$ 24.46,$ 24.09,"309,915"
finance/quotes.nasdaq.com/aa.html,$ 11.99,,$ 12.14,$ 11.80,"35,796,554"
finance/quotes.nasdaq.com/ati.html,$ 41.88,,$ 42.66,$ 41.36,"1,810,562"
finance/quotes.nasdaq.com/agn.html,$ 46.28,,$ 46.28,$ 44.30,"2,338,599"
finance/quotes.nasdaq.com/all.html,$ 24.85,,$ 25.01,$ 24.60,"3,914,272"
finance/quotes.nasdaq.com/altr.html,$ 16.75,$ 17.20,$ 17.25,$ 16.55,"11,648,814"
finance/quotes.nasdaq.com/amzn.html,$ 84.08,$ 85.01,$ 85.20,$ 82.01,"6,223,054"
finance/quotes.nasdaq.com/aep.html,$ 28,,$ 28.16,$ 27.03,"4,370,711"
finance/quotes.nasdaq.com/am.html,$ 7.45,,$ 7.50,$ 7.08,"248,593"
finance/quotes.nasdaq.com/aig.html,$ 1.61,,$ 1.62,$ 1.55,"32,807,608"
finance/quotes.nasdaq.com/apcc.html,$ 0.01,,N/A,N/A,0
finance/quotes.nasdaq.com/ahc.html,$ 1.17,,$ 1.20,$ 1.10,"37,124"
finance/quotes.nasdaq.com/aee.html,$ 24.41,,$ 24.61,$ 23.89,"1,382,995"
finance/quotes.nasdaq.com/axp.html,$ 25.16,,$ 25.69,$ 24.83,"14,797,428"
finance/quotes.nasdaq.com/amtd.html,$ 17.54,$ 17.75,$ 17.86,$ 17.32,"3,959,090"
finance/quotes.nasdaq.com/amgn.html,$ 50.40,$ 49.48,$ 50.70,$ 49.34,"6,803,490"
finance/quotes.nasdaq.com/amr.html,$ 4.55,,$ 4.69,$ 4.50,"5,066,781"
finance/quotes.nasdaq.com/aso.html,$ 21.27,,N/A,N/A,0
finance/quotes.nasdaq.com/apc.html,$ 50.57,,$ 50.63,$ 49.38,"4,804,500"
finance/quotes.nasdaq.com/adi.html,$ 25.40,,$ 25.82,$ 25.20,"4,751,635"
finance/quotes.nasdaq.com/twx.html,$ 26,,$ 26.13,$ 25.53,"6,452,605"
finance/quotes.nasdaq.com/aoc.html,$ 36.99,,$ 37.07,$ 36.41,"2,114,287"
finance/quotes.nasdaq.com/apa.html,$ 84.20,,$ 84.92,$ 83.43,"2,649,488"
finance/quotes.nasdaq.com/aapl.html,$ 136.97,$ 138.86,$ 139.10,$ 136.04,"20,110,176"
finance/quotes.nasdaq.com/amat.html,$ 11.23,$ 11.20,$ 11.24,$ 10.97,"17,011,098"
finance/quotes.nasdaq.com/amcc.html,$ 7.75,$ 8.14,$ 8.14,$ 7.65,"631,579"
finance/quotes.nasdaq.com/adm.html,$ 28.71,,$ 28.85,$ 28.44,"3,115,122"
finance/quotes.nasdaq.com/aria.html,$ 1.86,$ 1.92,$ 1.9292,$ 1.84,"385,766"
finance/quotes.nasdaq.com/arba.html,$ 10.60,$ 10.48,$ 10.65,$ 10.44,"414,494"
finance/quotes.nasdaq.com/arw.html,$ 22.38,,$ 23.14,$ 21.94,"1,296,537"
finance/quotes.nasdaq.com/ash.html,$ 27.36,,$ 28.02,$ 26.6827,"1,495,080"
finance/quotes.nasdaq.com/t.html,$ 25.01,,$ 25.05,$ 24.59,"27,041,071"
finance/quotes.nasdaq.com/adsk.html,$ 22.24,$ 22.19,$ 22.33,$ 21.82,"2,090,230"
finance/quotes.nasdaq.com/adp.html,$ 37.29,$ 37.30,$ 37.48,$ 36.60,"2,370,223"
finance/quotes.nasdaq.com/azo.html,$ 155.50,,$ 155.98,$ 151.59,"774,146"
finance/quotes.nasdaq.com/avy.html,$ 27.94,,$ 28.01,$ 27.36,"568,803"
finance/quotes.nasdaq.com/ava.html,$ 16.45,,$ 16.49,$ 15.92,"370,616"
finance/quotes.nasdaq.com/avp.html,$ 26.61,,$ 26.82,$ 26.34,"2,415,917"
finance/quotes.nasdaq.com/bhi.html,$ 41.72,,$ 41.88,$ 41.17,"3,882,310"
finance/quotes.nasdaq.com/bll.html,$ 43,,$ 43.13,$ 42,"1,455,491"
