url,NUMBER : value,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/quotes.stocknod.com/sfa.html,7.97 (06.12.09 6:40 PM EDT),7.98,7.98,7.96,"3,321",9.38,5.12
finance/quotes.stocknod.com/may.html,6.51 (06.12.09 6:40 PM EDT),6.59,6.59,6.51,"4,980",9.77,4.44
finance/quotes.stocknod.com/vrts.html,15.67 (06.12.09 5:20 PM EDT),15.80,15.80,15.30,"6,036",16.70,3.78
finance/quotes.stocknod.com/sbl.html,11.59 (06.12.09 6:40 PM EDT),11.59,11.59,11.59,"7,000",11.68,0.00
finance/quotes.stocknod.com/kde.html,1.92 (06.12.09 6:40 PM EDT),1.90,1.96,1.90,"7,121",25.30,1.01
finance/quotes.stocknod.com/coke.html,56.35 (06.12.09 5:20 PM EDT),56.72,56.72,55.67,"9,355",57.11,31.41
finance/quotes.stocknod.com/onvi.html,5.38 (06.12.09 5:20 PM EDT),5.31,6.15,5.26,"11,124",6.15,2.68
finance/quotes.stocknod.com/ec.html,24.77 (06.12.09 6:40 PM EDT),24.42,25.00,24.41,"19,271",27.85,6.15
finance/quotes.stocknod.com/bsy.html,29.19 (06.12.09 6:40 PM EDT),29.12,29.20,28.85,"23,021",42.00,19.90
finance/quotes.stocknod.com/zigo.html,5.44 (06.12.09 5:20 PM EDT),5.67,5.72,5.33,"24,620",13.79,3.06
finance/quotes.stocknod.com/keyn.html,8.73 (06.12.09 5:20 PM EDT),8.41,8.88,8.20,"27,648",14.31,6.34
finance/quotes.stocknod.com/mstr.html,48.80 (06.12.09 5:20 PM EDT),49.01,49.04,48.16,"33,154",75.89,30.55
finance/quotes.stocknod.com/ahc.html,1.17 (06.12.09 6:40 PM EDT),1.12,1.20,1.10,"37,124",8.19,0.59
finance/quotes.stocknod.com/del.html,38.57 (06.12.09 6:40 PM EDT),37.60,38.85,37.09,"40,765",75.08,26.94
finance/quotes.stocknod.com/kei.html,3.99 (06.12.09 6:40 PM EDT),4.40,4.51,3.99,"46,380",10.65,1.86
finance/quotes.stocknod.com/bbh.html,91.68 (06.12.09 6:40 PM EDT),90.91,92.27,90.69,"54,400",205.67,84.55
finance/quotes.stocknod.com/via.html,25.00 (06.12.09 6:40 PM EDT),24.77,25.02,24.33,"59,543",33.87,13.00
finance/quotes.stocknod.com/ksws.html,8.86 (06.12.09 5:20 PM EDT),8.88,8.91,8.51,"69,328",20.76,6.44
