url,NUMBER : value,NUMBER : var %,NUMBER : var $,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : 52wk high,NUMBER : 52wk low
finance/www.bloomberg.com/coms.html,5.030,-0.984,-0.050,5.080,5.110,4.830,5.22,1.43
finance/www.bloomberg.com/kde.html,1.920,-2.041,-0.040,1.900,1.960,1.900,9.59,1.01
finance/www.bloomberg.com/abt.html,45.420,1.930,0.860,44.470,46.000,44.470,60.78,41.27
finance/www.bloomberg.com/anf.html,27.580,3.684,0.980,26.470,27.650,26.070,71.24,13.66
finance/www.bloomberg.com/adpt.html,2.630,3.953,0.100,2.570,2.630,2.520,4.24,2.20
finance/www.bloomberg.com/adbe.html,30.150,-0.822,-0.250,30.600,30.670,29.610,46.44,15.70
finance/www.bloomberg.com/amd.html,4.470,-4.894,-0.230,4.750,4.790,4.330,7.94,1.62
finance/www.bloomberg.com/advs.html,31.230,0.677,0.210,30.940,31.500,30.620,49.32,17.51
finance/www.bloomberg.com/aes.html,10.690,2.591,0.270,10.360,10.790,10.210,20.80,4.80
finance/www.bloomberg.com/aet.html,22.970,-1.416,-0.330,23.250,23.700,22.470,45.40,14.21
finance/www.bloomberg.com/affx.html,6.640,-2.639,-0.180,6.700,6.790,6.350,12.05,1.78
finance/www.bloomberg.com/afl.html,32.810,-2.958,-1.000,33.540,33.720,32.510,68.00,10.83
finance/www.bloomberg.com/a.html,19.360,-1.826,-0.360,19.670,19.670,18.940,38.00,12.02
finance/www.bloomberg.com/apd.html,67.990,-0.918,-0.630,68.040,68.320,67.120,104.75,41.46
finance/www.bloomberg.com/akam.html,22.860,-0.131,-0.030,22.850,22.880,22.340,37.15,9.25
finance/www.bloomberg.com/acv.html,24.410,0.246,0.060,24.230,24.460,24.090,29.40,19.32
finance/www.bloomberg.com/aa.html,11.990,-1.882,-0.230,12.110,12.140,11.800,40.28,4.97
finance/www.bloomberg.com/ati.html,41.880,-3.190,-1.380,42.550,42.660,41.360,67.15,15.00
finance/www.bloomberg.com/agn.html,46.280,4.023,1.790,44.370,46.280,44.300,61.72,28.95
finance/www.bloomberg.com/all.html,24.850,-0.080,-0.020,24.870,25.010,24.600,50.20,13.77
finance/www.bloomberg.com/altr.html,16.750,-3.625,-0.630,17.230,17.250,16.550,24.19,12.99
finance/www.bloomberg.com/amzn.html,84.080,-1.879,-1.610,85.030,85.200,82.010,91.75,34.68
finance/www.bloomberg.com/aep.html,28.000,2.004,0.550,27.280,28.160,27.030,43.37,24.00
finance/www.bloomberg.com/am.html,7.450,-0.268,-0.020,7.430,7.500,7.080,18.57,3.24
finance/www.bloomberg.com/aig.html,1.610,N.A.,N.A.,1.610,1.620,1.550,34.79,0.33
finance/www.bloomberg.com/ahc.html,1.170,2.632,0.030,1.120,1.200,1.100,8.19,0.59
finance/www.bloomberg.com/aee.html,24.410,0.784,0.190,24.090,24.610,23.890,43.81,19.51
finance/www.bloomberg.com/axp.html,25.160,-1.834,-0.470,25.390,25.690,24.830,45.82,9.71
finance/www.bloomberg.com/amtd.html,17.540,-2.339,-0.420,17.670,17.860,17.320,23.49,9.34
finance/www.bloomberg.com/amgn.html,50.400,1.043,0.520,49.607,50.700,49.340,66.51,43.34
finance/www.bloomberg.com/amr.html,4.550,-0.871,-0.040,4.550,4.690,4.500,13.41,2.40
finance/www.bloomberg.com/apc.html,50.570,-0.590,-0.300,50.120,50.630,49.380,81.02,24.57
finance/www.bloomberg.com/adi.html,25.400,-1.321,-0.340,25.770,25.820,25.200,34.59,15.29
finance/www.bloomberg.com/twx.html,26.000,-0.650,-0.170,26.050,26.130,25.530,37.46,15.40
finance/www.bloomberg.com/aoc.html,36.990,0.353,0.130,36.810,37.070,36.410,50.00,32.83
finance/www.bloomberg.com/apa.html,84.200,-1.336,-1.140,84.330,84.920,83.430,145.00,51.03
finance/www.bloomberg.com/aapl.html,136.970,-2.129,-2.980,138.810,139.100,136.040,182.34,78.20
finance/www.bloomberg.com/amat.html,11.230,0.717,0.080,11.190,11.240,10.970,20.90,7.80
finance/www.bloomberg.com/amcc.html,7.750,-4.791,-0.390,8.140,8.140,7.650,9.70,3.01
finance/www.bloomberg.com/adm.html,28.710,-0.897,-0.260,28.840,28.850,28.440,34.14,13.53
finance/www.bloomberg.com/aria.html,1.860,-1.064,-0.020,1.920,1.929,1.840,3.55,0.72
finance/www.bloomberg.com/arba.html,10.600,0.760,0.080,10.480,10.650,10.440,18.58,6.00
finance/www.bloomberg.com/arw.html,22.380,-4.195,-0.980,22.950,23.140,21.940,36.00,11.74
finance/www.bloomberg.com/ash.html,27.360,-2.806,-0.790,27.900,28.020,26.683,54.90,5.35
finance/www.bloomberg.com/t.html,25.010,0.887,0.220,24.650,25.050,24.590,36.80,20.90
finance/www.bloomberg.com/adsk.html,22.240,-0.714,-0.160,22.120,22.330,21.820,39.89,11.70
finance/www.bloomberg.com/adp.html,37.290,-0.321,-0.120,37.270,37.480,36.600,45.97,30.83
finance/www.bloomberg.com/azo.html,155.500,0.941,1.450,153.550,155.980,151.590,169.99,84.66
finance/www.bloomberg.com/avy.html,27.940,N.A.,N.A.,27.510,28.010,27.360,50.14,17.02
finance/www.bloomberg.com/ava.html,16.450,2.174,0.350,16.110,16.490,15.920,23.58,12.67
finance/www.bloomberg.com/avp.html,26.610,-0.635,-0.170,26.430,26.820,26.340,45.34,14.40
finance/www.bloomberg.com/bhi.html,41.720,-1.441,-0.610,41.750,41.880,41.170,90.48,24.40
finance/www.bloomberg.com/bll.html,43.000,-1.826,-0.800,42.990,43.130,42.000,53.44,27.37
finance/www.bloomberg.com/bac.html,13.720,5.783,0.750,13.300,13.930,13.230,39.50,2.53
finance/www.bloomberg.com/bk.html,29.020,0.207,0.060,28.940,29.020,28.480,43.00,15.44
finance/www.bloomberg.com/bcr.html,74.050,0.081,0.060,73.850,74.955,73.250,101.61,68.94
finance/www.bloomberg.com/bks.html,23.320,1.391,0.320,22.900,23.420,22.530,33.64,10.77
finance/www.bloomberg.com/abx.html,33.990,-1.933,-0.670,33.610,34.230,33.350,52.48,17.27
finance/www.bloomberg.com/bax.html,49.530,3.468,1.660,47.760,50.480,47.080,71.53,45.46
finance/www.bloomberg.com/bbt.html,23.140,2.571,0.580,22.500,23.190,22.450,45.31,12.90
finance/www.bloomberg.com/bce.html,21.590,-2.528,-0.560,21.910,21.940,21.490,39.13,16.85
finance/www.bloomberg.com/bdx.html,68.350,0.103,0.070,67.720,68.870,67.720,89.24,58.14
finance/www.bloomberg.com/bbby.html,28.360,1.540,0.430,27.680,28.410,27.230,34.00,16.23
finance/www.bloomberg.com/bms.html,25.000,-1.730,-0.440,25.300,25.390,24.820,29.70,16.85
finance/www.bloomberg.com/bby.html,38.550,3.546,1.320,37.130,38.690,36.900,48.99,16.42
finance/www.bloomberg.com/bdk.html,30.950,-0.450,-0.140,31.040,31.060,30.230,69.50,20.10
finance/www.bloomberg.com/hrb.html,15.690,-0.127,-0.020,15.660,15.800,15.350,27.97,13.73
finance/www.bloomberg.com/bbi.html,0.870,-1.136,-0.010,0.909,0.909,0.860,3.19,0.13
finance/www.bloomberg.com/bmc.html,35.390,0.970,0.340,34.880,35.480,34.710,38.84,20.58
