url,NUMBER : value,NUMBER : var %,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/www.marketocracy.com/COMS.html,$5.03,-0.98%,$5.11,$4.83,"4,348,828",$5.22,$1.43
finance/www.marketocracy.com/KDE.html,$1.92,-2.04%,$1.96,$1.90,"7,121",$25.30,$1.01
finance/www.marketocracy.com/ABT.html,$45.42,1.93%,$46.00,$44.47,"10,284,431",$60.78,$41.27
finance/www.marketocracy.com/ANF.html,$27.58,3.68%,$27.65,$26.07,"3,522,094",$71.24,$13.66
finance/www.marketocracy.com/ADPT.html,$2.63,3.95%,$2.63,$2.52,"427,365",$4.24,$2.20
finance/www.marketocracy.com/ADBE.html,$30.15,-0.82%,$30.67,$29.61,"5,478,513",$46.44,$15.70
finance/www.marketocracy.com/ADIC.html,$12.24,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/AMD.html,$4.47,-4.89%,$4.79,$4.33,"39,939,436",$7.94,$1.62
finance/www.marketocracy.com/ADVS.html,$31.23,0.64%,$31.50,$30.62,"144,114",$49.32,$17.51
finance/www.marketocracy.com/AES.html,$10.69,2.59%,$10.79,$10.21,"7,467,654",$20.80,$4.80
finance/www.marketocracy.com/AET.html,$22.97,-1.42%,$23.70,$22.47,"6,426,512",$45.40,$14.21
finance/www.marketocracy.com/AFFX.html,$6.64,-2.79%,$6.79,$6.35,"862,088",$12.05,$1.78
finance/www.marketocracy.com/AFL.html,$32.81,-2.96%,$33.72,$32.51,"3,767,843",$68.00,$10.83
finance/www.marketocracy.com/A.html,$19.36,-1.83%,$19.67,$18.94,"2,627,609",$38.00,$12.02
finance/www.marketocracy.com/APD.html,$67.99,-0.92%,$68.32,$67.12,"1,548,455",$104.75,$41.46
finance/www.marketocracy.com/AKAM.html,$22.86,-0.13%,$22.88,$22.34,"2,592,432",$37.15,$9.25
finance/www.marketocracy.com/ACV.html,$24.41,0.25%,$24.46,$24.09,"309,915",$29.40,$19.32
finance/www.marketocracy.com/AL.html,$100.93,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/AA.html,$11.99,-1.88%,$12.14,$11.80,"35,796,554",$40.28,$4.97
finance/www.marketocracy.com/ATI.html,$41.88,-3.19%,$42.66,$41.36,"1,810,562",$67.15,$15.00
finance/www.marketocracy.com/AGN.html,$46.28,4.02%,$46.28,$44.30,"2,338,599",$61.72,$28.95
finance/www.marketocracy.com/AW.html,$10.10,0.00%,,,,$15.46,$0.00
finance/www.marketocracy.com/ALL.html,$24.85,-0.08%,$25.01,$24.60,"3,914,272",$50.47,$13.77
finance/www.marketocracy.com/AT.html,$71.20,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/ALTR.html,$16.75,-3.62%,$17.25,$16.55,"11,648,814",$24.19,$12.99
finance/www.marketocracy.com/AMZN.html,$84.08,-1.88%,$85.20,$82.01,"6,223,054",$91.75,$34.68
