url,NUMBER : value,NUMBER : var %,NUMBER : var $,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/www.marketwatch.com/COMS.html,5.03,0.00%,0.00,$5.08,$4.83,"208,822",$5.22,$1.43
finance/www.marketwatch.com/ABT.html,45.42,+0.40%,+0.18,$46.00,$44.47,"24,124",$60.78,$41.27
finance/www.marketwatch.com/ANF.html,27.58,-1.20%,-0.33,$27.65,$26.07,"85,202",$71.24,$13.66
finance/www.marketwatch.com/ADPT.html,2.63,0.00%,0.00,$2.63,$2.52,"24,669",$4.24,$2.20
finance/www.marketwatch.com/ADBE.html,30.15,+0.03%,+0.01,$30.67,$29.61,"64,802",$46.44,$15.70
finance/www.marketwatch.com/ADIC.html,0.95,-3.16%,-0.03,$0.96,$0.91,"6,820",$1.95,$0.09
finance/www.marketwatch.com/AMD.html,4.47,+0.22%,+0.01,$4.79,$4.33,"329,686",$7.94,$1.62
finance/www.marketwatch.com/ADVS.html,31.23,0.00%,0.00,$31.50,$30.62,242,$49.32,$17.51
finance/www.marketwatch.com/AES.html,10.69,0.00%,0.00,$10.79,$10.21,"7,087",$20.80,$4.80
finance/www.marketwatch.com/AET.html,22.97,+0.35%,+0.08,$23.70,$22.47,"87,060",$45.40,$14.21
finance/www.marketwatch.com/AFFX.html,6.64,0.00%,0.00,$6.79,$6.35,"12,730",$12.05,$1.78
finance/www.marketwatch.com/AFL.html,32.81,+0.24%,+0.08,$33.72,$32.51,"4,316",$68.00,$10.83
finance/www.marketwatch.com/A.html,19.36,+0.72%,+0.14,$19.67,$18.94,"11,184",$38.00,$12.02
finance/www.marketwatch.com/APD.html,67.99,0.00%,0.00,$68.32,$67.12,"15,419",$104.75,$41.46
finance/www.marketwatch.com/AKAM.html,22.86,0.00%,0.00,$22.88,$22.34,"6,529",$37.15,$9.25
finance/www.marketwatch.com/ACV.html,24.41,0.00%,0.00,$24.46,$24.09,"7,879",$29.40,$19.32
finance/www.marketwatch.com/AA.html,11.99,+0.58%,+0.07,$12.14,$11.80,"213,552",$40.28,$4.97
finance/www.marketwatch.com/ATI.html,41.88,0.00%,0.00,$42.66,$41.36,"7,202",$67.15,$15.00
finance/www.marketwatch.com/AGN.html,46.28,0.00%,0.00,$46.28,$44.30,"6,124",$61.72,$28.95
finance/www.marketwatch.com/ALL.html,24.85,0.00%,0.00,$25.01,$24.60,"10,960",$50.47,$13.77
finance/www.marketwatch.com/ALTR.html,16.75,0.00%,0.00,$17.25,$16.55,"34,361",$24.19,$12.99
finance/www.marketwatch.com/AMZN.html,84.08,-0.30%,-0.25,$85.20,$82.01,"39,446",$91.75,$34.68
finance/www.marketwatch.com/AEP.html,28.00,+0.89%,+0.25,$28.16,$27.03,"16,444",$43.37,$24.00
finance/www.marketwatch.com/AM.html,7.45,0.00%,0.00,$7.50,$7.08,710,$18.57,$3.24
finance/www.marketwatch.com/AIG.html,1.61,-1.24%,-0.02,$1.62,$1.55,"350,314",$34.79,$0.33
finance/www.marketwatch.com/AHC.html,1.17,0.00%,0.00,$1.20,$1.10,261,$8.19,$0.59
finance/www.marketwatch.com/AEE.html,24.41,0.00%,0.00,$24.61,$23.89,"16,053",$43.83,$19.51
finance/www.marketwatch.com/AEOS.html,14.56,0.00%,0.00,$14.60,$13.98,"142,898",$18.00,$6.98
finance/www.marketwatch.com/AXP.html,25.16,+0.16%,+0.04,$25.69,$24.83,"172,712",$45.82,$9.71
finance/www.marketwatch.com/AMTD.html,17.54,0.00%,0.00,$17.86,$17.32,"15,020",$23.49,$9.34
finance/www.marketwatch.com/APC.html,50.57,+0.02%,+0.01,$50.63,$49.38,"106,046",$81.02,$24.57
finance/www.marketwatch.com/ADI.html,25.40,0.00%,0.00,$25.82,$25.20,"15,891",$34.59,$15.29
finance/www.marketwatch.com/ANDW.html,25.03,0.00%,0.00,$25.19,$24.36,"15,568",$56.28,$6.89
finance/www.marketwatch.com/TWX.html,26.00,0.00%,0.00,$26.13,$25.53,"77,821",$51.21,$17.81
finance/www.marketwatch.com/AOC.html,36.99,0.00%,0.00,$37.07,$36.41,"1,494",$50.00,$32.83
finance/www.marketwatch.com/APA.html,84.20,0.00%,0.00,$84.92,$83.43,"34,794",$145.00,$51.03
finance/www.marketwatch.com/AAPL.html,136.97,-0.26%,-0.35,$139.10,$136.04,"148,919",$182.60,$78.20
finance/www.marketwatch.com/AMAT.html,11.23,-0.18%,-0.02,$11.24,$10.97,"113,990",$20.90,$7.80
finance/www.marketwatch.com/AMCC.html,7.75,0.00%,0.00,$8.14,$7.65,"6,533",$9.70,$3.01
finance/www.marketwatch.com/ADM.html,28.71,0.00%,0.00,$28.85,$28.44,"46,886",$36.60,$13.53
finance/www.marketwatch.com/ARIA.html,1.86,0.00%,0.00,$1.93,$1.84,"26,281",$3.55,$0.72
finance/www.marketwatch.com/ARBA.html,10.60,0.00%,0.00,$10.65,$10.44,"3,050",$18.58,$6.00
finance/www.marketwatch.com/ARW.html,22.38,0.00%,0.00,$23.14,$21.94,"11,194",$36.00,$11.74
finance/www.marketwatch.com/ASH.html,27.36,0.00%,0.00,$28.02,$26.68,"32,745",$54.90,$5.35
finance/www.marketwatch.com/T.html,25.01,+0.04%,+0.01,$25.05,$24.59,"797,498",$36.80,$20.90
finance/www.marketwatch.com/ADSK.html,22.24,+0.04%,+0.01,$22.33,$21.82,"15,275",$39.89,$11.70
finance/www.marketwatch.com/ADP.html,37.29,0.00%,0.00,$37.48,$36.60,"34,422",$45.97,$30.83
finance/www.marketwatch.com/AZO.html,155.50,-1.26%,-1.95,$155.98,$151.59,"9,100",$169.99,$84.66
finance/www.marketwatch.com/AVY.html,27.94,0.00%,0.00,$28.01,$27.36,"7,628",$50.14,$17.02
finance/www.marketwatch.com/AVA.html,16.45,0.00%,0.00,$16.49,$15.92,"3,692",$23.58,$12.67
finance/www.marketwatch.com/AVP.html,26.61,0.00%,0.00,$26.82,$26.34,"12,090",$45.34,$14.40
finance/www.marketwatch.com/BHI.html,41.72,0.00%,0.00,$41.88,$41.17,"51,547",$90.48,$24.40
finance/www.marketwatch.com/BLL.html,43.00,0.00%,0.00,$43.13,$42.00,"8,557",$53.44,$27.37
finance/www.marketwatch.com/BAC.html,13.72,+0.87%,+0.12,$13.93,$13.23,3.37m,$39.50,$2.53
finance/www.marketwatch.com/BK.html,29.02,0.00%,0.00,$29.02,$28.48,"18,652",$43.00,$15.44
finance/www.marketwatch.com/BCR.html,74.05,0.00%,0.00,$74.96,$73.25,462,$101.61,$68.94
finance/www.marketwatch.com/BKS.html,23.32,0.00%,0.00,$23.42,$22.53,"8,441",$33.64,$10.77
finance/www.marketwatch.com/ABX.html,33.99,+0.06%,+0.02,$34.23,$33.35,"23,197",$52.48,$17.27
finance/www.marketwatch.com/BAX.html,49.53,+0.24%,+0.12,$50.48,$47.08,"48,297",$71.53,$45.46
finance/www.marketwatch.com/BBT.html,23.14,0.00%,0.00,$23.19,$22.45,"58,969",$45.31,$12.90
finance/www.marketwatch.com/BCE.html,21.59,+0.11%,+0.02,$21.94,$21.49,"15,503",$39.13,$16.85
finance/www.marketwatch.com/BDX.html,68.35,0.00%,0.00,$68.87,$67.72,"2,131",$89.24,$58.14
finance/www.marketwatch.com/BBBY.html,28.36,+0.07%,+0.02,$28.41,$27.23,"48,392",$34.00,$16.23
finance/www.marketwatch.com/BMS.html,25.00,0.00%,0.00,$25.39,$24.82,571,$29.70,$16.85
finance/www.marketwatch.com/BBY.html,38.55,-0.13%,-0.05,$38.69,$36.90,"69,007",$47.50,$16.42
finance/www.marketwatch.com/BDK.html,30.95,-0.74%,-0.23,$31.06,$30.23,"2,639",$69.50,$20.10
finance/www.marketwatch.com/HRB.html,15.69,0.00%,0.00,$15.80,$15.35,"2,617",$27.97,$13.73
finance/www.marketwatch.com/BBI.html,0.87,-2.30%,-0.02,$0.91,$0.86,"3,556",$3.19,$0.13
finance/www.marketwatch.com/BMC.html,35.39,0.00%,0.00,$35.48,$34.71,"16,607",$38.84,$20.58
finance/www.marketwatch.com/BA.html,51.44,-0.08%,-0.04,$51.56,$50.11,"86,389",$77.80,$29.05
finance/www.marketwatch.com/BSX.html,9.37,0.00%,0.00,$9.50,$9.17,"217,240",$14.20,$5.41
finance/www.marketwatch.com/BP.html,51.20,-0.12%,-0.06,$51.24,$50.58,"69,170",$70.09,$33.70
finance/www.marketwatch.com/BGG.html,15.88,+4.60%,+0.73,$16.00,$15.59,"19,002",$21.51,$11.13
finance/www.marketwatch.com/BMY.html,19.81,+0.20%,+0.04,$20.00,$19.67,"140,014",$23.98,$16.00
finance/www.marketwatch.com/BRCM.html,26.30,-0.19%,-0.05,$26.67,$25.66,"72,236",$29.91,$12.98
finance/www.marketwatch.com/BRCD.html,7.80,+1.15%,+0.09,$7.92,$7.59,"20,219",$9.09,$2.05
finance/www.marketwatch.com/BC.html,4.32,0.00%,0.00,$4.37,$4.19,"12,890",$16.64,$1.82
finance/www.marketwatch.com/BNI.html,77.36,0.00%,0.00,$77.70,$75.13,"27,407",$110.04,$50.86
finance/www.marketwatch.com/BR.html,17.18,0.00%,0.00,$17.22,$16.93,"6,027",$23.00,$9.21
finance/www.marketwatch.com/CPN.html,11.82,0.00%,0.00,$11.87,$11.35,"39,066",$23.08,$4.76
finance/www.marketwatch.com/CPB.html,29.10,0.00%,0.00,$29.30,$28.80,"14,122",$40.85,$24.63
finance/www.marketwatch.com/COF.html,23.94,+0.67%,+0.16,$24.50,$23.72,"53,048",$63.50,$7.80
finance/www.marketwatch.com/CAH.html,30.96,0.00%,0.00,$31.43,$30.67,"35,886",$56.45,$27.75
finance/www.marketwatch.com/CCL.html,24.17,0.00%,0.00,$24.20,$23.58,"2,890",$42.39,$14.85
finance/www.marketwatch.com/CAT.html,37.74,-0.37%,-0.14,$37.77,$37.02,"98,542",$82.35,$21.71
finance/www.marketwatch.com/CRA.html,7.94,0.00%,0.00,$8.38,$7.81,"10,420",$17.56,$5.03
finance/www.marketwatch.com/CELG.html,43.23,+0.05%,+0.02,$43.64,$42.68,"42,220",$77.39,$36.90
finance/www.marketwatch.com/CTX.html,8.48,0.00%,0.00,$8.55,$8.26,"16,776",$18.71,$4.91
finance/www.marketwatch.com/CTL.html,32.06,0.00%,0.00,$32.38,$31.40,"14,859",$40.35,$20.45
finance/www.marketwatch.com/CF.html,82.50,0.00%,0.00,$83.71,$80.98,"5,129",$172.99,$37.71
finance/www.marketwatch.com/CHKP.html,24.09,0.00%,0.00,$24.17,$23.69,"21,715",$25.74,$16.80
finance/www.marketwatch.com/CVX.html,72.67,-0.03%,-0.02,$72.75,$70.69,"191,474",$100.90,$55.50
finance/www.marketwatch.com/CHL.html,52.98,-1.19%,-0.63,$53.03,$52.26,"14,927",$71.70,$34.33
finance/www.marketwatch.com/CHINA.html,1.66,-2.40%,-0.04,$1.66,$1.57,"4,100",$3.17,$0.65
finance/www.marketwatch.com/CHIR.html,41.95,-0.30%,-0.13,$42.06,$41.43,800,$61.30,$33.34
finance/www.marketwatch.com/CB.html,40.82,0.00%,0.00,$41.24,$40.56,"3,924",$69.39,$33.47
finance/www.marketwatch.com/CI.html,20.89,+0.81%,+0.17,$21.16,$20.21,"97,778",$44.14,$8.00
finance/www.marketwatch.com/CINF.html,23.84,0.00%,0.00,$24.15,$23.70,"3,680",$35.00,$13.68
finance/www.marketwatch.com/CSCO.html,19.91,-1.56%,-0.31,$20.00,$19.63,"193,560",$26.74,$13.61
finance/www.marketwatch.com/C.html,3.47,+0.86%,+0.03,$3.55,$3.44,3.00m,$23.50,$0.97
finance/www.marketwatch.com/CTXS.html,34.10,0.00%,0.00,$34.19,$32.80,"33,384",$34.41,$19.00
finance/www.marketwatch.com/CCU.html,35.69,+0.06%,+0.02,$35.99,$33.85,"4,002",$36.16,$22.54
finance/www.marketwatch.com/CLX.html,56.39,0.00%,0.00,$56.49,$54.36,"126,342",$65.00,$45.67
finance/www.marketwatch.com/CMS.html,12.30,0.00%,0.00,$12.37,$11.90,"35,894",$15.89,$8.33
finance/www.marketwatch.com/COKE.html,56.35,-0.14%,-0.08,$56.72,$55.67,300,$57.11,$31.41
finance/www.marketwatch.com/KO.html,48.89,0.00%,0.00,$49.04,$48.48,"13,678",$57.59,$37.44
finance/www.marketwatch.com/CCE.html,17.18,0.00%,0.00,$17.40,$17.07,"10,194",$19.60,$7.25
finance/www.marketwatch.com/CL.html,71.38,0.00%,0.00,$72.00,$69.79,"15,671",$80.49,$54.36
finance/www.marketwatch.com/CMCSK.html,13.73,0.00%,0.00,$13.75,$13.39,"62,991",$22.37,$10.33
finance/www.marketwatch.com/CMA.html,22.63,0.00%,0.00,$23.15,$22.38,"46,791",$54.00,$11.72
finance/www.marketwatch.com/CA.html,17.73,0.00%,0.00,$17.99,$17.46,"75,105",$24.67,$12.00
finance/www.marketwatch.com/CSC.html,44.99,0.00%,0.00,$45.12,$44.10,"6,527",$49.37,$23.93
finance/www.marketwatch.com/CPWR.html,7.43,0.00%,0.00,$7.66,$7.31,"11,517",$11.91,$5.08
finance/www.marketwatch.com/CMVT.html,7.60,-0.39%,-0.03,$7.70,$7.50,"12,000",$18.94,$4.98
finance/www.marketwatch.com/CAG.html,19.46,0.00%,0.00,$19.69,$19.34,"7,872",$23.51,$13.52
finance/www.marketwatch.com/ED.html,37.08,0.00%,0.00,$37.15,$36.13,"8,365",$46.39,$32.56
finance/www.marketwatch.com/CEG.html,27.23,0.00%,0.00,$27.47,$26.70,"20,801",$87.04,$13.00
finance/www.marketwatch.com/CAL.html,9.09,+0.33%,+0.03,$9.46,$9.05,"11,716",$21.83,$5.91
finance/www.marketwatch.com/CVG.html,9.28,0.00%,0.00,$9.40,$9.15,"14,799",$16.99,$4.02
finance/www.marketwatch.com/CBE.html,34.13,0.00%,0.00,$34.26,$33.67,"2,398",$49.64,$18.86
finance/www.marketwatch.com/CTB.html,9.22,0.00%,0.00,$9.88,$8.95,"14,151",$12.15,$2.96
finance/www.marketwatch.com/GLW.html,15.89,-0.31%,-0.05,$15.90,$15.41,"97,709",$27.56,$7.36
finance/www.marketwatch.com/COST.html,47.03,0.00%,0.00,$47.10,$45.96,"26,361",$74.89,$38.17
