url,NUMBER : value,NUMBER : var %,NUMBER : var $,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/www.quote.com/coms.html,5.03,-0.98,-0.05,5.08,5.11,4.83,"4,348,828",5.22,1.43
finance/www.quote.com/kde.html,1.92,-2.04,-0.04,1.90,1.96,1.90,"7,121",9.59,1.01
finance/www.quote.com/abt.html,45.42,1.93,0.86,44.47,46.00,44.47,"10,284,431",60.78,41.27
finance/www.quote.com/anf.html,27.58,3.68,0.98,26.47,27.65,26.07,"3,522,094",71.24,13.66
finance/www.quote.com/adpt.html,2.63,3.95,0.10,2.57,2.63,2.52,"427,365",4.24,2.20
finance/www.quote.com/adbe.html,30.15,-0.82,-0.25,30.60,30.6699,29.61,"5,478,513",46.44,15.70
finance/www.quote.com/amd.html,4.47,-4.89,-0.23,4.75,4.79,4.33,"39,939,436",7.94,1.62
finance/www.quote.com/advs.html,31.23,0.68,0.21,30.94,31.50,30.62,"144,114",49.32,17.51
finance/www.quote.com/aes.html,10.69,2.59,0.27,10.36,10.79,10.21,"7,467,654",20.80,4.80
finance/www.quote.com/aet.html,22.97,-1.42,-0.33,23.25,23.70,22.47,"6,426,512",45.40,14.2101
finance/www.quote.com/affx.html,6.64,-2.64,-0.18,6.70,6.79,6.35,"862,088",12.05,1.78
finance/www.quote.com/afl.html,32.81,-2.96,-1.00,33.54,33.72,32.51,"3,767,843",68.00,10.83
finance/www.quote.com/a.html,19.36,-1.83,-0.36,19.67,19.67,18.94,"2,627,609",38.00,12.02
finance/www.quote.com/apd.html,67.99,-0.92,-0.63,68.04,68.32,67.12,"1,548,455",104.75,41.46
finance/www.quote.com/akam.html,22.86,-0.13,-0.03,22.85,22.88,22.3399,"2,592,432",37.15,9.25
finance/www.quote.com/acv.html,24.41,0.25,0.06,24.23,24.46,24.09,"309,915",29.40,19.32
finance/www.quote.com/al.html,0.44,-2.22,-0.01,0.46,0.46,0.44,0,,
finance/www.quote.com/ati.html,41.88,-3.19,-1.38,42.55,42.66,41.36,"1,810,562",67.15,15.00
finance/www.quote.com/agn.html,46.28,4.02,1.79,44.37,46.28,44.30,"2,338,599",61.72,28.95
finance/www.quote.com/aw.html,10.10,1.30,0.13,9.73,10.20,9.50,0,,
finance/www.quote.com/all.html,24.85,-0.08,-0.02,24.87,25.01,24.60,"3,914,272",50.47,13.77
finance/www.quote.com/altr.html,16.75,-3.62,-0.63,17.23,17.25,16.55,"11,648,814",24.19,12.99
finance/www.quote.com/amzn.html,84.08,-1.88,-1.61,85.03,85.20,82.01,"6,223,054",91.75,34.68
finance/www.quote.com/aep.html,28.00,2.00,0.55,27.28,28.16,27.03,"4,370,711",43.37,24.00
finance/www.quote.com/am.html,7.45,-0.27,-0.02,7.43,7.50,7.08,"248,593",18.57,3.24
finance/www.quote.com/aig.html,1.61,0.00,0.00,1.61,1.62,1.55,"32,807,608",34.79,0.33
finance/www.quote.com/apcc.html,0.01,-95.00,-0.19,0.01,0.01,0.01,166,1.50,0.01
finance/www.quote.com/ahc.html,1.17,2.63,0.03,1.12,1.20,1.10,"37,124",8.19,0.5926
finance/www.quote.com/aee.html,24.41,0.78,0.19,24.09,24.61,23.89,"1,382,995",43.825,19.51
finance/www.quote.com/axp.html,25.16,-1.83,-0.47,25.39,25.69,24.83,"14,797,428",45.82,9.71
finance/www.quote.com/amtd.html,17.54,-2.34,-0.42,17.67,17.86,17.32,"3,959,090",23.4857,9.34
finance/www.quote.com/amgn.html,50.40,1.04,0.52,49.6066,50.70,49.34,"6,803,490",66.51,42.95
finance/www.quote.com/amr.html,4.55,-0.87,-0.04,4.55,4.69,4.50,"5,066,781",13.41,2.40
finance/www.quote.com/aso.html,21.27,0.91,0.1926,21.0301,21.27,21.03,0,28.40,12.17
finance/www.quote.com/apc.html,50.57,-0.59,-0.30,50.12,50.63,49.38,"4,804,500",81.02,24.57
finance/www.quote.com/adi.html,25.40,-1.32,-0.34,25.77,25.82,25.20,"4,751,635",34.59,15.29
finance/www.quote.com/bud.html,68.58,0.00,0.00,68.90,68.90,68.54,0,69.26,54.35
finance/www.quote.com/twx.html,26.00,-0.65,-0.17,26.05,26.13,25.53,"6,452,605",50.70,17.81
finance/www.quote.com/aoc.html,36.99,0.35,0.13,36.81,37.07,36.41,"2,114,287",50.00,32.83
finance/www.quote.com/apa.html,84.20,-1.34,-1.14,84.33,84.92,83.43,"2,649,488",145.00,51.03
finance/www.quote.com/aapl.html,136.97,-2.13,-2.98,138.81,139.10,136.04,"20,110,176",182.60,78.20
finance/www.quote.com/amat.html,11.23,0.72,0.08,11.19,11.24,10.97,"17,011,098",20.90,7.80
finance/www.quote.com/amcc.html,7.75,-4.79,-0.39,8.14,8.14,7.65,"631,579",9.70,3.0101
finance/www.quote.com/adm.html,28.71,-0.90,-0.26,28.84,28.85,28.44,"3,115,122",36.60,13.53
finance/www.quote.com/aria.html,1.86,-1.06,-0.02,1.92,1.9292,1.84,"385,766",3.55,0.72
finance/www.quote.com/arba.html,10.60,0.76,0.08,10.48,10.65,10.44,"414,494",18.58,6.00
finance/www.quote.com/arw.html,22.38,-4.20,-0.98,22.95,23.14,21.94,"1,296,537",36.00,11.74
finance/www.quote.com/ash.html,27.36,-2.81,-0.79,27.90,28.02,26.6827,"1,495,080",54.90,5.35
finance/www.quote.com/t.html,25.01,0.89,0.22,24.65,25.05,24.59,"27,041,071",36.80,20.90
finance/www.quote.com/adsk.html,22.24,-0.71,-0.16,22.12,22.33,21.82,"2,090,230",39.89,11.70
finance/www.quote.com/adp.html,37.29,-0.32,-0.12,37.27,37.48,36.60,"2,370,223",45.97,30.83
finance/www.quote.com/azo.html,155.50,0.94,1.45,153.55,155.98,151.59,"774,146",169.9899,84.66
finance/www.quote.com/avy.html,27.94,0.00,0.00,27.51,28.01,27.36,"568,803",55.00,17.02
finance/www.quote.com/ava.html,16.45,2.17,0.35,16.11,16.49,15.92,"370,616",23.58,12.67
finance/www.quote.com/avp.html,26.61,-0.63,-0.17,26.43,26.82,26.34,"2,415,917",45.34,14.40
finance/www.quote.com/bhi.html,41.72,-1.44,-0.61,41.75,41.88,41.17,"3,882,310",90.48,24.40
finance/www.quote.com/bll.html,43.00,-1.83,-0.80,42.99,43.13,42.00,"1,455,491",53.44,27.37
finance/www.quote.com/bac.html,13.72,5.78,0.75,13.30,13.93,13.23,"448,295,800",39.50,2.53
finance/www.quote.com/bk.html,29.02,0.21,0.06,28.94,29.02,28.48,"6,086,762",43.00,15.44
finance/www.quote.com/bcr.html,74.05,0.08,0.06,73.85,74.955,73.25,"619,986",101.61,68.94
finance/www.quote.com/bks.html,23.32,1.39,0.32,22.90,23.42,22.53,"756,543",33.64,10.77
finance/www.quote.com/abx.html,33.99,-1.93,-0.67,33.61,34.23,33.35,"8,841,186",52.48,17.27
finance/www.quote.com/bax.html,49.53,3.47,1.66,47.76,50.48,47.08,"10,086,604",71.53,45.46
finance/www.quote.com/bbt.html,23.14,2.57,0.58,22.50,23.19,22.45,"6,552,050",45.31,12.90
finance/www.quote.com/bce.html,21.59,-2.53,-0.56,21.91,21.94,21.49,"1,200,802",39.13,16.85
finance/www.quote.com/bsc.html,8.744,1.79,0.154,8.92,9.44,8.34,0,12.83,3.06
finance/www.quote.com/bdx.html,68.35,0.10,0.07,67.72,68.87,67.72,"1,323,767",89.24,58.14
finance/www.quote.com/bbby.html,28.36,1.54,0.43,27.68,28.41,27.23,"5,167,841",34.00,16.2336
finance/www.quote.com/bms.html,25.00,-1.73,-0.44,25.30,25.39,24.82,"590,137",29.70,16.85
finance/www.quote.com/bby.html,38.55,3.55,1.32,37.13,38.69,36.90,"7,140,872",48.75,16.42
finance/www.quote.com/bbh.html,91.68,0.69,0.63,90.91,92.27,90.69,"54,400",102.835,71.805
finance/www.quote.com/bdk.html,30.95,-0.45,-0.14,31.04,31.06,30.23,"763,251",69.50,20.10
finance/www.quote.com/hrb.html,15.69,-0.13,-0.02,15.66,15.80,15.35,"1,540,981",27.97,13.73
finance/www.quote.com/bbi.html,0.87,-1.14,-0.01,0.9089,0.9089,0.86,"1,258,709",3.19,0.13
finance/www.quote.com/bmc.html,35.39,0.97,0.34,34.88,35.48,34.71,"1,466,804",38.84,20.58
finance/www.quote.com/ba.html,51.44,1.54,0.78,50.76,51.56,50.11,"5,476,628",77.80,29.05
finance/www.quote.com/bsx.html,9.37,0.21,0.02,9.45,9.50,9.17,"7,202,153",14.20,5.41
finance/www.quote.com/bgg.html,15.88,-1.18,-0.19,15.92,16.00,15.59,"228,683",21.51,11.13
finance/www.quote.com/bmy.html,19.81,-0.95,-0.19,19.90,20.00,19.67,"10,685,361",23.98,16.00
finance/www.quote.com/bsy.html,29.19,-1.55,-0.46,29.12,29.20,28.85,"23,021",42.00,19.90
finance/www.quote.com/brcm.html,26.30,-2.30,-0.62,26.67,26.67,25.66,"9,430,048",29.91,12.98
finance/www.quote.com/brcd.html,7.80,1.69,0.13,7.76,7.92,7.59,"19,337,172",9.09,2.05
finance/www.quote.com/bc.html,4.32,0.47,0.02,4.33,4.37,4.19,"449,912",16.64,1.82
finance/www.quote.com/bni.html,77.36,2.90,2.18,75.34,77.70,75.13,"2,700,887",110.04,50.86
finance/www.quote.com/cpn.html,11.82,0.77,0.09,11.79,11.8675,11.35,"2,921,785",23.08,4.76
finance/www.quote.com/cpb.html,29.10,0.17,0.05,29.00,29.30,28.80,"1,863,922",40.85,24.63
finance/www.quote.com/cof.html,23.94,-2.64,-0.65,24.50,24.50,23.72,"8,252,934",63.50,7.80
finance/www.quote.com/cah.html,30.96,0.39,0.12,30.86,31.43,30.67,"3,244,338",56.45,27.75
finance/www.quote.com/ccl.html,24.17,1.85,0.44,24.11,24.20,23.58,"5,108,393",42.39,14.85
finance/www.quote.com/cat.html,37.73,0.32,0.12,37.47,37.77,37.02,"8,567,660",82.35,21.71
finance/www.quote.com/cra.html,7.94,-3.52,-0.29,8.19,8.38,7.81,"593,460",17.56,5.03
finance/www.quote.com/celg.html,43.23,-0.21,-0.09,43.64,43.64,42.68,"3,608,868",77.39,36.90
finance/www.quote.com/cd.html,0.8941,-1.87,-0.017,0.8913,0.8951,0.8899,,,
finance/www.quote.com/ctx.html,8.48,-0.47,-0.04,8.54,8.55,8.26,"3,757,867",18.71,4.91
finance/www.quote.com/ctl.html,32.06,-1.38,-0.45,32.38,32.38,31.40,"2,082,026",40.35,20.45
finance/www.quote.com/cf.html,82.50,-0.41,-0.34,82.13,83.71,80.98,"1,108,534",172.99,37.71
finance/www.quote.com/chkp.html,24.09,1.05,0.25,23.83,24.17,23.69,"2,498,838",25.74,16.80
finance/www.quote.com/cvx.html,72.67,1.07,0.77,71.19,72.75,70.69,"13,931,638",100.90,55.50
finance/www.quote.com/chl.html,52.98,-1.96,-1.06,52.67,53.03,52.26,"1,614,648",71.70,34.33
finance/www.quote.com/china.html,1.66,3.11,0.05,1.64,1.66,1.57,"674,378",3.17,0.65
finance/www.quote.com/cb.html,40.82,-1.02,-0.42,41.20,41.24,40.56,"1,571,125",69.39,33.47
finance/www.quote.com/cinf.html,23.84,-0.67,-0.16,23.86,24.15,23.695,"709,727",35.00,13.68
finance/www.quote.com/cc.html,0.02,-92.00,-0.23,0.1199,0.12,0.07,0,8.24,0.085
finance/www.quote.com/csco.html,19.91,-0.95,-0.19,19.93,20.00,19.63,"41,372,311",26.695,13.61
finance/www.quote.com/c.html,3.47,-0.29,-0.01,3.47,3.55,3.44,"139,079,006",23.50,0.97
finance/www.quote.com/ctxs.html,34.10,2.13,0.71,33.24,34.19,32.80,"4,170,314",34.41,19.00
finance/www.quote.com/ccu.html,35.69,4.33,1.48,33.91,35.99,33.85,"81,372",36.16,22.54
finance/www.quote.com/clx.html,56.39,5.11,2.74,54.60,56.49,54.36,"3,982,400",65.00,45.67
finance/www.quote.com/cmgi.html,8.89,-14.19,-1.47,10.32,10.32,8.89,0,,
finance/www.quote.com/cms.html,12.30,2.07,0.25,11.99,12.37,11.90,"5,084,916",15.89,8.33
finance/www.quote.com/cnet.html,11.49,0.26,0.03,11.48,11.51,11.48,0,,
finance/www.quote.com/coke.html,56.35,-0.53,-0.30,56.72,56.72,55.67,"9,355",57.11,31.41
finance/www.quote.com/ko.html,48.89,0.64,0.31,48.68,49.04,48.48,"8,620,310",57.59,37.44
finance/www.quote.com/cce.html,17.18,-1.55,-0.27,17.32,17.40,17.07,"2,736,160",19.60,7.25
finance/www.quote.com/cl.html,71.38,1.59,1.12,69.96,72.00,69.79,"3,068,588",80.49,54.36
