url,NUMBER : shirt_number,STRING : position,SPACE : height,MASS : weight,DATE : birthdate,STRING : national_team
soccer/soccernet.espn.go.com/21694.html,14,Midfielder,1.76 M,65 Kg,"Jul 31, 1973",Saudi Arabia
soccer/soccernet.espn.go.com/82048.html,,Midfielder,,,,Saudi Arabia
soccer/soccernet.espn.go.com/82048.html,,Midfielder,,,,Saudi Arabia
soccer/soccernet.espn.go.com/20715.html,15,Forward,1.83 M,83 Kg,"Nov 10, 1977",Saudi Arabia
soccer/soccernet.espn.go.com/91451.html,26,Defender,,,"Jan 22, 1985",Saudi Arabia
soccer/soccernet.espn.go.com/82065.html,,Defender,,,,Saudi Arabia
soccer/soccernet.espn.go.com/102612.html,18,Midfielder,,,"May 22, 1983",Saudi Arabia
soccer/soccernet.espn.go.com/93195.html,4,Defender,1.86 M,78 Kg,"Oct 06, 1986",Poland
soccer/soccernet.espn.go.com/10533.html,14,Midfielder,1.77 M,71 Kg,"Sep 16, 1976",Tunisia
soccer/soccernet.espn.go.com/43022.html,7,Striker,1.89 M,86 Kg,"Feb 17, 1982",Brazil
soccer/soccernet.espn.go.com/34209.html,12,Goalkeeper,1.90 M,83 Kg,"Jul 26, 1981",Argentina
soccer/soccernet.espn.go.com/101558.html,12,Goalkeeper,1.90 M,83 Kg,"Jun 26, 1981",Argentina
soccer/soccernet.espn.go.com/102614.html,30,Midfielder,,,,Saudi Arabia
soccer/soccernet.espn.go.com/77142.html,2,Defender,1.78 M,70 Kg,"Oct 25, 1976",Saudi Arabia
soccer/soccernet.espn.go.com/20719.html,12,Defender,1.78 M,70 Kg,"Oct 25, 1976",Saudi Arabia
soccer/soccernet.espn.go.com/82046.html,,Defender,,,,Saudi Arabia
soccer/soccernet.espn.go.com/20683.html,9,Forward,1.80 M,71 Kg,"Jun 18, 1976",Japan
soccer/soccernet.espn.go.com/42607.html,21,Defender,1.77 M,73 Kg,"Jan 13, 1980",Japan
soccer/soccernet.espn.go.com/13752.html,4,Midfielder,1.86 M,77 Kg,"Jul 07, 1984",Italy
soccer/soccernet.espn.go.com/33582.html,21,Striker,1.79 M,78 Kg,"Jun 12, 1979",Argentina
soccer/soccernet.espn.go.com/11808.html,15,Defender,1.85 M,80 Kg,"Aug 27, 1981",Italy
soccer/soccernet.espn.go.com/3114.html,10,Midfielder,1.72 M,70 Kg,"Jul 09, 1968",Ecuador
soccer/soccernet.espn.go.com/23719.html,16,Forward,1.75 M,67 Kg,"Nov 27, 1982",Russia
soccer/soccernet.espn.go.com/12410.html,10,Midfielder,1.79 M,76 Kg,"Aug 22, 1968",Russia
soccer/soccernet.espn.go.com/101495.html,3,Defender,1.88 M,92 Kg,"Jun 17, 1982",Brazil
soccer/soccernet.espn.go.com/96521.html,14,Defender,1.92 M,80 Kg,"Mar 10, 1985",Brazil
soccer/soccernet.espn.go.com/10500.html,1,Goalkeeper,1.88 M,83 Kg,"Apr 13, 1966",Tunisia
soccer/soccernet.espn.go.com/100782.html,13,Defender,1.64 M,60 Kg,"Jul 29, 1983",Costa Rica
soccer/soccernet.espn.go.com/42999.html,,Midfielder,1.78 M,68 Kg,"Oct 14, 1978",Costa Rica
soccer/soccernet.espn.go.com/3044.html,18,Goalkeeper,1.80 M,80 Kg,"Dec 24, 1972",Costa Rica
soccer/soccernet.espn.go.com/20629.html,20,Forward,1.78 M,77 Kg,"Mar 17, 1976",Uruguay
soccer/soccernet.espn.go.com/39744.html,19,Striker,1.83 M,77 Kg,"Mar 25, 1982",Costa Rica
soccer/soccernet.espn.go.com/8127.html,19,Midfielder,1.84 M,82 Kg,"Dec 31, 1973",Slovenia
soccer/soccernet.espn.go.com/12693.html,20,Midfielder,1.74 M,73 Kg,"Aug 27, 1977",Portugal
soccer/soccernet.espn.go.com/20659.html,16,Goalkeeper,1.90 M,72 Kg,"Jun 27, 1967",South Africa
soccer/soccernet.espn.go.com/19241.html,22,Forward,1.85 M,80 Kg,"Apr 10, 1974",Sweden
soccer/soccernet.espn.go.com/79445.html,,Defender,,,,Germany
soccer/soccernet.espn.go.com/81920.html,,Midfielder,,,,Germany
soccer/soccernet.espn.go.com/21158.html,1,Goalkeeper,1.92 M,82 Kg,"Jun 21, 1981",China
soccer/soccernet.espn.go.com/82016.html,,Defender,,,,Italy
soccer/soccernet.espn.go.com/82080.html,,Midfielder,,,,Italy
soccer/soccernet.espn.go.com/24228.html,11,Striker,1.77 M,70 Kg,"Oct 13, 1977",Italy
soccer/soccernet.espn.go.com/65629.html,16,Midfielder,1.81 M,78 Kg,"Aug 04, 1985",Ecuador
soccer/soccernet.espn.go.com/2660.html,,Midfielder,1.70 M,67 Kg,"Mar 04, 1974",Argentina
soccer/soccernet.espn.go.com/21702.html,38,Striker,1.90 M,85 Kg,"Mar 04, 1981",Portugal
soccer/soccernet.espn.go.com/22764.html,1,Goalkeeper,1.93 M,87 Kg,"Feb 20, 1980",Poland
