url,STRING : club,STRING : position,STRING : national_team,SPACE : height,MASS : weight,DATE : birthdate
soccer/uk.eurosport.yahoo.com/aaron-hunt.html,Werder Brême,Striker,Germany,1.83m.,70.00kg.,04/09/1986 in Goslar
soccer/uk.eurosport.yahoo.com/aaron-lennon.html,Tottenham,Midfielders,,1.65m.,62.00kg.,16/04/1987 in Leeds
soccer/uk.eurosport.yahoo.com/aaron-mokoena.html,,Defender,South Africa,1.83m.,78.00kg.,25/11/1980 in Johannesburg
soccer/uk.eurosport.yahoo.com/abdoulaye-meite.html,Bolton,Defender,Ivory Coast,1.85m.,82.00kg.,06/10/1980 in Paris
soccer/uk.eurosport.yahoo.com/adrian-mutu.html,Fiorentina,Striker,Roumania,1.80m.,74.00kg.,08/01/1979 in
soccer/uk.eurosport.yahoo.com/adriano.html,Monaco,Defender,Brazil,1.79m.,70.00kg.,03/04/1982 in Salvador De Bahia
soccer/uk.eurosport.yahoo.com/ahmed-fathi.html,Al-Ahly Le Caire,Defender,Egypt,1.75m.,73.00kg.,10/11/1984 in
soccer/uk.eurosport.yahoo.com/ahmed-hassan.html,RSC Anderlecht,Midfielders,Egypt,1.78m.,70.00kg.,02/05/1975 in Misir
soccer/uk.eurosport.yahoo.com/alan-hutton.html,Tottenham,Defender,,1.85m.,72.00kg.,30/11/1984 in Glasgow
soccer/uk.eurosport.yahoo.com/alan-smith.html,,Striker,,1.76m.,69.00kg.,28/10/1980 in Rothwell
soccer/uk.eurosport.yahoo.com/alan-stubbs.html,,Defender,,1.87m.,86.00kg.,06/10/1971 in Kirkby
soccer/uk.eurosport.yahoo.com/albert-riera.html,FC,Midfielders,Spain,1.87m.,77.00kg.,15/04/1982 in
soccer/uk.eurosport.yahoo.com/alberto-aquilani.html,AS Rome,Midfielders,Italy,1.86m.,77.00kg.,07/07/1984 in
soccer/uk.eurosport.yahoo.com/alberto-gilardino.html,Fiorentina,Striker,Italy,1.84m.,79.00kg.,05/07/1982 in Biella
soccer/uk.eurosport.yahoo.com/alejandro-dominguez.html,Zénith St-Petersbourg,Striker,Argentina,1.75m.,73.00kg.,10/06/1981 in Lanus ( Argentina )
soccer/uk.eurosport.yahoo.com/alessandro-delpiero.html,Juventus Turin,Striker,Italy,1.75m.,74.00kg.,09/11/1974 in Conegliano
soccer/uk.eurosport.yahoo.com/alessandro-gamberini.html,Fiorentina,Defender,Italy,1.85m.,78.00kg.,27/08/1981 in
soccer/uk.eurosport.yahoo.com/alexander-frei.html,Borussia Dortmund,Striker,Switzerland,1.79m.,74.00kg.,15/07/1979 in Bâle
soccer/uk.eurosport.yahoo.com/alexander-hleb.html,(FC) Barcelone,Midfielders,Belarus,1.82m.,72.00kg.,01/05/1981 in Minsk
soccer/uk.eurosport.yahoo.com/alexandre-songbillong.html,,Midfielders,Cameroon,1.82m.,74.00kg.,09/09/1987 in Douala
soccer/uk.eurosport.yahoo.com/alexandros-tziolis.html,Panathinaïkos,Midfielders,Greece,1.89m.,82.00kg.,13/02/1985 in
soccer/uk.eurosport.yahoo.com/alvaro-recoba.html,Panionios Athènes,Striker,Uruguay,1.73m.,68.00kg.,17/03/1976 in Montevideo
soccer/uk.eurosport.yahoo.com/alves-afonso.html,SC Heerenveen,Striker,Brazil,1.85m.,74.00kg.,30/01/1981 in
soccer/uk.eurosport.yahoo.com/amara-diane.html,Paris-SG,Striker,Ivory Coast,1.81m.,71.00kg.,19/08/1982 in Abidjan
soccer/uk.eurosport.yahoo.com/amaury-bischoff.html,,Midfielders,France,1.75m.,61.00kg.,31/03/1987 in Colmar
soccer/uk.eurosport.yahoo.com/anatoliy-tymoshchuk.html,Zénith St-Petersbourg,Midfielders,Ukraine,1.82m.,73.00kg.,30/03/1979 in Lutsk
soccer/uk.eurosport.yahoo.com/anderson.html,,Midfielders,Brazil,1.76m.,69.00kg.,13/04/1988 in
soccer/uk.eurosport.yahoo.com/andrea-dossena.html,FC,Defender,Italy,1.80m.,74.00kg.,11/09/1981 in Lodi
soccer/uk.eurosport.yahoo.com/andreas-granqvist.html,(FC) Groningue,Defender,Sweden,1.92m.,84.00kg.,16/04/1985 in
soccer/uk.eurosport.yahoo.com/andreas-hinkel.html,Glasgow,Defender,Germany,1.83m.,74.00kg.,26/03/1982 in Backnang
soccer/uk.eurosport.yahoo.com/andreas-isaksson.html,PSV Eindhoven,Goalkeeper,Sweden,1.99m.,88.00kg.,03/10/1981 in
soccer/uk.eurosport.yahoo.com/andreas-ivanschitz.html,Panathinaïkos,Midfielders,Austria,1.83m.,79.00kg.,15/10/1983 in
soccer/uk.eurosport.yahoo.com/andres-iniesta.html,(FC) Barcelone,Midfielders,Spain,1.69m.,64.00kg.,11/05/1984 in
soccer/uk.eurosport.yahoo.com/andrew-johnson.html,,Striker,,1.70m.,71.00kg.,10/02/1981 in Bedford
soccer/uk.eurosport.yahoo.com/andre-chevtchenko.html,Milan AC,Striker,Ukraine,1.83m.,73.00kg.,29/09/1976 in Dvirkivshchyna
soccer/uk.eurosport.yahoo.com/andr-ayew.html,Lorient,Striker,Ghana,1.76m.,72.00kg.,17/12/1989 in Lille
soccer/uk.eurosport.yahoo.com/andy-cole.html,,Striker,,1.80m.,77.00kg.,15/10/1971 in Nottingham
soccer/uk.eurosport.yahoo.com/andy-griffin.html,,Defender,,1.72m.,68.00kg.,17/03/1979 in Wigan
soccer/uk.eurosport.yahoo.com/andy-todd.html,,Defender,,1.77m.,68.00kg.,21/09/1974 in Derby
soccer/uk.eurosport.yahoo.com/anthony-mounier.html,Lyon,Striker,France,1.74m.,65.00kg.,27/09/1987 in Aubenas
soccer/uk.eurosport.yahoo.com/anthony-stokes.html,,Striker,Ireland,1.80m.,73.00kg.,25/07/1988 in Dublin
soccer/uk.eurosport.yahoo.com/antoine-sibierski.html,,Midfielders,France,1.87m.,80.00kg.,05/08/1974 in Lille
soccer/uk.eurosport.yahoo.com/anton-ferdinand.html,,Defender,,1.80m.,74.00kg.,18/02/1985 in Peckham
soccer/uk.eurosport.yahoo.com/antonio-cassano.html,Sampdoria Gênes,Striker,Italy,1.75m.,70.00kg.,12/07/1982 in
soccer/uk.eurosport.yahoo.com/antonio-chimenti.html,Juventus Turin,Goalkeeper,Italy,1.84m.,83.00kg.,30/06/1970 in Bari
soccer/uk.eurosport.yahoo.com/antti-niemi.html,,Goalkeeper,Finland,1.86m.,83.00kg.,06/07/1972 in Oulu
soccer/uk.eurosport.yahoo.com/arjen-robben.html,Real Madrid,Striker,Netherlands,1.80m.,75.00kg.,23/01/1984 in
soccer/uk.eurosport.yahoo.com/artur-boruc.html,Glasgow,Goalkeeper,Poland,1.93m.,85.00kg.,20/02/1980 in Sieldce ( Poland )
soccer/uk.eurosport.yahoo.com/ashley-cole.html,,Defender,,1.72m.,67.00kg.,20/12/1980 in Stepney
soccer/uk.eurosport.yahoo.com/ashley-young.html,,Striker,,1.75m.,63.00kg.,09/07/1985 in Stevenage
soccer/uk.eurosport.yahoo.com/bafetimbi-gomis.html,Saint-Etienne,Striker,France,1.84m.,77.00kg.,06/08/1985 in La Seyne-sur-Mer
soccer/uk.eurosport.yahoo.com/bakari-sagna.html,,Defender,France,1.76m.,72.00kg.,14/02/1983 in Sens
soccer/uk.eurosport.yahoo.com/barry-ferguson.html,,Midfielders,,1.82m.,75.00kg.,09/02/1978 in Glasgow
soccer/uk.eurosport.yahoo.com/barry-robson.html,Glasgow,Midfielders,,1.80m.,76.00kg.,07/11/1978 in
soccer/uk.eurosport.yahoo.com/bastian-schweinsteiger.html,Bayern Munich,Midfielders,Germany,1.80m.,76.00kg.,01/08/1984 in
soccer/uk.eurosport.yahoo.com/ben-foster.html,,Goalkeeper,,1.87m.,79.00kg.,03/04/1983 in Leamington Spa
soccer/uk.eurosport.yahoo.com/ben-sahar.html,,Striker,Israel,1.80m.,72.00kg.,10/08/1989 in
soccer/uk.eurosport.yahoo.com/benedict-mccarthy.html,,Striker,South Africa,1.84m.,80.00kg.,12/11/1977 in Cap Town
soccer/uk.eurosport.yahoo.com/benjani.html,,Striker,Zimbabwe,1.82m.,78.00kg.,13/08/1978 in Bulawayo
soccer/uk.eurosport.yahoo.com/bernard-mendy.html,,Defender,France,1.80m.,77.00kg.,20/08/1981 in Evreux
soccer/uk.eurosport.yahoo.com/bernardo-corradi.html,Reggina,Striker,Italy,1.89m.,86.00kg.,30/03/1976 in Siena
soccer/uk.eurosport.yahoo.com/bobby-zamora.html,,Striker,,1.85m.,73.00kg.,16/01/1981 in London
soccer/uk.eurosport.yahoo.com/brad-friedel.html,,Goalkeeper,USA,1.93m.,92.00kg.,"18/05/1971 in Lakewood, Ohio"
soccer/uk.eurosport.yahoo.com/brad-guzan.html,,Goalkeeper,USA,,,09/09/1984 in
