url,STRING : nationality,STRING : birthplace,DATE : birthdate,SPACE : height,MASS : weight,STRING : national_team,STRING : position
soccer/www.123football.com/julio-caceres.html,Paraguayan,"San Jose dos Arroyos, Paraguay","October 5, 1979",,,Paraguay,Defende
soccer/www.123football.com/cyrille-makanaky.html,Cameroons,Cameroon,,??? cm,?? kg,Cameroon,Forward
soccer/www.123football.com/hugo-sanchez.html,Mexican,Mexico City,11 June 1958,??? cm,?? kg,Mexico,Striker
soccer/www.123football.com/valdo.html,Brazilian,"Siderópolis, Brazil",12 January 1964,??? cm,?? kg,Brazil,Midfielder
soccer/www.123football.com/youssef-hadji.html,Moroccan,"Ifrane, Morocco",25 Feb 1980,??? cm,?? kg,Morocco,Forward
soccer/www.123football.com/luboslav-penev.html,Bulgarian,Bulgaria,"August 31, 1966",??? cm,?? kg,Bulgaria,Striker
soccer/www.123football.com/sven-eriksson.html,Swedish,"Torsby, Swden","February 5, 1948",??? cm,?? kg,Sweden,???
soccer/www.123football.com/roger-milla.html,Cameroonian,"Yaounde, Cameroon","May 20, 1952",??? cm,?? kg,Cameroon,Foward
soccer/www.123football.com/erwin-sanchez.html,Bolivian,"Santa Cruz, Bolivia","October 19, 1969",??? cm,?? kg,Bolivia,Striker
soccer/www.123football.com/marek-heinz.html,Czech,"Olomouc, Czech Republic",4/8/1977,,,Czech Republic,Forward
soccer/www.123football.com/rivelino.html,Brazilian,"São Paulo, Brazil","January 1st, 1946",,,Brazil,Forward
soccer/www.123football.com/ivan-klasnic.html,Croatian,"Hamburg, Germany","January 29, 1980",,,Croatia,Striker
soccer/www.123football.com/sergio-aguero.html,Argentinian,,"June 2, 1988",,,"Argentina- A, U21","Forward, Attacking Midfielder"
soccer/www.123football.com/eddie-lewis.html,American,"Cerritos, California, United States","May 17, 1974",,,USA,Midfielder
soccer/www.123football.com/eddie-johnson.html,American,"Palm Coast, FL, United States","31 March, 1984",6'0,,USA,Forward
soccer/www.123football.com/benedict-mccarthy.html,South African,"Kaapstad, South africa",12/11/1977,182 cm,,South Africa,Striker
soccer/www.123football.com/danny-mills.html,English,"Norwich, England",18 May 1977,5.10,12.00,England,Defender
soccer/www.123football.com/kieron-dyer.html,English,"Ipswich, England",29/12/1978,170 cm,60 kg,England,Attacking Midfielder
soccer/www.123football.com/robinho.html,Brazilian,"São Vicente, Brazil",25/01/1984,172 cm,60 kg,Brazil,Forward
soccer/www.123football.com/leandro-romagnoli.html,Argentinian,"Capital Federal, Argentina",17/03/1981,172 cm,61 kg,,"Left Midfielder, Attacking Midfielder"
soccer/www.123football.com/michael-laudrup.html,Danish,"Copenhagen, Denmark","June 15, 1964",173 cm,61 kg,Denmark,Midfielder
soccer/www.123football.com/ludovic-giuly.html,French,"Lyon, France",10/07/1976,164 cm,62 kg,France,"Right Midfielder, Attacking Midfielder"
