url,STRING : birthplace,STRING : national_team,STRING : position,DATE : birthdate,STRING : club
soccer/www.footymania.com/433.html,", Czech republic",Czech republic,Midfielder Right,26/7/1979,Marseille
soccer/www.footymania.com/959.html,"Birmingham, England",England,Midfielder,2/12/1978,Bristol Rovers
soccer/www.footymania.com/3049.html,"Aurora, United states",United states,"Midfield Left, Wing Left",14/3/1983,FC Dallas
soccer/www.footymania.com/504.html,"Knutsford, England",England,Forward,21/10/1979,
soccer/www.footymania.com/719.html,", Morocco",Morocco,Defender,0/0/2000,
soccer/www.footymania.com/590.html,"Ksar-Askour, Morocco",Morocco,Defender Center,1/11/1978,Rennes
soccer/www.footymania.com/1955.html,"Lome Golfe, Togo",Togo,Forward,25/6/1986,Red Bull
soccer/www.footymania.com/3926.html,", Cote d'ivoire",Cote d'ivoire,Defender,6/10/1980,Bolton Wanderers
soccer/www.footymania.com/944.html,", England",England,Striker,2/12/1984,Mansfield Town
soccer/www.footymania.com/5321.html,", United states",United states,Forward,8/1/1985,New England Revolution
soccer/www.footymania.com/3089.html,"Poughkeepsie, United states",United states,Goalkeeper,3/11/1971,Kansas City Wizards
soccer/www.footymania.com/901.html,"Marrakesh, Morocco",Morocco,Midfield Left,14/7/1977,AZ Alkmaar
soccer/www.footymania.com/982.html,", Belgium",Belgium,Attacking Midfielder Right,22/11/1976,
soccer/www.footymania.com/16.html,"Calinesti, Romania",Romania,Forward Center,8/1/1979,Fiorentina
soccer/www.footymania.com/899.html,", Canada",Canada,Defender,0/0/2000,FC Dallas
soccer/www.footymania.com/2827.html,"Vila Velha, Brazil",Brazil,"Back Left, Midfield Left",27/8/1977,Real Sociedad
soccer/www.footymania.com/618.html,"Ibarra, Ecuador",Ecuador,Striker,23/12/1974,Barcelona
soccer/www.footymania.com/3429.html,"Dublin, Ireland",Ireland,Midfield,10/1/1984,Preston North End
soccer/www.footymania.com/942.html,"Liverpool, England",England,Midfielder,31/5/1981,
soccer/www.footymania.com/4271.html,"Dublin, Ireland",Ireland,Midfield,20/2/1985,Hibernian
soccer/www.footymania.com/872.html,"Newcastle, England",England,Striker,13/8/1970,Newcastle United
soccer/www.footymania.com/605.html,"Leeds, England",England,Striker,20/10/1980,Newcastle United
soccer/www.footymania.com/627.html,", Senegal",Senegal,Defender,12/12/1981,Troyes
soccer/www.footymania.com/828.html,"Sierra Leone, England",England,Midfield,23/10/1984,Watford
soccer/www.footymania.com/1927.html,"Bescanò-Girona, Spain",Spain,Goalkeeper,3/3/1979,Barcelona
soccer/www.footymania.com/2312.html,", Italy",Italy,Midfield,19/8/1985,Parma
soccer/www.footymania.com/2318.html,"Biella, Italy",Italy,Forward,5/7/1982,AC Milan
soccer/www.footymania.com/2665.html,"Ciudad Real, Spain",Spain,"Midfield Center, Midfield Right",16/2/1978,Betis Sevilla
soccer/www.footymania.com/4227.html,"March, England",England,Goalkeeper,20/6/1964,Watford
soccer/www.footymania.com/4501.html,", Argentina",Argentina,Midfielder,3/3/1982,Bordeaux
soccer/www.footymania.com/397.html,", Russian federation",Russian federation,Forward,27/11/1982,FC Zenit St. Peterburg
soccer/www.footymania.com/2224.html,"Livorno, Italy",Italy,Defender Center,22/7/1977,Genoa
soccer/www.footymania.com/74.html,"Rome, Italy",Italy,Defender Center,19/3/1976,AC Milan
soccer/www.footymania.com/44.html,"Milan, Italy",Italy,Left back,27/7/1975,Everton FC
soccer/www.footymania.com/510.html,"Newham, England",England,Defender Center,21/9/1983,Chesterfield
soccer/www.footymania.com/2432.html,"Salzburg, Austria",Austria,Goalkeeper,4/6/1977,Siena
soccer/www.footymania.com/1852.html,"Glasgow, Scotland",Scotland,Midfield Center,30/9/1969,Rangers
soccer/www.footymania.com/318.html,"Glasgow, Scotland",Scotland,Manager,31/12/1941,Manchester United
soccer/www.footymania.com/2321.html,"Desio, Italy",Italy,Midfield,25/1/1984,Parma
soccer/www.footymania.com/247.html,"Glasgow, Scotland",Scotland,Midfielder,30/9/1969,Rangers
soccer/www.footymania.com/5663.html,", 0",0,,0/0/0000,AC Milan
soccer/www.footymania.com/2707.html,"Geneva, Switzerland",Spain,Forward,11/3/1982,Málaga
