url,STRING : position,DATE : birthdate,STRING : birthplace,SPACE : height,STRING : national_team
soccer/www.skysports.com/125862.html,Midfielder,"Oct 15, 1983","Eisenstadt,Austria",1.83m,Austria
soccer/www.skysports.com/163574.html,Striker,"Mar 29, 1984","Salzburg,Austria","1,90m",Austria
soccer/www.skysports.com/93957.html,Defender,"Jan 16, 1983","Graz,Austria",1.89m,Austria
soccer/www.skysports.com/94275.html,Striker,"Sep 29, 1969","Split-SFR,Croatia","1,83m",Austria
soccer/www.skysports.com/93959.html,Midfielder,"Jun 21, 1976","Voitsberg,Austria","1,88m",Austria
soccer/www.skysports.com/163561.html,Goalkeeper,"Aug 24, 1977","Vienna,Austria","1,93m",Austria
soccer/www.skysports.com/67220.html,Striker,"Aug 09, 1981","Leoben-Steiermark,Austria","1,85m",Austria
soccer/www.skysports.com/163801.html,Striker,,,,Austria
soccer/www.skysports.com/125865.html,Defender,"Dec 11, 1979",Austria,,Austria
soccer/www.skysports.com/135620.html,Defender,,,,Austria
soccer/www.skysports.com/135622.html,Midfielder,,,,Austria
soccer/www.skysports.com/93965.html,Midfielder,"May 30, 1980","Leoben-Steiermark,Austria","1,80m",Austria
soccer/www.skysports.com/125860.html,Defender,"Mar 11, 1973","Stainz,Austria",,Austria
soccer/www.skysports.com/135640.html,Defender,"Apr 07, 1986","Neunkirchen, Austria",1.85m,Austria
soccer/www.skysports.com/144774.html,Defender,"Jun 21, 1987","Graz, Austria",1.94m,Austria
soccer/www.skysports.com/153886.html,Striker,"Jun 10, 1987","Hamburg, Germany",1.85m,Austria
soccer/www.skysports.com/135613.html,Striker,,,,Austria
soccer/www.skysports.com/140751.html,Midfielder,,,,Austria
soccer/www.skysports.com/147056.html,Goalkeeper,"Jun 28, 1984","Hohenems, Austria",1.86m,Austria
soccer/www.skysports.com/148693.html,Midfielder,"Sep 17, 1985","Vienna, Austria",1.74m,Austria
soccer/www.skysports.com/101001.html,Goalkeeper,"Nov 15, 1976","Zagreb,Croatia",1.95m,Croatia
soccer/www.skysports.com/143999.html,Midfielder,"Sep 09, 1985","Zadar, Croatia","1,73m",Croatia
soccer/www.skysports.com/92660.html,Goalkeeper,"Feb 10, 1976","Split,Croatia",1.85m,Croatia
soccer/www.skysports.com/99477.html,Midfielder,"Apr 09, 1980","Zagreb,Croatia",1.85m,Croatia
soccer/www.skysports.com/126045.html,Midfielder,"Dec 02, 1981","Na�ice-SFR,Croatia","1,72m",Croatia
soccer/www.skysports.com/147758.html,Midfielder,"Dec 20, 1983",Croatia,1.84m,Croatia
soccer/www.skysports.com/149122.html,Defender,"Apr 20, 1982","Rijeka, Croatia",1.84m,Croatia
soccer/www.skysports.com/92084.html,Defender,"Apr 06, 1974","Berlin, Germany",1.82m,Croatia
soccer/www.skysports.com/92272.html,Defender,"Feb 18, 1978","Canberra, Australia",1.95m,Croatia
