url,NUMBER : shirt_number,STRING : position,STRING : club,STRING : birthplace
soccer/www.teamtalk.com/1768_165283.html,20,Defender,Birmingham City,"Paris, France"
soccer/www.teamtalk.com/1809_96183.html,7,Defender,Wigan Athletic,"Scheibbs, Austria"
soccer/www.teamtalk.com/1808_9543.html,10,Striker,West Ham United,"Cardiff,Wales"
soccer/www.teamtalk.com/1807_8874.html,1,Goalkeeper,Watford,"Tallinn, Estonia"
soccer/www.teamtalk.com/1794_23088.html,8,Midfielder,Ipswich Town,"San Sebastian,Spain"
soccer/www.teamtalk.com/2483_92954.html,21,Midfielder,Barcelona,"Minsk,Belarus"
soccer/www.teamtalk.com/2483_97096.html,5,Defender,Barcelona,"La Pobla de Segur,Spain"
soccer/www.teamtalk.com/2483_6602.html,1,Goalkeeper,Portsmouth,"Welwyn Garden City,Englnd"
soccer/www.teamtalk.com/1842_152601.html,25,Defender,Chester City,"Liverpool, England"
soccer/www.teamtalk.com/1808_6976.html,8,Midfielder,West Ham United,"Lambeth-London,England"
soccer/www.teamtalk.com/1780_8845.html,22,Midfielder,Newcastle United,"Manchester,England"
soccer/www.teamtalk.com/1870_128455.html,6,Defender,Kilmarnock,"Newham, England"
soccer/www.teamtalk.com/1819_124281.html,18,Defender,Colchester United,"Brent,England"
soccer/www.teamtalk.com/2483_114424.html,20,Midfielder,Falkirk,Glasgow
soccer/www.teamtalk.com/2483_94602.html,7,Midfielder,Blackburn Rovers,"Bankstown,Australia"
soccer/www.teamtalk.com/1825_114130.html,7,Midfielder,Milton Keynes Dons,
soccer/www.teamtalk.com/1789_7285.html,19,Midfielder,Cardiff City,"Leamington Spa,England"
soccer/www.teamtalk.com/1800_103385.html,19,Midfielder,Preston North End,"Shrewsbury,England"
soccer/www.teamtalk.com/1821_25811.html,2,Defender,Hartlepool United,"Glasgow, Scotland"
soccer/www.teamtalk.com/1823_8238.html,4,Midfielder,Hull City,"Birmingham,England"
soccer/www.teamtalk.com/1816_7547.html,2,Midfielder,Brentford,"Blackburn, England"
soccer/www.teamtalk.com/1765_82321.html,26,Defender,Sunderland,"Peckham, London, England"
soccer/www.teamtalk.com/1870_73709.html,17,Midfielder,Kilmarnock,
soccer/www.teamtalk.com/1910_62350.html,5,Defender,Motherwell,Newtonards
soccer/www.teamtalk.com/1855_7564.html,4,Defender,Scunthorpe United,"Rotherham, England"
soccer/www.teamtalk.com/1815_8340.html,2,Defender,Bradford City,"Hartlepool, England"
soccer/www.teamtalk.com/2483_94893.html,9,Striker,Bolton Wanderers,"Alingsas,Sweden"
soccer/www.teamtalk.com/1870_154491.html,32,Goalkeeper,Kilmarnock,Scotland
soccer/www.teamtalk.com/1813_9026.html,17,Midfielder,Blackpool,"Greenwich, England"
soccer/www.teamtalk.com/2483_152213.html,20,Striker,Real Mallorca,"Santiago del Estero,Argentina"
soccer/www.teamtalk.com/1825_7064.html,35,Striker,Milton Keynes Dons,"Strin, Norway"
soccer/www.teamtalk.com/1870_4594.html,5,Defender,Kilmarnock,Scotland
soccer/www.teamtalk.com/1773_99310.html,20,Defender,Chelsea,"Cascais,Portugal"
soccer/www.teamtalk.com/5649_151348.html,21,Striker,Falkirk,Jarrow
soccer/www.teamtalk.com/1779_7205.html,4,Midfielder,Middlesbrough,"Bromley-London,England"
soccer/www.teamtalk.com/1780_140409.html,18,Attacking Midfielder,Newcastle United,"Roque Sáenz Peña, Argentina"
soccer/www.teamtalk.com/2483_106973.html,29,Goalkeeper,Manchester United,"Krosno Odrzañskie,Poland"
