url,STRING : position,SPACE : height,DATE : birthdate,STRING : birthplace
soccer/www.wallpaper-football.com/Ernesto_Farias.html,Striker,1.84 m (6 ft 0 in),"May 29, 1980 (1980-05-29) (age 27)","Trenque Lauquen, Argentina"
soccer/www.wallpaper-football.com/Craig_Bellamy.html,Striker,5 ft 6 in (1.68 m),"July 13, 1979 (1979-07-13) (age 28)","Cardiff, Wales"
soccer/www.wallpaper-football.com/Enrico_Chiesa.html,Striker,1.76 m (5 ft 9 in),"December 29, 1970 (1970-12-29) (age 36)","Genoa, Italy"
soccer/www.wallpaper-football.com/Cesc_Fabregas.html,Centre Midfielder,1.80 m (5 ft 11 in),"May 4, 1987 (1987-05-04) (age 20)","Arenys de Mar, Spain"
soccer/www.wallpaper-football.com/Giovanni_van_Bronckhorst.html,"SB (L),WB (L)",1.76m,"February 5, 1975 (1975-02-05) (age 32)","Rotterdam, Netherlands"
soccer/www.wallpaper-football.com/Helder_Postiga.html,Striker,1.82 m (6 ft 0 in),"August 2, 1982 (1982-08-02) (age 24)","Vila do Conde, Portugal"
soccer/www.wallpaper-football.com/Gary-Neville.html,Right back,1.80 m (5 ft 11 in),"February 18, 1975 (1975-02-18) (age 32)","Bury, England"
soccer/www.wallpaper-football.com/Aaron-Lennon.html,Winger,1.65 m (5 ft 5 in),"April 16, 1987 (1987-04-16) (age 20)","Leeds, England"
soccer/www.wallpaper-football.com/Daniel_Agger.html,Centre back,6 ft 2 in (1.89 m),"December 12, 1984 (1984-12-12) (age 22)","Hvidovre, Denmark"
soccer/www.wallpaper-football.com/Alessandro_Del_Piero.html,Supporting striker,1.73 m (5 ft 8 in),"November 9, 1974 (1974-11-09) (age 32)","Conegliano, Italy"
soccer/www.wallpaper-football.com/Ivan_Cordoba.html,Central-back,1.73 m (5 ft 8 in),"August 11, 1976 (1976-08-11) (age 30)","Medellin, Colombia"
soccer/www.wallpaper-football.com/Torsten_Frings.html,Midfielder,1.83 m (6 ft 0 in),"November 22, 1976 (1976-11-22) (age 30)","Wurselen, Germany"
soccer/www.wallpaper-football.com/Jermain_Defoe.html,Striker,5 ft 7 in (1.70 m),"October 7, 1982 (1982-10-07) (age 24)","Beckton, London, England"
soccer/www.wallpaper-football.com/Hasan_Salihamidzic.html,Midfielder,1.77 m (5 ft 10 in),"January 1, 1977 (1977-01-01) (age 30)","Jablanica, SFR Yugoslavia"
soccer/www.wallpaper-football.com/Christian_Obodo.html,Midfielder,1.80 m (5 ft 11 in),"May 11, 1984 (1984-05-11) (age 23)","Warri, Nigeria"
soccer/www.wallpaper-football.com/Philippe_Senderos.html,Centre-back,1.90 m (6 ft 2.8 in),"February 14, 1985 (1985-02-14) (age 22)","Geneva, Switzerland"
soccer/www.wallpaper-football.com/Fernando-Gago.html,Defensive midfielder,1.78 m (5 ft 10 in),"April 10, 1986 (1986-04-10) (age 21)","Ciudadela, Argentina"
soccer/www.wallpaper-football.com/Sergio_Ramos.html,Right-back Centreback Left-back,1.83 m (6 ft 0 in),"March 30, 1986 (1986-03-30) (age 21)","Camas, Seville, Spain"
soccer/www.wallpaper-football.com/Hernan_Lopez.html,Striker,1.81 m (5 ft 11 in),"January 21, 1978 (1978-01-21) (age 29)","Montevideo, Argentina"
soccer/www.wallpaper-football.com/Daniel_Alves.html,"Right back, Right Winger",1.71 m (5 ft 7 in),"May 6, 1983 (1983-05-06) (age 24)","Juazeiro, Brazil"
soccer/www.wallpaper-football.com/Esteban_Cambiasso.html,Midfielder,1.79 m (5 ft 10 in),"August 18, 1980 (1980-08-18) (age 26)","Buenos Aires, Argentina"
soccer/www.wallpaper-football.com/Steven_Gerrard.html,Midfield,1.84 m (6 ft +1?2 in),"May 30, 1980 (1980-05-30) (age 27)","Whiston, England"
soccer/www.wallpaper-football.com/Cristiano_Ronaldo.html,Right/Left Winger Forward,1.85 m (6 ft 1 in)[1],"February 5, 1985 (1985-02-05) (age 22)","Funchal, Madeira, Portugal"
soccer/www.wallpaper-football.com/Henrik_Larsson.html,Striker,1.78 m (5 ft 10 in),"September 20, 1971 (1971-09-20) (age 35)","Helsingborg, Sweden"
soccer/www.wallpaper-football.com/Edison_Mendez.html,Winger (Left or Right) Attacking Midfielder,1.85 m (5 ft 2 in),"March 16, 1979 (1979-03-16) (age 28)","Chota, Ecuador"
soccer/www.wallpaper-football.com/Xabi_Alonso.html,Midfielder,"6'0"" (183 cm)","November 25, 1981 (1981-11-25) (age 25)","Tolosa, Basque Country, Spain"
soccer/www.wallpaper-football.com/Dirk_Kuyt.html,Centre Forward,1.84 m (6 ft 0 in),"July 22, 1980 (1980-07-22) (age 26)","Katwijk aan Zee, Netherlands"
soccer/www.wallpaper-football.com/Artur_Boruc.html,Goalkeeper,6 ft 4 in (193 cm),"February 20, 1980 (1980-02-20) (age 27)","Siedlce, Poland"
soccer/www.wallpaper-football.com/Jonatas.html,Defensive midfielder,1.81 m,"July 29, 1982","Fortaleza, Brazil"
soccer/www.wallpaper-football.com/Paolo_Maldini.html,"Centre back, Left back",1.86 m (6 ft 1.2 in),"June 26, 1968 (1968-06-26) (age 39)","Milan, Italy"
soccer/www.wallpaper-football.com/Cristiano_Lucarelli.html,Striker,1.88 m (6 ft 2 in),"October 4, 1975 (1975-10-04) (age 31)","Livorno, Italy"
soccer/www.wallpaper-football.com/Zinedine_Zidane.html,Attacking midfielder,1.85 m (6 ft 1 in),23 June 1972 (1972-06-23) (age 35),"Marseille, France"
soccer/www.wallpaper-football.com/Ronaldo.html,Striker,1.83 m (6 ft 0 in),"September 22, 1976 (1976-09-22) (age 30)","Bento Ribeiro, Rio de Janeiro, Brazil"
soccer/www.wallpaper-football.com/John_Arne_Riise.html,"Left full back, Left midfielder",1.85 m (6 ft 1 in),"September 24, 1980 (1980-09-24) (age 26)","Alesund, Norway"
soccer/www.wallpaper-football.com/Tim_Cahill.html,Midfielder,1.78 m (5 ft 10 in),"December 6, 1979 (1979-12-06) (age 27)","Sydney, Australia"
soccer/www.wallpaper-football.com/Alex_Silva.html,central-defender,192cm,"March 10, 1985","Amparo, Brazil"
soccer/www.wallpaper-football.com/Adriano_Correia_Claro.html,Left Fullback or Left Winger,1.73 m,"October 26, 1984 (1984-10-26) (age 22)","Curitiba, Brazil"
soccer/www.wallpaper-football.com/Robinho.html,"Left Winger, Second Striker",1.75 m (5 ft 8.9 in),"January 25, 1984 (1984-01-25) (age 23)","Sao Vicente, Sao Paulo state, Brazil"
soccer/www.wallpaper-football.com/Petr_Cech.html,Goalkeeper,6 ft 5 in (1.96 m),"May 20, 1982 (1982-05-20) (age 25)","Plzen, Czech Republic"
soccer/www.wallpaper-football.com/David_Di_Michele.html,Striker,1.71 m (5 ft 7 in),"January 6, 1976 (1976-01-06) (age 31)","Guidonia, Italy"
soccer/www.wallpaper-football.com/Daniele_Portanova.html,Defender,185cm,17 December 1978,"Rome, Italy"
soccer/www.wallpaper-football.com/Vincenzo_Montella.html,Striker,1.72 m (5 ft 8 in),"June 18, 1974 (1974-06-18) (age 33)","Pomigliano d'Arco, Italy"
soccer/www.wallpaper-football.com/Adriano_Louzada.html,Striker,1.81 m,"January 3, 1979 (1979-01-03) (age 28)","Rio Branco, Brazil"
soccer/www.wallpaper-football.com/Ronaldinho.html,"Attacking midfielder, Second Striker",1.81 m (5 ft 11 in),"March 21, 1980 (1980-03-21) (age 27)","Porto Alegre, Brazil"
soccer/www.wallpaper-football.com/Ibson.html,Midfielder,1.77 m (5 ft 10 in),"November 07, 1983 (1983-11-07) (age 23)","Rio de Janeiro, Brazil"
soccer/www.wallpaper-football.com/Francesco-Totti.html,"Attacking midfielder, Forward",1.80 m (5 ft 11 in),27 September 1976 (1976-09-27) (age 30),"Rome, Italy"
soccer/www.wallpaper-football.com/Michael_Owen.html,Striker,1.72 m (5 ft 7.7 in),"December 14, 1979 (1979-12-14) (age 27)","Chester, England"
soccer/www.wallpaper-football.com/Gabriel-Caballero.html,Midfielder / Striker,174 cm,"February 5, 1971 (1971-02-05) (age 36)","Santa Fe, Argentina"
soccer/www.wallpaper-football.com/Ryan_Giggs.html,Left winger,1.80 m (5 ft 10.9 in),"November 29, 1973 (1973-11-29) (age 33)","Cardiff, Wales"
soccer/www.wallpaper-football.com/Cacau.html,Striker,1.79 m (5 ft 10 in),"March 27, 1981 (1981-03-27) (age 26)","Santa Andre, Brazil"
soccer/www.wallpaper-football.com/Zlatan_Ibrahimovic.html,Striker,1.92 m (6 ft 3+1?2 in),"October 3, 1981 (1981-10-03) (age 25)","Malmo, Sweden"
soccer/www.wallpaper-football.com/Diego_Lugano.html,Defender,1.88 m (6 ft 2 in),"November 2, 1980 (1980-11-02) (age 26)","Canelones, Uruguay"
soccer/www.wallpaper-football.com/Robin_van_Persie.html,Striker,1.88 m (6 ft 2 in),"August 6, 1983 (1983-08-06) (age 23)","Rotterdam, Netherlands"
soccer/www.wallpaper-football.com/David_Trezeguet.html,Centre forward,1.88 m (6 ft 2 in),"October 15, 1977 (1977-10-15) (age 29)","Rouen, France"
soccer/www.wallpaper-football.com/Steven_Pressley.html,Central Defender,6 ft 0 in (1.83 m),"October 11, 1973 (1973-10-11) (age 33)","Elgin, Scotland"
soccer/www.wallpaper-football.com/Alexis_Viera.html,Goalkeeper,1.75 m 75 kg,18/10/1978,"Montevideo, Uruguay"
soccer/www.wallpaper-football.com/Hernan_Crespo.html,Striker,1.84 m (6 ft 0 in),"July 5, 1975 (1975-07-05) (age 32)","Florida, Buenos Aires, Argentina"
soccer/www.wallpaper-football.com/Alberto_Gilardino.html,Striker,1.85 m (6 ft 1 in),"July 5, 1982 (1982-07-05) (age 25)","Biella, Piemonte, Italy"
soccer/www.wallpaper-football.com/Tiago_Mendes.html,Midfielder,1.83 m (6 ft 0 in),"May 2, 1981 (1981-05-02) (age 26)","Viana do Castelo, Portugal"
soccer/www.wallpaper-football.com/Ashley_Young.html,Winger/Striker,5 ft 9 in (1.75 m),"July 9, 1985 (1985-07-09) (age 22)","Stevenage, England"
soccer/www.wallpaper-football.com/Shaun_Wright_Phillips.html,Right-winger,1.66 m (5 ft 5 in),"October 25, 1981 (1981-10-25) (age 25)","Greenwich, London, England"
soccer/www.wallpaper-football.com/Gabriel-Heinze.html,"Defender, Left back, Centre back",178 cm,"April 19, 1978 (1978-04-19) (age 29)","Crespo, Argentina"
soccer/www.wallpaper-football.com/Miroslav_Klose.html,Striker,1.82 m (5 ft 11.7 in),"June 9, 1978 (1978-06-09) (age 29)","Opole, Poland"
soccer/www.wallpaper-football.com/Clarence_Seedorf.html,Midfield,1.76 m (5 ft 9 in),"April 1, 1976 (1976-04-01) (age 31)","Paramaribo, Suriname"
soccer/www.wallpaper-football.com/Marco_Materazzi.html,Defender,1.93 m (6 ft 4 in),"August 19, 1973 (1973-08-19) (age 33)","Lecce, Italy"
soccer/www.wallpaper-football.com/Mikel_John_Obi.html,Midfielder,1.92 m (6 ft 3.6 in),"April 22, 1987 (1987-04-22) (age 20)","Plateau State, Nigeria"
soccer/www.wallpaper-football.com/Andrea_Pirlo.html,Midfielder,1.77 m (5 ft 10 in),"May 19, 1979 (1979-05-19) (age 28)","Flero, Lombardy, Italy"
