url,STRING : nationality,STRING : position,STRING : birthplace,STRING : national_team
soccer/www.worldfootballers.com/alvaro-recoba-100.html,Uruguayan,Forward,"Montevideo, Uruguay",Uruguay
soccer/www.worldfootballers.com/antoine-sibierski-508.html,French,Midfield,"Lille, France",France
soccer/www.worldfootballers.com/benito-carbone-826.html,Italian,Midfield,"Bagnara Calabra, Italy",Italy
soccer/www.worldfootballers.com/bernardo-corradi-933.html,Italian,Forward,"Siena, Italy",Italy
soccer/www.worldfootballers.com/bruno-berner-898.html,Swiss,Midfield,"Zurich, Switzerland",Switzerland
soccer/www.worldfootballers.com/celestine-babayaro-28.html,Nigerian,Defender,"Kaduna, Nigeria",Nigeria
soccer/www.worldfootballers.com/christian-panucci-324.html,Italian,Defender,"Savona, Italy",Italy
soccer/www.worldfootballers.com/cristiano-zanetti-113.html,Italian,Midfield,"Carrara, Italy",Italy
soccer/www.worldfootballers.com/daniel-van-buyten-240.html,Belgian,Defender,"Chimay, Belgium",Belgium
soccer/www.worldfootballers.com/darren-anderton-399.html,English,Midfield,"Southampton, England",England
soccer/www.worldfootballers.com/demetrio-albertini-613.html,Italian,Midfield,"Besana, Italy",Italy
soccer/www.worldfootballers.com/dennis-rommedahl-879.html,Dane,Forward,"Copenhagen, Denmark",Denmark
soccer/www.worldfootballers.com/diego-placente-640.html,Argentinan,Defender,"Capital Federal, Argentina",Argentina
soccer/www.worldfootballers.com/diego-tristan-228.html,Spanish,Forward,"Sevilla, Spain",Spain
soccer/www.worldfootballers.com/dietmar-hamann-48.html,German,Midfield,"Waldasson, Bavaria",Germany
soccer/www.worldfootballers.com/ebbe-sand-880.html,Dane,Forward,Denmark,Denmark
soccer/www.worldfootballers.com/erik-edman-892.html,Swedish,Defender,Sweden,Sweden
soccer/www.worldfootballers.com/fernando-redondo-289.html,Argentinan,Midfield,"Buenos Aires, Argentina",Argentina
soccer/www.worldfootballers.com/franck-queudrue-431.html,French,Defender,"Paris, France",France
soccer/www.worldfootballers.com/giovane-elber-533.html,Brazilian,Forward,"Londrina, Brazil",Brazil
soccer/www.worldfootballers.com/hermann-hreidarsson-482.html,Icelander,Defender,"Reykjavik, Iceland",Iceland
soccer/www.worldfootballers.com/ian-harte-124.html,Irish,Defender,"Drogheda, Ireland",Ireland
soccer/www.worldfootballers.com/ivan-helguera-66.html,Spanish,Defender,"Santander, Spain",Spain
soccer/www.worldfootballers.com/ivica-olic-856.html,Croatian,Forward,Davor,Croatia
soccer/www.worldfootballers.com/jamie-redknapp-403.html,English,Midfield,"Barton-on-Sea, England",England
soccer/www.worldfootballers.com/jari-litmanen-269.html,Finish,Midfield,"Lahti, Finland",Finland
soccer/www.worldfootballers.com/jesper-gronkjaer-38.html,Dane,Midfield,"Nuuk, Denmark",Denmark
soccer/www.worldfootballers.com/jimmy-floyd-hasselbaink-41.html,Dutch,Forward,"Paramaribo,Surinam",Netherlands
soccer/www.worldfootballers.com/john-hartson-635.html,Welsh,Forward,"Swansea, Wales",Wales
soccer/www.worldfootballers.com/jonathan-zebina-334.html,French,Defender,"Paris, France",France
soccer/www.worldfootballers.com/josico-790.html,Spanish,Midfield,Albacete,Spain
soccer/www.worldfootballers.com/josip-simunic-863.html,Croatian,Defender,Australia,Croatia
soccer/www.worldfootballers.com/juan-sebastian-veron-8.html,Argentinan,Midfield,Argentina,Argentina
soccer/www.worldfootballers.com/juninho-pernambucano-537.html,Brazilian,Midfield,Brazil,Brazil
soccer/www.worldfootballers.com/kevin-hofland-945.html,Dutch,Defender,"Brunssum, Netherlands",Netherlands
soccer/www.worldfootballers.com/kim-kallstrom-895.html,Swedish,Midfield,Sweden,Sweden
soccer/www.worldfootballers.com/lee-carsley-649.html,Irish,Midfield,"Birmingham, England",Ireland
soccer/www.worldfootballers.com/lorik-cana-808.html,Albanian,Midfield,Albania,Albania
soccer/www.worldfootballers.com/malkhaz-asatiani-555.html,Georgian,Midfield,"Kutaisi, Georgia",Georgia
soccer/www.worldfootballers.com/marat-izmailov-551.html,Russian,Midfield,Russia,Russia
soccer/www.worldfootballers.com/matthew-upson-714.html,English,Defender,"Hartismere, England",England
soccer/www.worldfootballers.com/mauro-silva-229.html,Brazilian,Midfield,"Sao Bernardo do Campo, Brazil",Brazil
soccer/www.worldfootballers.com/michael-reiziger-202.html,Dutch,Defender,"Amsteveel, Netherlands",Netherlands
soccer/www.worldfootballers.com/olivier-kapo-598.html,French,Forward,"Abidjan, Ivory Coast",France
soccer/www.worldfootballers.com/olof-mellberg-694.html,Swedish,Defender,"Gullspang, Sweden",Sweden
soccer/www.worldfootballers.com/paolo-wanchope-496.html,Costa Rican,Forward,Costa Rica,Costa Rica
soccer/www.worldfootballers.com/quinton-fortune-172.html,South African,Midfield,"Cape Town, South Africa",South Africa
soccer/www.worldfootballers.com/robert-kovac-311.html,Croatian,Defender,"Berlin, Germany",Croatia
soccer/www.worldfootballers.com/samuel-kuffour-309.html,Ghanaian,Defender,"Accra, Ghana",Ghana
soccer/www.worldfootballers.com/savo-milosevic-577.html,Serbian,Forward,"Bielijna, Serbia and Montenegro",Serbia and Montenegro
soccer/www.worldfootballers.com/stephen-warnock-962.html,English,Midfield,Ormskirk,England
