url,STRING : publisher,STRING : genre,STRING : developer,STRING : esrb
videogame/games.teamxbox.com/187_007-Agent-Under-Fire.html,Electronic Arts,Action/Adventure,EA Games,Teen (T)
videogame/games.teamxbox.com/713_007-Everything-or-Nothing.html,Electronic Arts,Action/Adventure,EA Games,Teen (T)
videogame/games.teamxbox.com/443_007-NightFire.html,Electronic Arts,Action/Shooter,EA Games,Teen (T)
videogame/games.teamxbox.com/2069_1-vs-100.html,TBA,Xbox Live Arcade,TBA,Rating Pending (RP)
videogame/games.teamxbox.com/813_100-Bullets.html,TBA,Shooter,Acclaim Studios Austin,Rating Pending (RP)
videogame/games.teamxbox.com/1121_187-Ride-or-Die.html,Ubisoft Entertainment,Combat Racing,Ubisoft Entertainment,Mature (M)
videogame/games.teamxbox.com/1964_1942-Joint-Strike.html,Capcom,Xbox Live Arcade,Backbone Entertainment,Everyone 10+ (E10+)
videogame/games.teamxbox.com/1592_2-Days-to-Vegas.html,TBA,Action,Steel Monkeys,Rating Pending (RP)
videogame/games.teamxbox.com/1417_2006-FIFA-World-Cup.html,Electronic Arts,Sports,EA Canada,Everyone (E)
videogame/games.teamxbox.com/1426_2006-FIFA-World-Cup.html,Electronic Arts,Sports,EA Canada,Everyone (E)
videogame/games.teamxbox.com/903_25-To-Life.html,Eidos Interactive,Action/Shooter,Avalanche Studios (SE),Mature (M)
videogame/games.teamxbox.com/2163_3-on-3-NHL-Arcade.html,Electronic Arts,Xbox Live Arcade,EA Sports,Rating Pending (RP)
videogame/games.teamxbox.com/1650_3D-Ultra-Minigolf-Adventures.html,"Sierra Entertainment, Inc.",Xbox Live Arcade,Wanako Studios,Everyone (E)
videogame/games.teamxbox.com/10_4x4-Evo-2.html,Gathering,Racing/Driving,Terminal Reality,Everyone (E)
videogame/games.teamxbox.com/1975_50-Cent-Blood-on-the-Sand.html,THQ,Action/Shooter,Swordfish Studios,Mature (M)
videogame/games.teamxbox.com/1106_50-Cent-Bulletproof.html,Vivendi Games,Action,Genuine Games,Mature (M)
videogame/games.teamxbox.com/1101_6GUN.html,TBA,Action,"BattleBorne Entertainment, Inc",Rating Pending (RP)
videogame/games.teamxbox.com/309_9-Worlds.html,TBA,Action/Adventure,Massive Entertianment,Rating Pending (RP)
videogame/games.teamxbox.com/2044_A-Kingdom-for-Keflings.html,Microsoft,Xbox Live Arcade,NinjaBee,Everyone (E)
videogame/games.teamxbox.com/1410_ACONY-Untitled-Online-FPS.html,TBA,First Person Shooter,ACONY,Rating Pending (RP)
videogame/games.teamxbox.com/2130_ACDC-LIVE-Rock-Band-Track-Pack.html,Electronic Arts,Music/Dance,"Harmonix Music Systems, Inc.",Teen (T)
videogame/games.teamxbox.com/799_AMF-Bowling-2004.html,Mud Duck Productions,Sports,Black Market Games,Everyone (E)
videogame/games.teamxbox.com/1511_AMF-Xtreme-Bowling-2006.html,Mud Duck Productions,Sports,TBA,Everyone (E)
videogame/games.teamxbox.com/1192_AND-1-Streetball.html,Ubisoft Entertainment,Sports,Black Ops Entertainment,Everyone 10+ (E10+)
videogame/games.teamxbox.com/420_APEX.html,"Atari, Inc.",Racing/Driving,Milestone,Everyone (E)
videogame/games.teamxbox.com/904_ATV-Quad-Power-Racing-3.html,Acclaim,Racing/Driving,Acclaim Entertainment,Rating Pending (RP)
videogame/games.teamxbox.com/515_ATV-Quad-Power-Racing-2.html,Acclaim,Racing/Driving,Acclaim Entertainment,Everyone (E)
videogame/games.teamxbox.com/395_Abducted.html,TBA,Survival/Horror,"Contraband Entertainment, Inc.",Rating Pending (RP)
videogame/games.teamxbox.com/1688_Ace-Combat-6-Fires-of-Liberation.html,Namco Bandai,Flying,Namco,Rating Pending (RP)
videogame/games.teamxbox.com/1867_Aces-of-the-Galaxy.html,Sierra Online,Xbox Live Arcade,Artech Studios,Rating Pending (RP)
videogame/games.teamxbox.com/643_Advent-Rising.html,Majesco Entertainment,Action,"GlyphX, Inc.",Teen (T)
videogame/games.teamxbox.com/1747_Aegis-Wing.html,Microsoft,Xbox Live Arcade,Carbonated Games,Everyone (E)
