url,STRING : publisher,STRING : developer,STRING : esrb
videogame/videogames.yahoo.com/gc_lego-star-wars-the-video-game.html,Eidos Interactive,Traveller's Tales,E (Everyone)
videogame/videogames.yahoo.com/gc_timesplitters-2.html,Eidos Interactive,Free Radical Design,T (Teen)
videogame/videogames.yahoo.com/psp_guitar-hits-canceled.html,,TBA,
videogame/videogames.yahoo.com/gc_godzilla-destroy-all-monsters-melee.html,Atari,"Pipeworks Software, Inc.",T (Teen)
videogame/videogames.yahoo.com/gc_crouching-tiger-hidden-dragon-canceled.html,Ubisoft Entertainment,Ubisoft,
videogame/videogames.yahoo.com/psp_nba-live-08.html,,EA Canada,E (Everyone)
videogame/videogames.yahoo.com/gc_kao-the-kangaroo-round-2.html,Atari,Tate Interactive,E (Everyone)
videogame/videogames.yahoo.com/psp_gunpey.html,"Namco Bandai Games America, Inc.","Namco Bandai Games America, Inc.",
videogame/videogames.yahoo.com/gc_hot-wheels-velocity-x.html,THQ,Beyond Games,E (Everyone)
videogame/videogames.yahoo.com/psp_arthur-and-the-invisibles.html,Atari,Etranges Libellules,
videogame/videogames.yahoo.com/psp_world-tour-soccer-06.html,Sony,Sony Computer Entertainment Europe,E (Everyone)
videogame/videogames.yahoo.com/gc_namco-museum-50th-anniversary.html,EA,EA Los Angeles,E (Everyone)
videogame/videogames.yahoo.com/psp_7-wonders.html,,Hot Lava,E (Everyone)
videogame/videogames.yahoo.com/psp_mlb-08-the-show.html,Sony,SCE Studios San Diego,E (Everyone)
videogame/videogames.yahoo.com/psp_medievil-resurrection.html,Sony,SCEE Cambridge Studios,T (Teen)
videogame/videogames.yahoo.com/gc_fifa-soccer-2002-major-league-soccer.html,EA,EA Canada,E (Everyone)
videogame/videogames.yahoo.com/gc_strike-force-bowling.html,Crave,Lab Rats Games,E (Everyone)
videogame/videogames.yahoo.com/gc_nascar-thunder-2003.html,EA,EA Tiburon,E (Everyone)
videogame/videogames.yahoo.com/psp_pursuit-force-extreme-justice.html,,BigBig Studios,T (Teen)
videogame/videogames.yahoo.com/gc_naruto-clash-of-ninja.html,D3Publisher of America,"Eighting Co., Ltd. (8ing)",T (Teen)
