url,STRING : developer,STRING : publisher,STRING : genre
videogame/www.askmen.com/handheld_Gun-Showdown-Psp.html,Rebellion,Activision,Shooter
videogame/www.askmen.com/handheld_World-Tour-Soccer-06.html,SCE Studios London,Sony Computer Entertainment,Sports
videogame/www.askmen.com/handheld_Killzone-Liberation.html,Guerilla Games,Sony Computer Entertainment,
videogame/www.askmen.com/handheld_Field-Commander.html,Sony Online Entertainment,Sony Online Entertainment,Strategy
videogame/www.askmen.com/handheld_Star-Trek-Tactical-Assault.html,Quicksilver,Bethesda Softworks,Strategy
videogame/www.askmen.com/handheld_Hot-Brain-Fire-Up-Your-Mind-Psp.html,Midway Studios - San Diego,Midway Games,Educational
videogame/www.askmen.com/handheld_Tokobot.html,Tecmo,Tecmo,Action
videogame/www.askmen.com/handheld_Brooktown-High-Senior-Year.html,Backbone Entertainment,Konami,Simulation
videogame/www.askmen.com/handheld_Capcom-Puzzle-World.html,Sensory Sweep,Capcom,Puzzle
videogame/www.askmen.com/handheld_Burnout-Dominator-Psp.html,EA UK,Electronic Arts,Racing
videogame/www.askmen.com/handheld_Rengoku-2.html,Never-Land Company,Konami,Action
videogame/www.askmen.com/handheld_Ape-Escape-Academy-2.html,SCEJ,Sony Computer Entertainment,Party
videogame/www.askmen.com/pc_NHL-07-Pc.html,EA Canada,Electronic Arts,Sports
videogame/www.askmen.com/handheld_Worms-Open-Warfare-2-Psp.html,Team17 Software,THQ,Strategy
videogame/www.askmen.com/handheld_300-March-to-Glory.html,Collision Studios,Warner Bros. Interactive,Action
videogame/www.askmen.com/handheld_Sonic-Rivals.html,,,
videogame/www.askmen.com/handheld_Gitaroo-Man-Lives!.html,KOEI,KOEI,Music
videogame/www.askmen.com/xbox360_Justice-League-Heroes.html,Snowblind Studios,Warner Bros. Interactive,Action
videogame/www.askmen.com/ps2_NFL-Street-3-Ps2.html,Tiburon,Electronic Arts,Sports
videogame/www.askmen.com/handheld_Sonic-Rivals-2-Psp.html,Backbone Entertainment,SEGA,Racing
videogame/www.askmen.com/handheld_Astonishia-Story.html,Sonnori,Ubisoft,RPG
