url,STRING : publisher,STRING : genre,STRING : developer,STRING : esrb
videogame/www.games.net/psp_127881_castlevania-the-dracula-x-chronicles.html,: Konami Digital Entertainment,: Action,: Konami Digital Entertainment,: Teen
videogame/www.games.net/psp_128861_after-burner-black-falcon.html,: Sega,: Fly,: Planet Moon Studios,: R/P
videogame/www.games.net/psp_117201_ace-combat-x-skies-of-deception.html,: Namco,: Fly,: Namco,: R/P
videogame/www.games.net/wii_130142_brunswick-pro-bowling.html,: Crave,: Sports,: Brunswick,: R/P
videogame/www.games.net/gamecube_114878_pac-man-world-rally.html,: Namco,: Driving,: TBA,: R/P
videogame/www.games.net/ps2_109984_stacked-with-daniel-negreanu.html,: Myelin Media Inc.,: Puzzle,: 5000Ft. Inc.,: R/P
videogame/www.games.net/psp_138621_puzzle-guzzle.html,: Agetec,: Puzzle,: Irem,: R/P
videogame/www.games.net/ds_125582_meteos-disney-magic.html,: Buena Vista,: Puzzle,: Q Entertainment,: Everyone
videogame/www.games.net/ds_131141_final-fantasy-xii-revenant-wings.html,: Square Enix,: RPG,": Think & Feel, Inc.",: R/P
videogame/www.games.net/ds_134941_dementium-the-ward.html,: Gamecock,: Action,: Renegade Kid,: Mature
videogame/www.games.net/ds_110661_real-time-conflict-shogun-empires.html,: Namco Hometek,: Strategy,: Box Clever,: R/P
videogame/www.games.net/ds_120321_death-jr-and-the-science-fair-of-doom.html,: Konami,: Adventure,: Backbone Entertainment,: Everyone
videogame/www.games.net/ds_131161_hoshigami-ruining-blue-earth-remix.html,: Aksys Games,: RPG,: TBA,: Teen
videogame/www.games.net/ds_124782_etrian-odyssey.html,: Atlus,: RPG,: TBA,: R/P
videogame/www.games.net/ps2_111481_top-spin.html,: 2K Sports,: Sports,: N/A,: Everyone
videogame/www.games.net/ps2_105219_capcom-vs-snk-2-mark-of-the-millennium-2001.html,: Capcom,: Fighting,: Capcom,: Teen
videogame/www.games.net/ps2_110381_snocross-2-featuring-blair-morgan.html,: Crave Entertainment,: Driving,: Sensory Sweep,: R/P
videogame/www.games.net/psp_118781_star-trek-tactical-assault.html,: Bethesda Softworks,: Strategy,": Quicksilver Software, Inc.",: R/P
videogame/www.games.net/psp_109488_the-sims-2.html,: EA,: Simulation,: Maxis,: Teen
videogame/www.games.net/ps2_106487_xiii.html,: Ubi Soft,: Action,: Ubi Soft,: Mature
videogame/www.games.net/ds_138241_orcs-elves.html,: EA,: RPG,: id Software,: Teen
videogame/www.games.net/ps2_127162_xiaolin-showdown.html,: Konami,: Action,: BottleRocket,: Everyone
videogame/www.games.net/gamecube_111883_tiger-woods-pga-tour-06.html,: EA Sports,: Sports,: EA Sports,: Everyone
videogame/www.games.net/ds_114761_the-legend-of-zelda-phantom-hourglass.html,: NINTENDO,: Adventure,: Nintendo,: Everyone
videogame/www.games.net/wii_138001_we-love-golf.html,: Capcom,: Sports,: Camelot Corp.,: R/P
videogame/www.games.net/psp_133842_hot-pixel.html,: Atari,: Action,: zSlide,: R/P
videogame/www.games.net/psp_123001_blade-dancer.html,: Hit Maker,: RPG,: NIS America,: Everyone
videogame/www.games.net/ps2_136941_warriors-orochi.html,: KOEI,: Action,: Omega Force,: Teen
videogame/www.games.net/ds_133603_tiger-woods-pga-tour-08.html,: EA,: Sports,: EA,: Everyone
videogame/www.games.net/psp_142311_midnight-club-la-remix.html,: Take-Two Interactive,: Driving,: Rockstar London,: R/P
videogame/www.games.net/ps2_106424_nba-jam.html,: Acclaim,: Sports,: Acclaim,: Everyone
videogame/www.games.net/ps2_107383_dragon-quest-viii.html,: Square,: RPG,: Level-5,: R/P
videogame/www.games.net/ps2_106742_metal-gear-solid-3-snake-eater.html,: Konami,: Action,: Konami,: Mature
videogame/www.games.net/ps2_105471_forever-kingdom.html,: From Software,: RPG,: Agetec,: Teen
videogame/www.games.net/ps2_108141_way-of-the-samurai-2.html,: Acquire,: Action,: Capcom,: Mature
videogame/www.games.net/wii_134681_bully-scholarship-edition.html,: Rockstar Games,: Action,: Rockstar Vancouver,: Teen
videogame/www.games.net/psp_110952_the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe.html,: Disney Interactive,: Action,: Traveller's Tales,: R/P
videogame/www.games.net/ps2_110821_barnyard.html,: THQ,: Adventure,: TBA,: Everyone
videogame/www.games.net/ps2_104556_fantavision-2000.html,: Sony,: Puzzle,: Sony,: R/P
videogame/www.games.net/gamecube_110711_nba-live-06.html,: EA Sports,: Sports,: EA Canada,: R/P
videogame/www.games.net/ps2_109866_eyetoy-kinetic.html,: SCEA,: Family,: SCEE,: R/P
videogame/www.games.net/ds_131202_touch-the-dead.html,: Eidos Interactive,: Action,: Dream On Studios,: Mature
videogame/www.games.net/psp_113403_breath-of-fire-iii.html,: Capcom,: RPG,: Capcom,: R/P
videogame/www.games.net/ps2_108608_ghost-in-the-shell.html,: N/A,: Action,: N/A,: R/P
videogame/www.games.net/gamecube_105252_raven-blade.html,: Retro Studios,: RPG,: Nintendo,: R/P
videogame/www.games.net/gamecube_105382_biohazard.html,: Capcom,: Adventure,: Capcom,: Mature
videogame/www.games.net/gamecube_108177_fifa-soccer-2005.html,: N/A,: Sports,: N/A,: R/P
videogame/www.games.net/psp_115228_locoroco.html,: Sony Computer Entertainment,: Action,: SCEJ,: Everyone
videogame/www.games.net/gamecube_108215_teenage-mutant-ninja-turtles-2-battle-nexus.html,: N/A,: Fighting,: N/A,: Teen
videogame/www.games.net/ds_108756_madden-nfl-2005.html,: EA Sports,: Sports,: EA Sports,: Everyone
videogame/www.games.net/ps2_106622_jak-ii.html,: Naughty Dog,: Action,: Sony,: Teen
videogame/www.games.net/ds_142358_all-star-cheer-squad.html,: THQ,: Sports,: THQ,: R/P
videogame/www.games.net/psp_115232_miami-vice-the-game.html,: Sierra,: Action,: Rebellion,: Mature
videogame/www.games.net/ds_110027_mega-man-battle-network-5-double-team.html,: Capcom,: Action,: N/A,: R/P
videogame/www.games.net/ps2_104535_stepping-selection.html,: Jaleco,: Action,: Jaleco,: R/P
videogame/www.games.net/ps2_107851_nanobreaker.html,: Konami,: Action,: Konami,: Mature
videogame/www.games.net/ps2_107094_magic-pengel-the-quest-for-color.html,: Garakuta Studio,: RPG,: Agetec,: Everyone
videogame/www.games.net/ps2_106267_whirl-tour.html,: Crave,: Adventure,: N/A,: Everyone
videogame/www.games.net/psp_111623_nba-live-06.html,: EA Sports,: Sports,: EA Canada,: Everyone
videogame/www.games.net/ps2_104975_nba-hoopz.html,: Midway Home Entertainment,: Sports,: Midway Home Entertainment,: Everyone
videogame/www.games.net/ps2_118421_cars.html,: THQ,: Driving,: Rainbow Studios,: Everyone
videogame/www.games.net/ps2_109566_call-of-duty-2-big-red-one.html,: Activision,: Action,: N/A,: R/P
videogame/www.games.net/gamecube_106061_fifa-soccer-2003.html,: EA Canada,: Sports,: EA Sports,: Everyone
videogame/www.games.net/ps2_105177_la-femme-nikita.html,: Infogrames,: Action,: Infogrames,: R/P
videogame/www.games.net/ps2_108176_fifa-soccer-2005.html,: EA Canada,: Sports,: EA Sports,: Everyone
videogame/www.games.net/ps2_130154_spider-man-3.html,: ACTIVISION,: Action,: Treyarch,: Teen
videogame/www.games.net/ps2_116221_pro-evolution-soccer-management.html,: Konami,: Sports,: Konami,: Everyone
videogame/www.games.net/gamecube_106102_nhl-2k3.html,: Sega,: Sports,: Visual Concepts,: Everyone
videogame/www.games.net/wii_130146_shrek-the-third.html,: Activision,: Adventure,: Shaba Games,: Everyone 10 and Older
videogame/www.games.net/ps2_107685_shinsengumi.html,: Genki,: Action,: Konami,: R/P
videogame/www.games.net/ps2_106996_nhl-2004.html,: EA,: Sports,: EA Sports,: Everyone
videogame/www.games.net/wii_125242_the-dog-island.html,: Yuke's,: Family,: Yuke's,: R/P
videogame/www.games.net/ps2_105555_kings-field-the-ancient-city.html,: From Software,: RPG,: Agetec,: Teen
videogame/www.games.net/psp_117843_blitz-the-league.html,: Midway,: Sports,: Midway,: R/P
videogame/www.games.net/psp_135542_nba-08.html,: SCEA,: Sports,: SCEA,: R/P
videogame/www.games.net/ds_142115_lost-in-blue-3.html,: Konami,: Simulation,: Konami,: Everyone 10 and Older
videogame/www.games.net/psp_132461_driver-76.html,: Ubisoft,: Adventure,: Sumo Digital,: Mature
videogame/www.games.net/ps2_111921_mvp-06-ncaa-baseball.html,: EA Sports,: Sports,: EA,: Everyone
videogame/www.games.net/ps2_107892_gauntlet-seven-sorrows.html,: Midway,: Action,: Midway San Diego,: R/P
videogame/www.games.net/gamecube_115206_the-legend-of-spyro-a-new-beginning.html,: Sierra,: Adventure,: Krome Studios,: Everyone 10 and Older
videogame/www.games.net/ds_124481_chronos-twins.html,: Lexicon Entertainment,: Adventure,: EnjoyUp,: R/P
videogame/www.games.net/ps2_108617_nhl-2005.html,: EA Canada,: Sports,: EA Sports,: Everyone
videogame/www.games.net/gamecube_106008_mario-party-4.html,: Hudson Soft,: Family,: Nintendo,: Everyone
videogame/www.games.net/wii_129861_pokemon-battle-revolution.html,: Nintendo,: RPG,: Nintendo,: Everyone
videogame/www.games.net/ps2_108837_mobile-suit-gundam-gundam-vs-zeta-gundam.html,: Bandai,: Action,: Bandai,: R/P
videogame/www.games.net/ps2_105494_dynasty-warriors-3.html,: Koei,: Action,: Koei,: Teen
videogame/www.games.net/ps2_105388_arctic-thunder.html,: Midway,: Driving,: Midway,: Teen
videogame/www.games.net/gamecube_108277_tiger-woods-pga-tour-2005.html,: EA Redwood Shores,: Sports,: EA Sports,: R/P
videogame/www.games.net/psp_135582_jackass-the-game.html,: Red Mile Entertainment,: Action,: Sidhe Interactive,: R/P
videogame/www.games.net/ds_127941_winning-eleven-pro-evolution-soccer-2007.html,: Konami,: Sports,: Konami Digital Entertainment,: Everyone
videogame/www.games.net/ps2_124341_nba-07.html,: SCEA,: Sports,: SCEA,: R/P
videogame/www.games.net/gamecube_109126_one-piece-grand-battle.html,: Bandai,: Fighting,: Ganbarion,: Everyone 10 and Older
videogame/www.games.net/gamecube_105942_nascar-thunder-2003.html,: Tiburon,: Driving,: EA Sports,: Everyone
videogame/www.games.net/gamecube_107041_batman-rise-of-tzu.html,: N/A,: Fighting,: Ubi Soft,: Teen
videogame/www.games.net/ps2_106269_metal-gear-solid-2-substance.html,: Konami,: Action,: Konami,: Mature
videogame/www.games.net/gamecube_106847_mortal-kombat-deadly-alliance.html,: N/A,: Fighting,: Midway Home Entertainment,: Mature
videogame/www.games.net/ps2_110561_payout-poker-casino.html,: Namco,: Simulation,: Bits Studio,: R/P
videogame/www.games.net/ds_142224_jake-hunter-detective-chronicles.html,: Aksys Games,: Adventure,: Arc System Works,: Teen
videogame/www.games.net/ps2_109592_prince-of-persia-the-two-thrones.html,: Ubisoft,: Action,: Ubisoft Montreal,: Mature
videogame/www.games.net/ps2_107998_rocky-legends.html,: Venom Games,: Sports,: Ubisoft,: Teen
videogame/www.games.net/psp_125687_family-guy.html,: 2K Games,: Action,: High Voltage Software,: Mature
videogame/www.games.net/ps2_130421_the-red-star.html,: XS Games,: Action,: ACCLAIM,: Everyone
videogame/www.games.net/ds_142368_grand-theft-auto-chinatown-wars.html,: Rockstar Games,: Action,: Rockstar Leeds,: R/P
videogame/www.games.net/ps2_107197_area-51.html,: Midway,: Action,: Midway,: Mature
videogame/www.games.net/psp_127121_brothers-in-arms-d-day.html,: Ubisoft,: Action,: Ubisoft Shanghai,: Mature
videogame/www.games.net/ps2_111184_7-sins.html,: Digital Jesters,: RPG,: Monte Cristo,: R/P
videogame/www.games.net/wii_141963_tales-of-symphonia-dawn-of-the-new-world.html,: Namco Bandai Games,: RPG,: Namco/Bandai Games,: R/P
videogame/www.games.net/psp_134283_ratatouille.html,: THQ,: Adventure,: THQ,: Everyone
videogame/www.games.net/gamecube_106947_resident-evil-code-veronica-x.html,: N/A,: Action,: Capcom,: Mature
videogame/www.games.net/psp_110414_archer-macleans-mercury.html,: Ignition Ent.,: Puzzle,: Awesome Studios,: Everyone
