url,STRING : publisher,STRING : developer,STRING : genre,STRING : esrb
videogame/www.metacritic.com/psx_2002fifaworldcup.html,Electronic Arts,EA Sports,Sports,E (Everyone)
videogame/www.metacritic.com/xbox360_aegiswing.html,Microsoft,Carbonated Games,"Shooter, Action",E (Everyone)
videogame/www.metacritic.com/psx_etinterplanetarymission.html,NewKidCo.,Digital Eclipse,Action,E (Everyone)
videogame/www.metacritic.com/psx_atlantisthelostempire.html,Sony Computer Entertainment,Disney Interactive,"Action, Platform",E (Everyone)
videogame/www.metacritic.com/psx_meninblacktheseriescrashdown.html,Infogrames,Runecraft,First-Person Shooter,T (Teen)
videogame/www.metacritic.com/xbox360_amped3.html,2K Sports,Indie Built,Extreme Sports,T (Teen)
videogame/www.metacritic.com/psx_needforspeedporscheunleashed.html,Electronic Arts,Eden Studios,"Racing, Driving",E (Everyone)
videogame/www.metacritic.com/xbox360_projectsylpheed.html,Square Enix,GameArts,Shooter,T (Teen)
videogame/www.metacritic.com/xbox360_roboblitz.html,Naked Sky Entertainment,Naked Sky Entertainment,Action,E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/xbox360_jetpacrefuelled.html,Microsoft Game Studios,"Rare, Ltd.",Shooter,E (Everyone)
videogame/www.metacritic.com/xbox360_simpsonsgame.html,Electronic Arts,EA Redwood Shores,Action,T (Teen)
videogame/www.metacritic.com/xbox360_beowulf.html,Ubisoft,Ubisoft Tiwak,"Action, Adventure",M (Mature)
videogame/www.metacritic.com/xbox360_samuraiwarriors2empires.html,Koei,Omega Force,"Third-Person Action, Beat-'Em-Up, Strategy",T (Teen)
videogame/www.metacritic.com/psx_digimondigitalcardbattle.html,Bandai,Bandai,Turn-Based Strategy,T (Teen)
videogame/www.metacritic.com/xbox360_assassinscreed.html,Ubisoft,Ubisoft Montreal,Action,M (Mature)
videogame/www.metacritic.com/xbox360_dancedancerevolutionuniverse.html,Konami,Konami,"Rhythm Action, Music",E10+ (Everyone 10 and Older)
videogame/www.metacritic.com/psx_incrediblecrisis.html,Titus,Polygon Magic,"Other, Adventure",T (Teen)
videogame/www.metacritic.com/xbox360_soulcalibur.html,Namco Bandai Games,Namco Bandai Games,"Fighting, Action",T (Teen)
videogame/www.metacritic.com/psx_razorfreestylescooter.html,Crave Entertainment,Shaba Studios,Action,E (Everyone)
videogame/www.metacritic.com/psx_feareffect2.html,Eidos Interactive,Kronos,Adventure,M (Mature)
videogame/www.metacritic.com/xbox360_halflife2theorangebox.html,Electronic Arts / Valve Software,Valve Software,"First-Person Shooter, Action, Compilation",M (Mature)
videogame/www.metacritic.com/psx_speedball2100.html,Empire Interactive,Bitmap Brothers,Action,
videogame/www.metacritic.com/psx_spiderman2enterelectro.html,Activision,Vicarious Visions,Action,E (Everyone)
